Name + ORG,ID,Name,ORG,POS,G,GS,TC,A,PO,E,DP,TP,ZR,SBA,RTO,IP,PB,CER,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
Grant Marchionda Ana,14214,Grant Marchionda,Anaheim Angels,2,111,108,903,48,850,5,1,0,-1.6,119,24,930.2,6,451,21,18,5,5,4,4,0,0,1,0,0,3.2,0
Tadeo Estevez Phi,31337,Tadeo Estevez,Philadelphia Phillies,2,109,99,819,45,774,0,2,0,-0.7,77,14,912.2,2,367,19,16,4,4,9,5,0,0,0,0,0,1.6,0
Travis Klun Bos,35077,Travis Klun,Boston Red Sox,2,103,101,858,49,800,9,5,0,-1.8,99,11,901,0,452,31,29,4,4,7,6,0,0,0,0,0,4.5,0
Ryan Folk Tex,28055,Ryan Folk,Texas Rangers,2,106,93,851,48,802,1,4,0,0.6,75,15,844,5,384,21,21,5,5,6,6,1,1,0,0,0,8.6,0
Stephen Petrillo Los,6403,Stephen Petrillo,Los Angeles Dodgers,2,97,94,816,60,752,4,5,0,-0.2,105,19,818,5,358,20,20,7,6,6,6,0,0,0,0,0,4.1,0
Dana Heying Pit,24684,Dana Heying,Pittsburgh Pirates,2,100,97,752,50,694,8,2,0,-3.8,140,21,810.2,10,379,28,27,8,7,7,6,0,0,1,0,0,3.9,0
Maurice Gaspard Sea,14146,Maurice Gaspard,Seattle Mariners,2,91,88,785,52,728,5,4,0,-0.3,80,16,792,4,430,14,12,9,9,11,9,2,2,0,0,0,5,0
Ireno Hernández Kan,36937,Ireno Hernández,Kansas City Monarchs,2,87,86,731,50,680,1,4,0,-0.9,114,19,761.1,3,444,27,26,6,5,10,9,0,0,0,0,0,-0.5,0
Oscar Pampoldi Oak,17491,Oscar Pampoldi,Oakland Athletics,2,85,82,676,38,637,1,6,0,-2.4,96,16,724,9,464,11,11,7,7,4,4,0,0,1,0,0,8.9,0
Pete Runde Sea,34484,Pete Runde,Seattle Mariners,2,81,74,703,45,656,2,2,0,0.9,75,17,685.1,2,356,23,22,7,7,5,4,1,1,0,0,0,-1.9,0
Josiah Raper Los,8693,Josiah Raper,Los Angeles Dodgers,2,92,68,628,30,596,2,1,0,-0.3,68,11,647.2,3,269,11,11,9,9,4,3,0,0,0,0,0,4.7,0
Martin Guerrero Tor,27608,Martin Guerrero,Toronto Blue Jays,2,72,72,624,29,593,2,4,0,-0.7,73,11,645,2,336,19,19,6,5,2,1,0,0,0,0,0,4.6,0
Yavier Holguin Pit,25083,Yavier Holguin,Pittsburgh Pirates,2,111,65,602,39,561,2,4,0,-1.5,87,13,624,5,316,15,15,7,7,10,10,0,0,0,0,0,4,0
Howard Konieczny Tor,9380,Howard Konieczny,Toronto Blue Jays,2,70,65,634,35,599,0,2,0,2.2,45,13,598.2,2,257,14,14,7,7,4,4,0,0,0,0,0,-2,0
Chris Walsh Ari,6101,Chris Walsh,Arizona Diamondbacks,2,81,61,622,46,576,0,4,0,3,72,22,580.1,1,238,10,10,1,1,4,4,0,0,0,0,0,0.7,0
Ethan Smith Min,19007,Ethan Smith,Minnesota Twins,2,75,60,544,39,505,0,2,0,-1,70,10,569,4,266,12,12,3,3,8,8,0,0,0,0,0,4.9,0
Kevin Jones Tex,15498,Kevin Jones,Texas Rangers,2,66,64,541,31,510,0,2,0,1.1,52,11,559,3,281,6,5,3,3,4,4,1,1,0,0,0,3.6,0
Joshua Norvell Bos,36518,Joshua Norvell,Boston Red Sox,2,60,58,493,36,456,1,2,0,2.1,45,17,517,4,255,21,19,4,4,2,2,0,0,0,0,0,-0.3,0
Javier Tenorio Atl,32889,Javier Tenorio,Atlanta Hammers,2,59,59,497,27,470,0,1,0,-0.9,67,9,500,1,268,13,13,5,5,4,3,0,0,0,0,0,1.8,0
Ethan Andersen Oak,26775,Ethan Andersen,Oakland Athletics,2,57,57,449,40,408,1,1,0,0.5,58,16,485,5,299,9,9,6,5,4,4,0,0,0,0,0,4.5,0
Kyle Stephenson Min,34371,Kyle Stephenson,Minnesota Twins,2,58,57,451,20,430,1,3,0,0.8,33,8,483.2,4,225,10,10,5,5,4,3,0,0,0,0,0,1.2,0
Wyatt McCafferty Cin,6741,Wyatt McCafferty,Cincinnati Reds,2,56,54,437,30,406,1,0,0,-0.4,56,11,481.2,3,226,10,10,7,7,3,2,0,0,0,0,0,3.1,0
Luke Fornea Ari,16865,Luke Fornea,Arizona Diamondbacks,2,57,54,416,24,391,1,2,0,-2.5,57,8,467,4,259,5,5,4,4,8,5,0,0,0,0,0,-2.3,0
Jordi Marrero Phi,23964,Jordi Marrero,Philadelphia Phillies,2,58,52,446,39,406,1,2,0,-0.4,48,12,466,4,215,19,17,4,2,6,5,0,0,0,0,0,2.2,0
J.J. Tinsley San,12812,J.J. Tinsley,San Diego Padres,2,51,51,400,23,375,2,1,0,-0.9,53,8,450,4,201,6,5,3,3,1,1,1,1,0,0,0,3.2,0
Bijelic Darias Chi,24587,Bijelic Darias,Chicago White Sox,2,50,50,441,24,415,2,0,0,-0.2,40,7,447.1,5,232,12,11,3,3,3,3,0,0,0,0,0,0,0
Marquise Platts Col,34772,Marquise Platts,Colorado Rockies,2,66,49,434,20,412,2,3,0,0.9,50,9,444.1,0,226,8,8,3,3,1,1,0,0,0,0,0,5.8,0
Dan Drouin Atl,26522,Dan Drouin,Atlanta Hammers,2,68,45,442,18,421,3,2,0,0.2,46,7,434.2,2,254,11,11,0,0,4,4,0,0,0,0,0,3.1,0
Chris Davids Flo,28882,Chris Davids,Florida Marlins,2,54,49,378,27,349,2,1,0,-0.4,69,13,433.1,3,265,11,11,5,5,2,2,0,0,0,0,0,1.9,0
Wyatt Grayden Det,34907,Wyatt Grayden,Detroit Tigers,2,48,47,388,21,364,3,2,0,0.3,40,8,422.1,0,186,7,7,1,1,2,1,0,0,0,0,0,2.3,0
Gabriel Cepeda Was,28297,Gabriel Cepeda,Washington Nationals,2,98,35,457,23,433,1,1,0,-1.2,54,7,420.2,2,181,10,10,2,2,3,3,0,0,0,0,0,4.2,0
Jody Manzanero Min,22633,Jody Manzanero,Minnesota Twins,2,47,45,380,20,358,2,0,0,-0.7,34,4,406,2,178,16,14,5,5,1,1,0,0,0,0,0,2.3,0
Nolan Greene Ari,8223,Nolan Greene,Arizona Diamondbacks,2,48,47,428,28,399,1,0,0,1.1,39,10,405,1,210,8,8,1,1,4,3,1,1,0,0,0,1.2,0
D.J. Fredrickson New,8638,D.J. Fredrickson,New York Yankees,2,47,47,428,22,404,2,2,0,0.3,44,10,403.2,3,219,9,9,3,3,5,4,0,0,0,0,0,0.9,0
Joey Mollo St.,9771,Joey Mollo,St. Louis Cardinals,2,47,44,380,28,351,1,0,0,0.4,63,14,392,1,214,7,7,4,4,7,7,0,0,0,0,0,0.9,0
Jean Spiegel Hou,33533,Jean Spiegel,Houston Astros,2,46,43,373,32,338,3,2,0,0.7,46,15,381,2,151,8,7,3,3,4,3,0,0,0,0,0,3.4,0
Samuel Matthews New,37338,Samuel Matthews,New York Mets,2,48,40,410,13,394,3,0,0,-1.3,42,4,375.1,2,159,6,6,2,2,3,3,0,0,1,0,0,4.2,0
Van Burgos Cle,9990,Van Burgos,Cleveland Guardians,2,43,41,348,23,323,2,0,0,1.2,43,8,372.2,0,173,9,9,3,3,3,3,0,0,0,0,0,3.2,0
Steve Groff San,6385,Steve Groff,San Francisco Giants,2,58,39,346,26,318,2,1,0,1.4,34,11,365.2,2,151,4,4,4,4,3,3,0,0,0,0,0,4.9,0
Kayden Loftis Chi,18785,Kayden Loftis,Chicago Cubs,2,44,44,323,20,303,0,1,0,-0.1,52,8,362.2,2,178,5,5,2,2,4,4,0,0,0,0,0,1.6,0
Dominic Bonilla Pit,35681,Dominic Bonilla,Pittsburgh Pirates,2,42,40,316,14,300,2,0,0,-1.9,50,5,361,4,204,6,6,0,0,0,0,0,0,0,0,0,-0.5,0
Allan Lechesa Bal,33532,Allan Lechesa,Baltimore Orioles,2,43,40,342,15,326,1,1,0,-0.4,39,4,357.2,1,207,7,7,2,2,3,3,0,0,0,0,0,2.7,0
Nolan Dolci Tam,35175,Nolan Dolci,Tampa Bay Devil Rays,2,44,39,340,20,317,3,0,0,-0.6,35,5,355,0,226,6,6,3,3,4,3,0,0,0,0,0,3.1,0
David De Antonio Kan,23056,David De Antonio,Kansas City Royals,2,40,39,320,23,296,1,2,0,0.6,53,12,354.1,1,208,10,10,0,0,4,4,0,0,0,0,0,2.6,0
Justin Camilleri Kan,32472,Justin Camilleri,Kansas City Monarchs,2,38,36,289,24,265,0,2,0,-1,53,7,323,0,185,9,9,4,4,4,3,0,0,0,0,0,0.9,0
Joquel Medina Mon,25129,Joquel Medina,Montreal Expos,2,39,36,306,14,287,5,3,0,0.7,31,7,321,1,154,12,11,3,3,4,4,0,0,0,0,0,-0.3,0
Vince Visconti -,27059,Vince Visconti,-,2,40,39,307,22,284,1,1,0,-0.2,48,7,318.1,1,143,11,11,1,1,3,3,0,0,0,0,0,0.7,0
Óscar Saldana Ana,27311,Óscar Saldana,Anaheim Angels,2,46,32,319,18,300,1,0,0,0.9,28,8,304.1,2,109,10,9,4,4,5,5,0,0,0,0,0,0.1,0
Alex Rothbauer Mil,34851,Alex Rothbauer,Milwaukee Brewers,2,32,30,263,12,249,2,2,0,0.3,23,4,268.2,1,117,9,9,2,2,2,2,0,0,0,0,0,4.3,0
Matias Álvarez Tor,37186,Matias Álvarez,Toronto Blue Jays,2,25,25,241,19,221,1,1,0,0.6,29,7,221,0,115,7,7,1,1,3,3,0,0,0,0,0,-0.8,0
Clark Halphen Oak,8125,Clark Halphen,Oakland Athletics,2,26,23,199,13,186,0,0,0,0.2,24,5,204.1,0,111,4,4,0,0,5,4,0,0,0,0,0,1.3,0
Cade Murlin Tex,32668,Cade Murlin,Texas Rangers,2,31,21,202,18,183,1,1,0,0.1,38,8,200.2,1,97,6,6,1,1,1,1,0,0,0,0,0,3.6,0
Michael Carlson Ana,5704,Michael Carlson,Anaheim Angels,2,22,20,197,13,183,1,1,0,0.2,19,6,184.1,1,96,6,6,0,0,6,5,0,0,0,0,0,-1.9,0
Tanner Schobel Mil,30866,Tanner Schobel,Milwaukee Brewers,2,16,15,139,4,134,1,0,0,0,15,3,137.1,0,55,1,1,1,1,1,0,0,0,0,0,0,1.2,0
Ismael Vejar Hou,32580,Ismael Vejar,Houston Astros,2,15,14,124,4,119,1,1,0,-0.2,16,2,114.1,0,57,0,0,0,0,0,0,0,0,0,0,0,1.8,0
Dwight Weathers Phi,17038,Dwight Weathers,Philadelphia Phillies,2,13,11,101,10,91,0,2,0,0.4,8,3,101.2,1,32,6,6,1,1,2,2,0,0,0,0,0,-0.3,0
Fletcher Barrios Mil,26487,Fletcher Barrios,Milwaukee Brewers,2,9,9,72,6,66,0,0,0,0.3,5,1,81,0,43,2,2,0,0,3,3,0,0,0,0,0,1.1,0
A.J. Reitzell Ana,15260,A.J. Reitzell,Anaheim Angels,2,8,8,64,0,64,0,0,0,-0.3,8,0,72,0,24,1,1,2,2,0,0,0,0,0,0,0,0.3,0
Foster Gilmore Flo,8673,Foster Gilmore,Florida Marlins,2,6,6,44,1,43,0,0,0,0,3,0,56,0,19,1,1,0,0,0,0,0,0,0,0,0,-0.5,0
Amadeo Moralez Kan,16465,Amadeo Moralez,Kansas City Monarchs,2,12,4,57,5,52,0,0,0,0.5,6,3,51.1,0,23,1,1,0,0,0,0,0,0,0,0,0,-0.3,0
Bobby Olvera Atl,7685,Bobby Olvera,Atlanta Hammers,2,6,6,48,1,46,1,0,0,-0.2,5,0,51,0,33,1,1,0,0,0,0,0,0,0,0,0,0,0
Tony Ware Det,22163,Tony Ware,Detroit Tigers,2,8,5,47,3,44,0,0,0,0.3,3,1,47,0,18,1,1,0,0,1,1,0,0,0,0,0,0.3,0
Xavier Linares Tex,35128,Xavier Linares,Texas Rangers,2,5,5,35,3,32,0,0,0,0.3,2,1,43,0,15,2,2,0,0,0,0,0,0,0,0,0,0.4,0
Manuel Espinosa Ana,21444,Manuel Espinosa,Anaheim Angels,2,6,3,32,0,32,0,0,0,-0.3,3,0,32,1,20,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Danapati Pillai Bos,32346,Danapati Pillai,Boston Red Sox,2,3,3,28,1,27,0,0,0,0,2,0,26,0,13,1,1,0,0,1,1,0,0,0,0,0,0.1,0
Amarion Moore San,19996,Amarion Moore,San Diego Padres,2,1,1,6,1,5,0,0,0,0.2,2,1,9,0,2,0,0,0,0,0,0,0,0,0,0,0,-0.1,0
Chandler Chambers Oak,29909,Chandler Chambers,Oakland Athletics,2,3,0,4,0,4,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,-0.4,0
Rubin Andersen Kan,7039,Rubin Andersen,Kansas City Royals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Soukup -,18589,Alex Soukup,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vincent Thompson Cin,30567,Vincent Thompson,Cincinnati Reds,3,154,154,1322,67,1247,8,138,0,3.4,0,0,1385,0,0,220,211,29,24,23,16,14,8,14,1,5,0,0
Dominic Stoller Atl,34641,Dominic Stoller,Atlanta Hammers,3,156,156,1243,77,1153,13,127,0,-0.7,0,0,1369.2,0,0,221,209,41,33,28,19,13,1,10,0,1,0,0
Payton Horn Tor,23536,Payton Horn,Toronto Blue Jays,3,151,151,1252,63,1177,12,104,0,-2.7,0,0,1333.1,0,0,237,222,39,35,23,10,14,3,13,1,5,0,0
Max Keever Ari,22550,Max Keever,Arizona Diamondbacks,3,154,154,1240,72,1164,4,112,0,-2,0,0,1325.2,0,0,240,231,30,25,24,10,9,4,15,0,1,0,0
Alijah Delnero Was,30559,Alijah Delnero,Washington Nationals,3,147,147,1195,80,1107,8,106,0,-7.9,0,0,1316.1,0,0,232,221,41,27,25,11,9,0,21,0,2,0,0
Colt Stepp Col,23703,Colt Stepp,Colorado Rockies,3,149,149,1231,74,1149,8,98,0,2.4,0,0,1315.1,0,0,224,216,34,31,14,12,12,5,10,0,4,0,0
Jack Stoll Ana,35152,Jack Stoll,Anaheim Angels,3,147,147,1207,61,1135,11,93,0,0.3,0,0,1301,0,0,225,213,35,32,20,11,14,3,10,0,2,0,0
Monty Cross Oak,15646,Monty Cross,Oakland Athletics,3,150,150,1273,89,1178,6,110,0,1.7,0,0,1286.1,0,0,236,226,37,34,24,16,15,4,18,0,2,0,0
Antonio Taveras Chi,33216,Antonio Taveras,Chicago Cubs,3,141,141,1247,80,1165,2,108,0,8.2,0,0,1234,0,0,247,241,30,29,19,16,14,8,19,1,4,0,0
Kalvin Green San,37630,Kalvin Green,San Francisco Giants,3,132,130,1145,69,1067,9,101,0,0.1,0,0,1166.1,0,0,212,205,32,25,24,14,6,1,10,1,7,0,0
Inácio Trujillo Hou,27468,Inácio Trujillo,Houston Astros,3,129,129,1094,80,1009,5,97,0,4.1,0,0,1151.1,0,0,198,189,33,30,19,12,16,8,13,2,2,0,0
Winn Morales Chi,7907,Winn Morales,Chicago White Sox,3,131,130,1046,74,961,11,100,0,-0.6,0,0,1146.1,0,0,202,197,18,15,18,12,13,5,11,0,0,0,0
Alexander Dobbins St.,25224,Alexander Dobbins,St. Louis Cardinals,3,124,124,1044,67,970,7,71,0,0.5,0,0,1090.2,0,0,210,198,31,27,27,19,15,5,26,2,3,0,0
Roman Dammratsch Bal,29607,Roman Dammratsch,Baltimore Orioles,3,120,118,949,69,875,5,76,0,1.1,0,0,1052.1,0,0,159,153,34,30,15,11,23,5,13,0,4,0,0
Elmo Toivonen Chi,38873,Elmo Toivonen,Chicago White Sox,3,120,118,1027,55,968,4,77,0,-1.6,0,0,1052.1,0,0,191,180,32,30,18,8,17,4,6,1,1,0,0
Stephen Klein Cle,33695,Stephen Klein,Cleveland Guardians,3,118,115,882,40,839,3,79,0,-0.3,0,0,1018.2,0,0,167,159,27,25,12,4,10,1,11,1,3,0,0
P.J. Pratt Bos,5653,P.J. Pratt,Boston Red Sox,3,121,114,942,46,890,6,76,0,2.5,0,0,1010.1,0,0,184,178,23,20,15,8,9,5,11,1,4,0,0
Sidney Cook Det,36973,Sidney Cook,Detroit Tigers,3,111,106,909,46,857,6,113,0,0.5,0,0,970,0,0,174,170,23,20,9,4,15,4,15,0,5,0,0
Victor Gosselin Phi,29616,Victor Gosselin,Philadelphia Phillies,3,108,105,929,48,876,5,81,0,1.8,0,0,938.2,0,0,160,155,17,15,19,13,9,2,10,0,2,0,0
Thad Trotter Pit,20134,Thad Trotter,Pittsburgh Pirates,3,113,105,899,63,832,4,67,0,1.5,0,0,937.2,0,0,160,156,25,21,13,10,15,5,11,0,1,0,0
Ben Freudenberg Los,36631,Ben Freudenberg,Los Angeles Dodgers,3,102,102,828,42,781,5,67,0,1.2,0,0,899.1,0,0,144,138,25,19,18,12,9,4,9,2,3,0,0
Evan Busler Tam,34818,Evan Busler,Tampa Bay Devil Rays,3,108,105,819,55,760,4,83,0,-3.5,0,0,880.1,0,0,167,158,18,15,18,9,3,0,13,0,1,0,0
Calvin Woodson Flo,27484,Calvin Woodson,Florida Marlins,3,101,91,741,37,697,7,81,0,-1.9,0,0,786.1,0,0,140,132,22,17,8,5,9,3,11,0,0,0,0
John Head Sea,7997,John Head,Seattle Mariners,3,88,88,717,27,684,6,71,0,-6.9,0,0,766.1,0,0,117,107,26,21,14,3,12,3,3,0,0,0,0
Walker Cook Mil,22099,Walker Cook,Milwaukee Brewers,3,97,91,696,34,657,5,54,0,-1.4,0,0,720.2,0,0,123,117,24,20,8,4,7,2,5,0,2,0,0
Adrián Sánchez Mon,29567,Adrián Sánchez,Montreal Expos,3,81,79,670,38,629,3,54,0,0.8,0,0,708.1,0,0,144,142,16,12,13,8,9,3,7,0,1,0,0
Sam Rife New,19622,Sam Rife,New York Yankees,3,89,83,640,31,607,2,51,0,3.8,0,0,704,0,0,114,113,24,21,5,4,7,2,9,2,2,0,0
Sherwin Schrier Hou,6021,Sherwin Schrier,Houston Astros,3,80,80,661,31,627,3,62,0,2.5,0,0,697.2,0,0,112,111,18,14,13,8,3,2,6,1,3,0,0
Robert Hawkins New,8997,Robert Hawkins,New York Mets,3,74,71,584,34,547,3,48,0,-2.1,0,0,647.2,0,0,96,90,24,21,7,6,8,1,5,0,2,0,0
Ronaldo Taveras New,34510,Ronaldo Taveras,New York Mets,3,74,74,539,31,507,1,53,0,-1.2,0,0,642,0,0,95,88,18,17,3,2,5,2,10,0,3,0,0
Nathan Needler San,34164,Nathan Needler,San Diego Padres,3,82,62,564,36,524,4,44,0,1,0,0,580.2,0,0,106,100,16,14,10,7,7,1,7,2,2,0,0
Kota Hagihara Flo,6314,Kota Hagihara,Florida Marlins,3,66,65,529,31,496,2,48,0,-3.3,0,0,562.1,0,0,98,91,19,15,11,5,5,0,8,0,1,0,-0.2
Hyman Jones Kan,27291,Hyman Jones,Kansas City Royals,3,68,63,553,34,514,5,32,0,0.3,0,0,554,0,0,110,106,18,14,6,4,12,5,5,0,3,0,0
Evan Capo Los,27753,Evan Capo,Los Angeles Dodgers,3,58,58,476,31,445,0,45,0,4.2,0,0,538.2,0,0,83,82,7,7,16,15,2,0,9,2,3,0,0
Teoscar Hernández Tex,21770,Teoscar Hernández,Texas Rangers,3,70,58,454,24,430,0,36,0,2.2,0,0,520.2,0,0,97,96,7,6,6,3,8,3,4,1,1,0,0
Eliot Centeno Mon,24999,Eliot Centeno,Montreal Expos,3,59,58,487,27,459,1,51,0,3,0,0,505,0,0,73,71,16,14,7,7,5,1,4,1,1,0,0
Kyle Falzone Tex,14437,Kyle Falzone,Texas Rangers,3,57,52,419,26,389,4,32,0,-0.7,0,0,470,0,0,74,71,12,10,5,2,5,3,10,0,2,0,0
Quentin Ketron Sea,14794,Quentin Ketron,Seattle Mariners,3,66,48,438,31,405,2,37,0,1.7,0,0,461.2,0,0,87,85,14,13,8,6,3,1,2,0,2,0,0
Yovani Valdez Kan,32877,Yovani Valdez,Kansas City Royals,3,57,57,435,22,410,3,50,0,-1.8,0,0,442,0,0,83,77,12,9,4,2,5,2,6,0,0,0,0
Peyton Ganuza Min,12945,Peyton Ganuza,Minnesota Twins,3,50,48,401,21,373,7,45,0,-2.9,0,0,427,0,0,79,74,9,6,6,3,2,0,5,0,0,0,0
Dunley Gschwind San,35167,Dunley Gschwind,San Diego Padres,3,46,46,385,20,361,4,17,0,-1.5,0,0,394,0,0,66,60,9,7,4,4,4,3,8,0,1,0,0
Bryan Owens Tex,37218,Bryan Owens,Texas Rangers,3,46,44,363,22,337,4,26,0,1.6,0,0,385,0,0,76,71,8,8,8,7,5,3,6,0,3,0,0
Boris Campos Kan,21375,Boris Campos,Kansas City Monarchs,3,41,40,336,25,309,2,23,0,1,0,0,356,0,0,69,67,10,8,7,3,3,1,8,2,0,0,0
Bill Daun Chi,11611,Bill Daun,Chicago Cubs,3,39,39,295,22,270,3,24,0,0.1,0,0,336.1,0,0,54,51,6,4,8,6,4,0,5,1,2,0,0
Reed Richey New,37693,Reed Richey,New York Yankees,3,43,43,301,20,277,4,23,0,-0.9,0,0,320.2,0,0,47,44,8,5,8,6,3,2,5,0,1,0,0
Amad Salcedo Pit,26997,Amad Salcedo,Pittsburgh Pirates,3,42,37,304,15,285,4,20,0,-1.9,0,0,318.2,0,0,52,47,11,9,3,1,3,1,4,0,2,0,0
Tommie Bain Pit,19751,Tommie Bain,Pittsburgh Pirates,3,34,34,313,21,291,1,31,0,1.1,0,0,302,0,0,47,45,7,5,6,6,6,3,4,0,2,0,0
Sid Didrickson Bos,37388,Sid Didrickson,Boston Red Sox,3,42,35,282,18,263,1,30,0,0.3,0,0,297,0,0,49,48,7,6,7,4,4,1,3,0,1,0,0
Michael Reichert Mil,19506,Michael Reichert,Milwaukee Brewers,3,64,20,286,15,270,1,21,0,1.3,0,0,292,0,0,53,52,9,9,6,5,0,0,3,0,1,0,0
Isaac Jakaitis New,34755,Isaac Jakaitis,New York Yankees,3,36,35,253,8,243,2,27,0,-0.3,0,0,289.1,0,0,51,49,6,5,4,3,4,0,1,0,1,0,0
Penn Lord Phi,13220,Penn Lord,Philadelphia Phillies,3,36,30,285,13,272,0,28,0,0,0,0,274.2,0,0,47,45,6,5,4,1,2,0,3,0,1,0,0
Wayne Adams Tam,8104,Wayne Adams,Tampa Bay Devil Rays,3,33,28,214,11,198,5,15,0,-2.5,0,0,248,0,0,34,28,7,6,0,0,5,1,3,0,0,0,0
Josue Goss San,21579,Josue Goss,San Diego Padres,3,30,29,209,16,193,0,16,0,0.9,0,0,239.1,0,0,33,32,10,9,3,1,4,1,3,0,0,0,0
Dylan Curbow Mil,2972,Dylan Curbow,Milwaukee Brewers,3,26,26,225,12,209,4,14,0,-3.3,0,0,229,0,0,42,38,9,2,5,3,3,1,3,0,1,0,0
José Figueroa San,28866,José Figueroa,San Diego Padres,3,30,25,211,10,201,0,13,0,0.7,0,0,222,0,0,36,36,6,5,3,1,4,1,3,0,0,0,0
R.J. Tyburski Min,6075,R.J. Tyburski,Minnesota Twins,3,33,23,214,19,190,5,25,0,-1,0,0,222,0,0,46,40,4,4,5,4,5,2,1,0,0,0,0
Carlos Prado Det,34553,Carlos Prado,Detroit Tigers,3,22,21,205,8,194,3,11,0,-1.1,0,0,203.2,0,0,37,33,3,3,4,1,5,3,4,0,0,0,0
Luís Díaz Sea,22927,Luís Díaz,Seattle Mariners,3,26,20,163,9,153,1,18,0,-0.5,0,0,182.1,0,0,38,38,4,3,2,0,0,0,3,0,0,0,0
