ID,Name,G,GS,W,L,SVO,SV,SV%,BS,BS%,SD,MD,IP,BF,AB,HA,1B,2B,3B,HR,TB,R,ER,BB,IBB,K,HP,ERA,AVG,OBP,SLG,OPS,WHIP,BRA/9,K/9,BB/9,HR/9,K/BB,K%,BB%,K%-BB%,SH,SF,WP,BK,CI,DP,RA,GF,IR,IRS,IRS%,GF%,QS,QS%,CG,CG%,SHO,PPG,RS,RSG,PI,GB,FB,GO%,SB,CS,FIP-,WAR
125634,Albert Alfonso,32,32,10,9,0,0,.000,0,.000,0,0,176.2,764,692,181,112,43,2,24,300,97,93,58,0,97,4,4.74,.262,.320,.434,.753,1.35,12.4,4.9,3.0,1.2,1.7,12.7,7.6,5.1,4,6,3,2,0,17,0,0,0,0,0.0,.000,12,.375,1,.031,0,86,103,3.2,2774,209,204,0.51,10,3,106,1.8
129890,George Allen,66,0,4,2,46,46,1.000,0,.000,41,3,66.1,263,240,46,37,5,0,4,63,9,7,21,1,52,1,0.95,.192,.259,.263,.521,1.01,9.2,7.1,2.8,0.5,2.5,19.8,8.0,11.8,0,1,1,1,0,5,66,57,10,3,30.0,.864,0,.000,0,.000,0,15,0,0.0,1034,57,84,0.40,3,0,70,2.0
130195,Domingo Alvarado,43,0,0,2,3,1,.500,1,.333,4,10,88.1,394,349,96,55,19,2,20,179,61,60,36,8,66,5,6.11,.275,.348,.513,.861,1.49,14.0,6.7,3.7,2.0,1.8,16.8,9.1,7.6,0,4,1,0,0,10,43,7,56,20,35.7,.163,0,.000,0,.000,0,34,0,0.0,1478,77,110,0.41,3,2,124,-0.8
129426,António Amador,47,0,4,1,2,1,.500,1,.500,11,5,85.2,352,321,71,50,11,0,10,112,33,32,28,0,72,1,3.36,.221,.284,.349,.633,1.16,10.5,7.6,2.9,1.1,2.6,20.5,8.0,12.5,0,2,2,0,0,5,47,12,46,13,28.3,.255,0,.000,0,.000,0,27,0,0.0,1301,89,88,0.50,2,3,84,1.0
120188,Bobby Ames,40,3,3,3,1,0,.000,1,1.000,7,5,74.2,306,280,70,46,12,1,11,117,30,29,20,0,54,1,3.50,.250,.297,.418,.715,1.21,11.0,6.5,2.4,1.3,2.7,17.6,6.5,11.1,0,5,9,1,0,8,37,15,29,12,41.4,.405,0,.000,0,.000,0,28,2,0.7,1137,85,73,0.54,4,1,97,0.5
126171,Ralph Anderson,30,0,2,1,1,0,.000,1,1.000,5,3,47.0,197,174,40,29,8,2,1,55,12,12,17,0,46,3,2.30,.230,.306,.316,.622,1.21,11.5,8.8,3.3,0.2,2.7,23.4,8.6,14.7,1,2,2,0,0,4,30,18,18,7,38.9,.600,0,.000,0,.000,0,24,0,0.0,741,49,40,0.55,0,2,60,1.1
128938,Domingo Arango,30,29,14,10,0,0,.000,0,.000,0,0,189.1,798,716,172,116,25,4,27,286,83,78,65,0,156,12,3.71,.240,.312,.399,.712,1.25,11.8,7.4,3.1,1.3,2.4,19.5,8.1,11.4,1,4,6,0,0,17,1,1,1,0,0.0,1.000,16,.552,5,.172,3,98,125,4.3,2966,200,184,0.52,17,6,113,1.3
126965,Lloyd Austin,30,21,10,4,0,0,.000,0,.000,0,2,145.1,602,543,135,95,22,1,17,210,65,59,49,0,117,5,3.65,.249,.315,.387,.702,1.27,11.7,7.2,3.0,1.1,2.4,19.4,8.1,11.3,2,3,4,0,0,21,9,6,6,3,50.0,.667,13,.619,0,.000,0,73,65,3.1,2218,141,151,0.48,10,2,94,2.2
130992,Germán Avilés,47,0,3,3,0,0,.000,0,.000,7,9,79.1,384,319,93,65,15,1,12,146,54,48,58,0,74,2,5.45,.292,.399,.458,.857,1.90,17.4,8.4,6.6,1.4,1.3,19.3,15.1,4.2,1,4,2,1,0,6,47,12,43,13,30.2,.255,0,.000,0,.000,0,31,0,0.0,1493,53,101,0.34,2,2,122,-0.6
130727,Greg Ballard,46,0,3,1,16,14,.875,2,.125,18,5,51.0,218,196,48,38,5,2,3,66,16,12,20,2,38,1,2.12,.245,.317,.337,.653,1.33,12.2,6.7,3.5,0.5,1.9,17.4,9.2,8.3,0,1,2,1,0,3,46,20,21,8,38.1,.435,0,.000,0,.000,0,18,0,0.0,847,50,60,0.45,1,1,79,0.9
130837,Javier Ballou,46,0,1,0,0,0,.000,0,.000,5,4,80.2,356,298,69,42,13,0,14,124,46,41,55,0,49,3,4.57,.232,.357,.416,.773,1.54,14.2,5.5,6.1,1.6,0.9,13.8,15.4,-1.7,0,0,5,0,0,16,46,14,36,6,16.7,.304,0,.000,0,.000,0,29,0,0.0,1363,88,86,0.51,5,2,140,-1.4
124257,Dave Bass,48,14,2,6,3,0,.000,3,1.000,11,5,63.2,255,222,39,23,7,1,8,72,27,25,31,1,56,1,3.53,.176,.278,.324,.603,1.10,10.0,7.9,4.4,1.1,1.8,22.0,12.2,9.8,0,1,2,1,0,9,34,16,19,6,31.6,.471,0,.000,0,.000,0,20,8,0.6,979,73,51,0.59,3,1,96,0.7
130740,Mark Baxter,18,0,0,4,2,1,.500,1,.500,3,3,20.2,89,77,19,12,4,1,2,31,7,7,5,0,18,4,3.05,.247,.318,.403,.721,1.16,12.2,7.8,2.2,0.9,3.6,20.2,5.6,14.6,1,2,1,0,0,0,18,9,10,3,30.0,.500,0,.000,0,.000,0,16,0,0.0,292,20,23,0.47,0,0,89,0.2
120408,Ron Beatin,34,34,15,9,0,0,.000,0,.000,0,0,193.0,806,729,163,112,27,1,23,261,82,80,62,4,185,9,3.73,.224,.291,.358,.649,1.17,10.9,8.6,2.9,1.1,3.0,23.0,7.7,15.3,3,3,5,1,0,7,0,0,0,0,0.0,.000,18,.529,0,.000,0,88,91,2.7,2992,155,222,0.41,15,6,82,4.4
125614,Larry Beaupre,34,34,16,7,0,0,.000,0,.000,0,0,188.2,775,695,157,109,29,3,16,240,64,64,67,0,127,4,3.05,.226,.295,.345,.640,1.19,10.9,6.1,3.2,0.8,1.9,16.4,8.6,7.7,2,7,6,0,0,14,0,0,0,0,0.0,.000,14,.412,0,.000,0,84,117,3.4,2879,182,233,0.44,24,4,87,3.8
125919,Jeffrey Becker,33,33,9,9,0,0,.000,0,.000,0,0,160.0,636,578,115,73,23,3,16,192,61,58,50,0,131,5,3.26,.199,.267,.332,.599,1.03,9.6,7.4,2.8,0.9,2.6,20.6,7.9,12.7,0,3,5,0,0,11,0,0,0,0,0.0,.000,4,.121,0,.000,0,75,84,2.5,2480,155,177,0.47,11,3,82,3.7
127879,Howard Bell,61,0,6,6,21,17,.810,4,.190,28,16,69.2,297,276,73,52,8,2,11,118,36,32,14,3,63,4,4.13,.264,.306,.428,.734,1.25,11.8,8.1,1.8,1.4,4.5,21.2,4.7,16.5,0,3,1,0,0,4,61,32,34,9,26.5,.525,0,.000,0,.000,0,18,0,0.0,1123,65,73,0.47,11,2,85,1.1
136711,Héctor Bernard,50,0,2,6,7,3,.429,4,.571,16,9,56.0,244,221,62,40,16,0,6,96,28,27,18,4,50,0,4.34,.281,.332,.434,.766,1.43,12.9,8.0,2.9,1.0,2.8,20.5,7.4,13.1,3,2,2,0,0,2,50,18,37,7,18.9,.360,0,.000,0,.000,0,18,0,0.0,929,49,64,0.43,2,1,77,1.0
126625,Florian Bernier,50,0,5,2,0,0,.000,0,.000,6,12,91.0,392,341,76,39,18,0,19,151,58,50,45,0,66,4,4.95,.223,.320,.443,.763,1.33,12.4,6.5,4.5,1.9,1.5,16.8,11.5,5.4,1,1,2,0,0,9,50,9,37,9,24.3,.180,0,.000,0,.000,0,30,0,0.0,1507,100,97,0.51,4,2,133,-1.2
127250,Pat Berry,50,0,6,4,6,1,.167,5,.833,18,9,67.1,287,253,58,36,14,2,6,94,25,21,26,5,56,3,2.81,.229,.304,.372,.676,1.25,11.6,7.5,3.5,0.8,2.2,19.5,9.1,10.5,1,4,4,0,0,4,50,18,31,11,35.5,.360,0,.000,0,.000,0,19,0,0.0,994,70,70,0.50,7,0,79,1.1
127975,Michael Blair,55,0,6,4,3,3,1.000,0,.000,23,9,88.1,392,330,78,53,15,1,9,122,42,40,56,6,56,1,4.08,.236,.345,.370,.715,1.52,13.8,5.7,5.7,0.9,1.0,14.3,14.3,0.0,1,4,4,0,0,7,55,19,47,3,6.4,.345,0,.000,0,.000,0,26,0,0.0,1459,95,103,0.48,0,2,108,-0.1
121510,Derrick Boehling,47,19,11,8,0,0,.000,0,.000,5,4,165.1,692,621,154,102,25,5,22,255,85,80,59,3,135,10,4.35,.248,.322,.411,.733,1.29,12.1,7.3,3.2,1.2,2.3,19.5,8.5,11.0,0,2,2,1,0,24,28,12,16,5,31.2,.429,9,.474,2,.105,2,54,83,4.4,2545,170,157,0.52,14,4,100,1.6
133785,Brian Bolden,68,9,3,5,6,2,.333,4,.667,17,12,101.1,420,388,103,62,18,4,19,186,52,51,26,0,58,1,4.53,.265,.310,.479,.789,1.27,11.5,5.2,2.3,1.7,2.2,13.8,6.2,7.6,0,5,1,1,0,14,59,18,44,16,36.4,.305,0,.000,0,.000,0,22,7,0.8,1515,116,113,0.51,4,2,114,-0.1
126738,Bill Boni,57,0,5,4,11,7,.636,4,.364,24,10,63.0,266,237,55,39,9,1,6,84,23,22,24,2,71,2,3.14,.232,.305,.354,.659,1.25,11.6,10.1,3.4,0.9,3.0,26.7,9.0,17.7,0,3,5,1,0,4,57,26,23,8,34.8,.456,0,.000,0,.000,0,18,0,0.0,1048,47,64,0.42,3,1,67,1.6
127179,Louis Boulet,53,0,5,3,37,32,.865,5,.135,30,6,55.2,231,202,39,29,4,1,5,60,19,17,26,0,44,1,2.75,.193,.287,.297,.584,1.17,10.7,7.1,4.2,0.8,1.7,19.0,11.3,7.8,1,1,1,0,0,3,53,40,13,6,46.2,.755,0,.000,0,.000,0,16,0,0.0,869,55,64,0.46,1,1,93,0.6
135391,Bret Bowling,31,31,7,13,0,0,.000,0,.000,0,0,153.2,708,615,171,103,39,1,28,296,115,114,78,0,109,5,6.68,.278,.359,.481,.841,1.62,14.9,6.4,4.6,1.6,1.4,15.4,11.0,4.4,0,9,3,1,1,4,0,0,0,0,0.0,.000,7,.226,0,.000,0,85,78,2.5,2659,138,200,0.41,24,4,124,0.2
125750,Lou Boyer,30,30,8,10,0,0,.000,0,.000,0,0,171.1,737,644,162,110,32,3,17,251,84,74,78,12,114,3,3.89,.252,.332,.390,.721,1.40,12.8,6.0,4.1,0.9,1.5,15.5,10.6,4.9,4,8,6,1,0,19,0,0,0,0,0.0,.000,15,.500,0,.000,0,89,105,3.5,2685,183,189,0.49,18,4,94,2.8
125795,Paul Bradford,53,6,5,5,2,0,.000,2,1.000,11,15,79.0,329,287,60,48,7,1,4,81,21,20,35,4,54,6,2.28,.209,.307,.282,.589,1.20,11.5,6.2,4.0,0.5,1.5,16.4,10.6,5.8,0,1,1,1,0,5,47,17,47,19,40.4,.362,3,.500,0,.000,0,23,3,0.5,1252,89,83,0.52,6,2,82,1.3
127359,Martin Brady,38,8,3,5,3,0,.000,3,1.000,3,4,96.0,420,367,94,62,16,4,12,154,52,51,43,0,86,3,4.78,.256,.334,.420,.754,1.43,13.1,8.1,4.0,1.1,2.0,20.5,10.2,10.2,0,6,5,1,1,5,30,15,24,13,54.2,.500,4,.500,0,.000,0,41,18,2.2,1572,95,96,0.50,1,5,100,0.7
128046,Ray Braun,33,33,9,13,0,0,.000,0,.000,0,0,166.2,736,650,173,106,38,3,26,295,105,101,72,1,136,8,5.45,.266,.344,.454,.798,1.47,13.7,7.3,3.9,1.4,1.9,18.5,9.8,8.7,1,5,9,1,0,14,0,0,0,0,0.0,.000,10,.303,0,.000,0,82,82,2.5,2712,147,194,0.43,6,2,105,1.7
124328,Robbie Britton,31,14,8,7,3,0,.000,3,1.000,4,7,109.1,449,393,82,56,6,3,17,145,43,43,48,0,102,4,3.54,.209,.301,.369,.670,1.19,11.0,8.4,4.0,1.4,2.1,22.7,10.7,12.0,4,0,4,0,0,12,17,1,11,2,18.2,.059,7,.500,0,.000,0,54,42,3.0,1680,101,111,0.48,12,0,105,0.9
120907,Dave Brown,31,14,7,5,0,0,.000,0,.000,1,2,118.2,499,457,109,79,10,2,18,177,66,59,34,0,118,6,4.47,.239,.299,.387,.687,1.21,11.3,8.9,2.6,1.4,3.5,23.6,6.8,16.8,1,1,6,1,0,9,17,7,20,6,30.0,.412,7,.500,0,.000,0,61,40,2.9,1907,112,112,0.50,5,3,94,1.6
134405,Gerald Brown,35,26,10,10,1,0,.000,1,1.000,4,3,156.0,669,581,146,102,25,2,17,226,72,64,73,1,114,3,3.69,.251,.332,.389,.721,1.40,12.8,6.6,4.2,1.0,1.6,17.0,10.9,6.1,1,11,8,0,0,15,9,4,9,2,22.2,.444,13,.500,0,.000,0,70,56,2.2,2474,146,182,0.45,8,7,99,2.0
120232,John Brown,45,0,4,6,10,6,.600,4,.400,13,12,43.0,181,162,39,29,4,1,5,60,21,20,13,1,37,4,4.19,.241,.311,.370,.681,1.21,11.7,7.7,2.7,1.0,2.8,20.4,7.2,13.3,1,1,5,0,0,5,45,19,21,4,19.0,.422,0,.000,0,.000,0,14,0,0.0,671,48,38,0.56,1,0,92,0.4
129387,Rob Brown,38,0,1,1,2,1,1.000,0,.000,6,7,58.0,250,220,55,40,10,0,5,80,23,23,27,0,38,2,3.57,.250,.336,.364,.700,1.41,13.0,5.9,4.2,0.8,1.4,15.2,10.8,4.4,0,1,1,0,0,7,38,10,21,7,33.3,.263,0,.000,0,.000,0,23,0,0.0,889,48,77,0.38,5,0,101,0.1
127393,Scotty Bruce,64,0,3,6,29,25,.862,4,.138,24,11,71.2,292,270,60,42,7,0,11,100,31,31,14,1,48,5,3.89,.222,.271,.370,.642,1.03,9.9,6.0,1.8,1.4,3.4,16.4,4.8,11.6,1,2,2,0,0,2,64,42,30,6,20.0,.656,0,.000,0,.000,0,16,0,0.0,1031,80,84,0.49,4,0,98,0.4
129132,Rich Bryant,35,35,14,7,0,0,.000,0,.000,0,0,196.1,763,711,152,119,21,1,11,208,51,50,46,0,167,1,2.29,.214,.261,.293,.554,1.01,9.1,7.7,2.1,0.5,3.6,21.9,6.0,15.9,1,4,3,0,0,20,0,0,0,0,0.0,.000,12,.343,0,.000,0,82,97,2.8,2888,207,189,0.52,16,3,58,7.2
126680,Brad Bullock,62,0,8,1,0,0,.000,0,.000,11,14,131.1,564,481,109,68,18,3,20,193,62,58,65,0,101,7,3.97,.227,.321,.401,.723,1.32,12.4,6.9,4.5,1.4,1.6,17.9,11.5,6.4,1,10,2,0,0,10,62,16,55,19,34.5,.258,0,.000,0,.000,0,32,0,0.0,2033,114,162,0.41,11,3,114,-0.5
129293,Joe Burks,31,31,7,12,0,0,.000,0,.000,0,0,151.0,657,558,130,89,19,2,20,213,77,74,89,0,107,2,4.41,.233,.337,.382,.719,1.45,13.2,6.4,5.3,1.2,1.2,16.3,13.5,2.7,2,6,7,0,0,12,0,0,0,0,0.0,.000,7,.226,0,.000,0,80,70,2.3,2499,170,150,0.53,24,6,115,0.8
124670,Paul Burns,37,0,2,0,4,2,1.000,0,.000,10,4,80.1,313,284,52,34,9,2,7,86,20,19,25,1,60,1,2.13,.183,.250,.303,.553,0.96,8.7,6.7,2.8,0.8,2.4,19.2,8.0,11.2,1,2,0,0,0,8,37,17,26,6,23.1,.459,0,.000,0,.000,0,32,0,0.0,1196,80,91,0.47,2,1,79,1.1
131158,Ray Burns,21,18,4,7,0,0,.000,0,.000,1,1,104.2,466,415,114,67,16,2,29,221,69,68,34,5,86,12,5.85,.275,.345,.533,.877,1.41,13.8,7.4,2.9,2.5,2.5,18.5,7.3,11.2,2,3,4,1,0,5,3,0,3,1,33.3,.000,3,.167,0,.000,0,81,46,2.6,1713,100,119,0.46,14,1,143,-0.8
125554,Jed Burrell,31,31,9,8,0,0,.000,0,.000,0,0,183.1,760,687,154,104,32,3,15,237,72,64,57,1,149,8,3.14,.224,.289,.345,.634,1.15,10.8,7.3,2.8,0.7,2.6,19.6,7.5,12.1,2,6,4,0,0,9,0,0,0,0,0.0,.000,15,.484,1,.032,0,89,90,2.9,2786,175,212,0.45,31,3,81,4.2
133936,Dakila Butardo,60,1,8,2,27,22,.815,5,.185,23,8,66.2,303,261,72,40,16,3,13,133,46,45,38,1,52,1,6.07,.276,.368,.510,.877,1.65,15.0,7.0,5.1,1.8,1.4,17.2,12.5,4.6,1,2,1,0,0,7,59,38,18,8,44.4,.644,0,.000,0,.000,0,19,3,3.0,1142,65,74,0.47,0,1,126,-0.9
126135,Randall Byrne,33,33,16,6,0,0,.000,0,.000,0,0,185.2,761,693,161,99,44,2,16,257,79,77,57,0,151,5,3.73,.232,.293,.371,.664,1.17,10.8,7.3,2.8,0.8,2.6,19.8,7.5,12.4,1,5,5,0,0,15,0,0,0,0,0.0,.000,16,.485,1,.030,0,84,112,3.4,2787,168,213,0.44,18,8,76,4.9
125335,Juan Cabral,51,0,4,8,7,3,.429,4,.571,18,12,59.0,245,212,47,27,7,0,13,93,31,31,32,2,61,0,4.73,.222,.324,.439,.762,1.34,12.1,9.3,4.9,2.0,1.9,24.9,13.1,11.8,1,0,2,0,0,6,51,27,29,13,44.8,.529,0,.000,0,.000,0,17,0,0.0,912,55,50,0.52,2,3,118,-0.5
121588,Jeremy Cabrera,28,0,1,2,1,0,.000,1,1.000,8,8,46.0,194,175,47,35,6,0,6,71,19,18,18,0,35,0,3.52,.269,.335,.406,.741,1.41,12.7,6.8,3.5,1.2,1.9,18.0,9.3,8.8,0,1,2,0,0,6,28,10,18,4,22.2,.357,0,.000,0,.000,0,25,0,0.0,719,42,51,0.45,0,0,101,0.1
134264,Dennis Callaghan,33,33,13,10,0,0,.000,0,.000,0,0,210.0,847,780,168,125,26,0,17,245,67,63,61,0,166,3,2.70,.215,.274,.314,.588,1.09,9.9,7.1,2.6,0.7,2.7,19.6,7.2,12.4,1,2,8,0,0,19,0,0,0,0,0.0,.000,22,.667,0,.000,0,94,111,3.4,3120,222,219,0.50,26,3,74,5.8
128441,Jerry Callahan,30,30,16,9,0,0,.000,0,.000,0,0,174.2,716,656,145,98,32,0,15,222,57,55,46,0,151,5,2.83,.221,.275,.338,.614,1.09,10.1,7.8,2.4,0.8,3.3,21.1,6.4,14.7,3,5,4,0,1,9,0,0,0,0,0.0,.000,17,.567,0,.000,0,88,86,2.9,2653,180,179,0.50,19,3,72,5.0
129106,John Cameron,47,0,3,4,2,1,.500,1,.500,13,8,50.1,216,192,44,34,6,0,4,62,24,22,22,1,36,1,3.93,.229,.312,.323,.635,1.31,12.0,6.4,3.9,0.7,1.6,16.7,10.2,6.5,1,0,2,0,0,5,47,15,25,6,24.0,.319,0,.000,0,.000,0,17,0,0.0,804,49,62,0.44,7,1,81,0.7
124666,Spencer Camp,34,0,2,1,2,1,.500,1,.500,8,5,28.2,125,112,26,13,9,0,4,47,16,16,12,1,22,1,5.02,.232,.312,.420,.732,1.33,12.2,6.9,3.8,1.3,1.8,17.6,9.6,8.0,0,0,2,0,0,1,34,9,27,4,14.8,.265,0,.000,0,.000,0,13,0,0.0,455,27,35,0.44,1,0,103,0.1
132522,Joe Carr,65,0,5,11,31,23,.742,8,.258,24,17,63.1,298,249,61,38,10,2,11,108,46,42,44,2,63,2,5.97,.245,.359,.434,.793,1.66,15.2,9.0,6.3,1.6,1.4,21.1,14.8,6.4,0,3,4,0,0,3,65,48,12,3,25.0,.738,0,.000,0,.000,0,16,0,0.0,1104,53,69,0.43,5,0,119,-0.7
122948,Ira Carroll,31,0,2,2,3,2,1.000,0,.000,4,6,56.2,235,209,44,26,6,3,9,83,19,19,23,1,42,2,3.02,.211,.294,.397,.691,1.18,11.0,6.7,3.7,1.4,1.8,17.9,9.8,8.1,0,1,3,0,0,4,31,16,32,14,43.8,.516,0,.000,0,.000,0,28,0,0.0,898,50,74,0.40,4,1,109,-0.1
130030,Lowell Cashmann,56,0,2,5,4,1,.250,3,.750,20,8,86.0,371,324,80,55,14,0,11,127,35,35,37,6,68,5,3.66,.247,.329,.392,.721,1.36,12.8,7.1,3.9,1.2,1.8,18.3,10.0,8.4,0,5,4,0,0,7,56,25,50,15,30.0,.446,0,.000,0,.000,0,24,0,0.0,1370,84,95,0.47,6,0,101,0.2
125130,Juan Castellanos,53,0,5,6,7,1,.143,6,.857,13,11,82.1,372,325,82,50,19,1,12,139,43,40,37,3,75,8,4.37,.252,.341,.428,.769,1.45,13.9,8.2,4.0,1.3,2.0,20.2,9.9,10.2,0,2,1,1,0,7,53,25,33,11,33.3,.472,0,.000,0,.000,0,25,0,0.0,1330,81,82,0.50,8,1,99,0.3
135966,António Castro,33,33,9,13,0,0,.000,0,.000,0,0,187.1,773,720,193,141,24,0,28,301,86,79,40,0,117,4,3.80,.268,.308,.418,.726,1.24,11.4,5.6,1.9,1.3,2.9,15.1,5.2,10.0,3,6,7,0,0,17,0,0,0,0,0.0,.000,14,.424,0,.000,0,84,95,2.9,2779,206,204,0.50,14,12,96,2.8
125724,Frank Cates,31,28,10,8,0,0,.000,0,.000,0,0,171.2,742,673,175,126,33,3,13,253,91,80,52,0,159,6,4.19,.260,.315,.376,.691,1.32,12.2,8.3,2.7,0.7,3.1,21.4,7.0,14.4,2,9,11,1,0,14,3,1,5,0,0.0,.333,16,.571,0,.000,0,89,106,3.8,2787,148,190,0.44,11,2,73,4.7
132753,Fernando Cedeño,58,0,3,5,37,35,.946,2,.054,33,9,65.1,263,240,54,39,9,0,6,81,15,15,21,2,57,1,2.07,.225,.290,.338,.628,1.15,10.5,7.9,2.9,0.8,2.7,21.7,8.0,13.7,1,0,5,0,0,5,58,48,3,2,66.7,.828,0,.000,0,.000,0,17,0,0.0,1034,65,65,0.50,3,0,74,1.7
125592,Earl Chapman,45,0,7,4,9,6,.667,3,.333,13,9,55.2,230,202,42,25,6,1,10,80,28,26,20,0,50,7,4.20,.208,.300,.396,.696,1.11,11.2,8.1,3.2,1.6,2.5,21.7,8.7,13.0,0,1,0,0,0,5,45,30,31,12,38.7,.667,0,.000,0,.000,0,18,0,0.0,854,57,51,0.53,0,2,116,-0.3
126844,Jim Childress,33,33,15,8,0,0,.000,0,.000,0,0,191.0,754,673,126,85,26,0,15,197,64,62,73,0,147,4,2.92,.187,.270,.293,.563,1.04,9.6,6.9,3.4,0.7,2.0,19.5,9.7,9.8,2,2,5,1,0,18,0,0,0,0,0.0,.000,15,.455,0,.000,0,88,106,3.2,2914,203,196,0.51,22,5,82,4.4
128116,Jake Cline,21,21,8,7,0,0,.000,0,.000,0,0,111.1,491,436,114,74,21,4,15,188,66,57,49,0,79,1,4.61,.261,.335,.431,.766,1.46,13.3,6.4,4.0,1.2,1.6,16.1,10.0,6.1,1,4,2,1,0,12,0,0,0,0,0.0,.000,9,.429,0,.000,0,88,74,3.5,1852,111,128,0.46,6,4,105,1.2
131203,Lester Cobb,49,8,3,4,2,1,1.000,0,.000,8,5,102.2,438,406,115,77,18,0,20,193,66,62,27,3,91,2,5.44,.283,.329,.475,.804,1.38,12.6,8.0,2.4,1.8,3.4,20.8,6.2,14.6,0,3,6,2,0,8,41,14,33,7,21.2,.341,0,.000,0,.000,0,32,24,3.0,1577,96,105,0.48,13,3,94,1.0
131141,Dean Coleman,56,0,5,5,14,10,.714,4,.286,24,13,90.1,359,340,80,61,11,0,8,115,32,29,17,1,58,0,2.89,.235,.270,.338,.608,1.07,9.7,5.8,1.7,0.8,3.4,16.2,4.7,11.4,0,2,3,0,0,8,56,31,30,8,26.7,.554,0,.000,0,.000,0,21,0,0.0,1231,90,112,0.45,6,1,73,1.8
