ID,RL,Name,First Name,Last Name,Mor,ORG,Lev,Age,EXP,OVR,POT,WE,INT,Type,STU,MOV,CON,PBABIP,HRR,STU P,MOV P,CON P,PBABIP P,HRR P,VELO,G,GS,W,L,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,ERA,BABIP,WHIP,K/9,BB/9,HR/9,K/BB,K%-BB%,SH,SF,WP,BK,CI,DP,IR,IRS,PI,GB,FB,SB,CS,ERA+,FIP,FIP-,WAR
13065,CL,LUCIANO LONGO,LUCIANO,LONGO,,NYM,MLB,36,21,48,48,N,N,Normal,50,50,50,55,50,50,50,50,55,50,96-98,13,0,3,1,14.0,64,59,20,12,3,2,3,10,10,5,1,17,0,6.43,.436,1.79,10.9,3.2,1.9,3.4,18.8,0,0,2,0,0,3,6,2,233,11,11,3,0,72,4.56,97,0.1
9344,CL,POSEIDO MAESTAS,POSEIDO,MAESTAS,,SF,MLB,25,9,52,52,H,N,Normal,50,50,50,50,50,50,50,50,50,50,97-99,41,0,2,2,60.2,249,231,53,34,12,1,6,24,24,17,1,62,0,3.56,.287,1.15,9.2,2.5,0.9,3.6,18.1,0,1,2,2,0,2,28,9,954,56,60,11,2,119,3.38,79,0.9
25686,CL,FINN MUELLER,FINN,MUELLER,,LAD,MLB,34,15,73,73,N,N,Normal,55,60,60,55,65,55,60,60,55,65,95-97,41,0,3,3,44.0,178,164,37,26,6,2,3,14,14,13,2,49,1,2.86,.304,1.14,10.0,2.7,0.6,3.8,20.2,0,0,2,0,0,2,1,1,666,39,39,1,2,148,2.82,66,1.4
28176,CL,JULIAN NIGH,JULIAN,NIGH,,TEX,MLB,26,8,54,57,N,N,Normal,50,60,50,55,65,60,60,50,55,65,95-97,46,0,4,3,47.2,198,177,39,32,6,0,1,9,9,17,2,50,2,1.70,.299,1.17,9.4,3.2,0.2,2.9,16.7,1,1,2,0,0,5,0,0,714,41,46,2,0,247,2.59,61,1.6
14877,CL,JOSH O'HEARN,JOSH,O'HEARN,,BAL,MLB,26,11,55,55,N,N,Normal,60,50,50,50,50,60,50,50,50,55,97-99,35,2,5,2,45.1,219,192,62,41,11,1,9,37,31,22,1,46,3,6.15,.381,1.85,9.1,4.4,1.8,2.1,11.0,0,2,8,2,0,2,12,2,853,36,49,5,0,72,5.48,123,-0.3
35838,CL,ALEJANDRO PADILLA,ALEJANDRO,PADILLA,,COL,MLB,35,13,45,45,N,N,Humble,45,50,60,50,45,45,50,60,50,45,92-94,5,1,0,0,8.2,38,37,12,8,2,0,2,6,6,1,0,5,0,6.23,.333,1.50,5.2,1.0,2.1,5.0,10.5,0,0,1,0,0,0,2,1,123,9,9,1,1,75,5.54,118,-0.0
28697,CL,BILLY PARRY,BILLY,PARRY,,BAL,MLB,34,15,70,70,N,N,Normal,55,60,60,55,60,55,60,60,55,60,93-95,55,0,9,2,70.1,293,263,59,41,7,2,9,28,28,26,2,73,2,3.58,.273,1.21,9.3,3.3,1.2,2.8,16.0,0,2,0,0,0,7,17,6,1079,81,50,10,1,124,4.04,90,0.6
40777,CL,BARRY PERDOMO,BARRY,PERDOMO,,TB,MLB,21,2,62,62,N,N,Normal,75,50,50,45,55,75,50,50,45,55,96-98,52,0,4,2,55.2,222,196,37,25,7,1,4,24,23,23,8,68,1,3.72,.264,1.08,11.0,3.7,0.6,3.0,20.3,1,1,3,0,0,4,15,3,850,44,47,3,3,117,2.70,62,1.5
11574,CL,DAMIAN REASE,DAMIAN,REASE,,SEA,MLB,33,17,80,80,N,N,Normal,55,65,75,60,65,55,65,75,60,65,97-99,58,0,6,2,73.1,288,274,59,46,9,0,4,15,13,7,0,78,6,1.60,.286,0.90,9.6,0.9,0.5,11.1,24.7,1,0,3,0,0,7,10,1,1030,61,74,19,0,274,2.46,56,2.3
24437,CL,ADÁN ROSADO,ADÁN,ROSADO,,CHC,MLB,35,16,59,59,H,N,Normal,50,55,60,55,55,50,55,60,55,55,95-97,38,0,1,2,53.0,221,198,44,28,9,1,6,25,22,17,2,39,1,3.74,.242,1.15,6.6,2.9,1.0,2.3,10.0,1,4,0,2,0,3,9,3,792,56,60,6,1,117,4.25,97,0.3
32894,CL,HAROLD SILAWARN,HAROLD,SILAWARN,,KCR,MLB,21,3,50,55,H,N,Normal,50,55,45,50,60,65,55,50,50,60,96-98,36,0,3,3,38.0,153,133,23,17,4,0,2,8,8,17,0,33,1,1.89,.210,1.05,7.8,4.0,0.5,1.9,10.5,0,2,2,0,0,2,3,0,578,34,45,4,0,228,3.71,86,0.6
9899,CL,ANIS MATAR TAHIRI,ANIS MATAR,TAHIRI,,MIL,MLB,33,18,49,49,N,N,Captain,60,55,50,65,50,60,55,50,65,50,95-97,48,0,1,4,58.0,230,207,37,26,9,0,2,12,11,19,2,57,4,1.71,.236,0.97,8.8,2.9,0.3,3.0,16.5,0,0,1,0,0,5,21,5,845,55,56,3,0,253,2.91,67,1.4
7101,CL,SETH WOODARD,SETH,WOODARD,,FLA,MLB,36,21,45,45,N,N,Normal,50,50,45,50,50,50,50,45,50,50,93-95,47,0,2,5,49.1,212,197,54,39,8,1,6,26,26,9,1,52,4,4.74,.340,1.28,9.5,1.6,1.1,5.8,20.3,0,2,1,0,0,4,10,2,757,41,51,2,0,89,3.55,83,0.8
33580,RP,RAHIMAT ABU NASIM,RAHIMAT,ABU NASIM,,HOU,MLB,27,12,42,42,N,N,Selfish,50,55,40,55,55,50,55,40,55,55,95-97,28,0,0,2,27.2,127,113,33,25,5,0,3,12,12,10,0,34,3,3.90,.395,1.55,11.1,3.3,1.0,3.4,18.9,1,0,0,0,0,0,19,9,474,22,25,1,0,114,3.71,83,0.4
28581,RP,HUGO ACOSTA,HUGO,ACOSTA,,SD,MLB,23,7,35,40,N,N,Normal,45,45,35,50,45,50,50,45,50,45,94-96,13,1,1,0,19.0,89,75,23,13,3,1,6,18,17,13,0,15,0,8.05,.309,1.89,7.1,6.2,2.8,1.2,2.2,0,1,1,1,0,4,14,2,351,16,22,1,0,52,7.92,187,-0.7
22972,RP,ADÁN ADAMES,ADÁN,ADAMES,,CWS,MLB,23,7,48,48,N,N,Normal,45,50,60,50,50,45,50,60,50,50,94-96,23,1,3,5,47.2,194,180,39,25,3,0,11,23,19,12,2,45,0,3.59,.224,1.07,8.5,2.3,2.1,3.8,17.0,1,1,1,0,0,2,8,0,725,46,49,8,0,120,5.09,118,-0.3
39663,RP,NATHAN AGUILERA,NATHAN,AGUILERA,,WAS,MLB,23,7,46,59,N,N,Selfish,60,45,50,50,45,75,50,50,50,55,99-101,12,0,2,0,8.1,39,37,13,10,3,0,0,4,4,2,0,7,0,4.32,.433,1.80,7.6,2.2,0.0,3.5,12.8,0,0,0,0,0,0,2,1,149,10,7,3,1,105,2.38,52,0.2
29385,RP,YORDANYS ALCANTARA,YORDANYS,ALCANTARA,,PIT,MLB,36,20,50,50,N,N,Normal,45,50,65,55,50,45,50,65,55,50,95-97,21,19,7,8,119.0,493,459,121,78,24,2,17,61,58,25,1,89,2,4.39,.290,1.23,6.7,1.9,1.3,3.6,13.0,1,6,3,1,0,6,2,1,1717,111,142,11,4,99,4.36,100,1.5
36151,RP,GABE ALVARADO,GABE,ALVARADO,,SD,MLB,24,9,43,44,N,N,Outspoken,45,45,50,50,45,50,50,55,50,45,95-97,24,4,3,4,64.2,286,253,59,33,12,3,11,38,27,29,3,51,3,3.76,.250,1.36,7.1,4.0,1.5,1.8,7.7,0,1,3,0,0,7,19,8,1053,57,78,9,1,112,5.32,126,-0.4
12678,RP,GAVINO ALVAREZ,GAVINO,ALVAREZ,,PIT,MLB,39,23,48,48,N,N,Normal,45,50,60,50,50,45,50,60,50,50,95-97,16,0,0,1,17.1,74,64,15,10,3,1,1,5,5,5,0,19,3,2.60,.304,1.15,9.9,2.6,0.5,3.8,18.9,0,2,0,0,0,1,11,4,292,8,23,1,0,167,3.29,75,0.3
23942,RP,RALPH ARRIAGA,RALPH,ARRIAGA,,HOU,MLB,26,11,44,45,N,N,Normal,50,50,45,50,50,50,50,45,50,55,93-95,21,0,3,2,28.1,119,106,27,18,4,1,4,13,11,11,0,20,1,3.49,.277,1.34,6.4,3.5,1.3,1.8,7.6,0,1,3,1,0,4,22,8,458,30,28,2,1,127,5.04,113,-0.1
36823,RP,BOBBY AVILES,BOBBY,AVILES,,OAK,MLB,23,7,48,48,H,N,Sparkplug,45,55,50,50,55,45,55,50,50,55,95-97,38,0,2,2,49.2,221,192,50,37,6,0,7,24,22,21,8,37,6,3.99,.287,1.43,6.7,3.8,1.3,1.8,7.2,0,2,0,0,0,3,18,7,758,55,51,3,1,111,4.83,108,-0.1
32406,RP,TIMMY AVILES,TIMMY,AVILES,,SD,MLB,32,13,44,44,N,N,Normal,55,50,45,55,45,55,50,45,55,45,94-96,11,0,0,0,14.1,62,55,12,7,1,1,3,6,6,7,1,18,0,3.77,.265,1.33,11.3,4.4,1.9,2.6,17.7,0,0,0,0,0,0,7,2,257,12,12,0,1,112,4.81,113,-0.1
22882,RP,R.J. BADGETT,R.J.,BADGETT,,CHC,MLB,31,13,48,48,N,N,Normal,45,55,50,55,60,45,55,50,55,60,92-94,25,0,1,3,41.0,186,165,44,31,10,0,3,26,26,16,1,35,3,5.71,.318,1.46,7.7,3.5,0.7,2.2,10.2,0,2,1,0,0,1,7,1,650,33,53,7,1,76,3.91,89,0.4
39646,RP,ALFONSO BANALES,ALFONSO,BANALES,,OAK,MLB,20,7,44,47,H,N,Normal,45,55,45,55,55,45,55,50,55,60,97-99,9,0,1,0,7.2,31,24,3,2,1,0,0,4,2,5,0,5,1,2.35,.150,1.04,5.9,5.9,0.0,1.0,0.0,0,1,2,0,0,2,7,1,118,9,7,0,0,189,4.39,98,0.0
40627,RP,OSCAR BANOS,OSCAR,BANOS,,ANA,MLB,24,3,80,80,N,N,Normal,80,55,35,50,65,80,60,35,50,70,94-96,42,0,6,1,47.1,190,165,30,17,9,1,3,13,13,25,1,61,0,2.47,.267,1.16,11.6,4.8,0.6,2.4,18.9,0,0,2,1,0,5,20,4,785,32,41,2,1,177,3.11,71,1.1
40031,RP,FABIAN BARROW,FABIAN,BARROW,,KCM,MLB,22,7,55,55,H,N,Normal,55,55,55,55,55,55,55,55,55,55,97-99,28,0,5,3,46.0,186,169,43,25,7,0,11,25,25,13,2,32,4,4.89,.254,1.22,6.3,2.5,2.2,2.5,10.2,0,0,1,1,0,8,22,6,666,52,42,1,4,89,6.04,138,-0.9
14679,RP,MARK BARTEAU,MARK,BARTEAU,,PHI,MLB,34,18,48,48,H,N,Normal,60,55,45,55,60,60,55,45,55,60,95-97,56,0,2,0,56.2,239,205,46,37,7,0,2,13,12,24,0,47,7,1.91,.278,1.24,7.5,3.8,0.3,2.0,9.6,1,2,1,1,0,6,7,4,900,53,61,2,0,222,3.79,89,0.6
38445,RP,CAIDEN BAUER,CAIDEN,BAUER,,KCM,MLB,25,3,44,47,H,N,Sparkplug,55,50,45,50,50,70,50,45,50,50,95-97,51,0,5,4,43.0,172,156,39,24,7,2,6,20,20,13,0,37,0,4.19,.284,1.21,7.7,2.7,1.3,2.8,14.0,0,3,3,0,0,3,17,4,683,44,39,10,4,104,4.34,99,0.2
7096,RP,MASON BEAM,MASON,BEAM,,SF,MLB,31,15,43,43,N,H,Normal,55,50,50,50,45,55,50,50,50,45,94-96,33,0,6,1,46.0,185,172,38,24,10,1,3,12,11,10,1,52,1,2.15,.294,1.04,10.2,2.0,0.6,5.2,22.7,0,2,1,2,0,1,17,5,710,37,46,1,0,196,2.58,61,1.2
35026,RP,LIONEL BEAUDOIN,LIONEL,BEAUDOIN,,CIN,MLB,25,10,49,49,N,L,Outspoken,50,60,40,55,65,50,60,40,55,65,97-99,42,5,7,3,62.1,265,230,48,27,15,0,6,26,22,34,0,56,0,3.18,.249,1.32,8.1,4.9,0.9,1.6,8.3,0,1,5,0,0,8,21,5,1034,63,58,4,2,137,4.44,101,0.3
14744,RP,JORDAN BEECHER,JORDAN,BEECHER,,MIN,MLB,25,8,44,44,H,N,Normal,65,45,55,55,40,75,45,55,55,40,96-98,35,0,4,1,36.1,151,142,37,20,8,0,9,19,19,9,0,50,0,4.71,.337,1.27,12.4,2.2,2.2,5.6,27.2,0,0,4,0,0,3,15,6,560,30,24,2,1,93,4.56,104,0.0
26841,RP,JESSE BEITZEL,JESSE,BEITZEL,,MIN,MLB,39,20,42,42,H,N,Humble,45,50,55,50,50,45,50,55,50,50,93-95,44,0,2,1,50.2,211,199,56,31,16,2,7,27,26,10,0,34,1,4.62,.308,1.30,6.0,1.8,1.2,3.4,11.4,0,1,0,0,0,6,20,5,717,61,48,8,0,95,4.45,101,0.1
6286,RP,ELIA BENEDETTINI,ELIA,BENEDETTINI,,DET,MLB,35,20,45,45,N,N,Normal,50,60,40,55,65,50,60,40,55,65,97-99,28,0,2,1,29.1,135,114,33,21,8,0,4,20,19,14,1,27,3,5.83,.333,1.60,8.3,4.3,1.2,1.9,9.6,0,4,0,0,0,4,12,5,529,27,28,3,1,74,4.91,113,-0.1
36690,RP,ED BENNER,ED,BENNER,,SEA,MLB,21,3,47,53,H,H,Normal,55,55,45,55,50,75,55,45,55,50,95-97,12,0,0,0,19.2,85,77,22,9,8,0,5,7,6,6,1,16,0,2.75,.293,1.42,7.3,2.7,2.3,2.7,11.8,0,2,0,0,0,1,6,4,333,20,21,2,1,159,5.79,132,-0.3
36218,RP,MARTIN BERA,MARTIN,BERA,,CIN,MLB,23,9,49,49,N,N,Normal,50,50,55,50,50,60,50,55,50,50,96-98,20,0,1,1,25.0,101,85,16,12,3,0,1,6,5,13,0,21,2,1.80,.234,1.16,7.6,4.7,0.4,1.6,7.9,0,1,2,0,0,3,12,1,364,24,25,4,1,243,3.98,91,0.2
16185,RP,STEW BETTS,STEW,BETTS,,TEX,MLB,31,15,42,42,N,H,Normal,55,50,40,50,50,55,50,40,50,50,94-96,32,0,1,3,40.0,169,145,33,20,6,2,5,14,14,21,4,48,1,3.15,.301,1.35,10.8,4.7,1.1,2.3,16.0,1,1,3,0,0,5,23,6,632,33,33,6,1,133,3.92,93,0.3
6815,RP,LEVI BIRCKHEAD,LEVI,BIRCKHEAD,,OAK,MLB,32,17,43,43,N,N,Normal,55,50,50,55,45,55,50,50,55,45,94-96,36,0,4,4,52.0,224,204,54,39,8,0,7,20,16,16,4,59,2,2.77,.338,1.35,10.2,2.8,1.2,3.7,19.2,0,1,2,0,1,3,31,6,863,42,47,0,3,160,3.63,81,0.7
7919,RP,DARWIN BIVINS,DARWIN,BIVINS,,PIT,MLB,30,15,52,52,N,N,Normal,55,50,50,50,55,55,50,50,50,55,96-98,40,0,5,3,44.2,184,163,36,26,9,0,1,16,15,15,1,47,5,3.02,.302,1.14,9.5,3.0,0.2,3.1,17.4,0,1,2,0,0,3,17,6,671,32,47,2,3,144,2.81,64,1.2
21910,RP,LUCA BLACKSHER,LUCA,BLACKSHER,,PIT,MLB,31,13,49,49,L,N,Normal,50,50,60,50,50,50,50,60,50,50,94-96,29,0,2,1,40.2,160,151,32,22,7,1,2,13,13,6,0,49,2,2.88,.297,0.93,10.8,1.3,0.4,8.2,26.9,0,1,1,0,0,1,18,6,595,27,43,4,1,151,2.16,49,1.2
38385,RP,IAN BLOMBERG,IAN,BLOMBERG,,KCR,MLB,23,3,41,41,N,N,Normal,50,50,45,55,45,55,50,45,55,50,94-96,37,0,3,1,61.0,253,223,46,27,10,0,9,26,24,23,0,50,5,3.54,.226,1.13,7.4,3.4,1.3,2.2,10.7,2,0,3,2,0,5,27,4,888,57,69,7,0,122,5.00,116,-0.3
37379,RP,SAM BOK,SAM,BOK,,COL,MLB,23,7,45,49,N,N,Normal,55,50,45,50,50,70,50,50,50,50,97-99,22,0,0,0,26.2,119,97,21,13,6,1,1,14,13,15,0,29,6,4.39,.294,1.35,9.8,5.1,0.3,1.9,11.8,0,1,3,1,0,3,13,4,462,29,18,2,1,106,4.02,85,0.3
29413,RP,CAMRON BOLLINGER,CAMRON,BOLLINGER,,COL,MLB,26,8,48,48,N,N,Normal,50,50,55,50,50,50,50,55,50,50,94-96,34,0,4,3,38.2,156,140,32,19,4,1,8,17,17,13,2,37,2,3.96,.250,1.16,8.6,3.0,1.9,2.8,15.4,0,1,1,0,0,4,4,0,611,35,37,1,0,118,5.13,109,-0.1
23371,RP,VITANTONIO BOURQUE,VITANTONIO,BOURQUE,,ATL,MLB,32,14,39,39,N,N,Prankster,45,45,50,50,40,45,45,50,50,40,94-96,15,0,0,1,25.1,106,95,24,14,7,0,3,12,12,8,0,23,1,4.26,.296,1.26,8.2,2.8,1.1,2.9,14.2,0,2,3,0,0,4,13,5,401,24,24,1,0,100,4.13,96,0.1
38837,RP,MICKEY BRAGG,MICKEY,BRAGG,,ATL,MLB,21,3,46,63,N,H,Normal,50,50,50,55,50,80,55,50,55,55,94-96,15,0,0,0,15.2,64,59,14,12,2,0,0,5,5,4,0,15,0,2.87,.311,1.15,8.6,2.3,0.0,3.8,17.2,0,1,0,0,0,1,7,3,219,13,17,0,0,149,2.20,51,0.5
8983,RP,GUNNER BRUBAKER,GUNNER,BRUBAKER,,SF,MLB,28,12,54,55,H,L,Normal,50,55,55,55,55,50,55,55,55,60,97-99,33,0,1,1,57.2,257,234,76,45,18,3,10,40,39,19,1,43,3,6.09,.363,1.65,6.7,3.0,1.6,2.3,9.3,0,1,5,0,0,10,22,3,920,58,57,2,1,69,5.20,122,-0.5
39652,RP,JEB BURDETTE,JEB,BURDETTE,,CLE,MLB,22,7,46,46,N,N,Normal,50,50,55,50,55,50,55,55,50,55,95-97,38,0,4,0,36.0,149,131,35,26,7,0,2,13,13,14,0,34,0,3.25,.333,1.36,8.5,3.5,0.5,2.4,13.4,0,4,1,0,0,8,24,8,573,36,29,3,0,129,3.34,79,0.5
39662,RP,RICHARD BURKMAN,RICHARD,BURKMAN,,ATL,MLB,22,7,57,61,H,N,Humble,50,55,55,55,55,55,55,70,55,55,98-100,40,0,1,4,50.0,227,200,58,35,13,2,8,33,29,20,0,50,3,5.22,.342,1.56,9.0,3.6,1.4,2.5,13.2,0,4,3,1,0,6,27,12,836,48,45,4,0,82,4.80,112,-0.2
9800,RP,DYLAN BURLINGAME,DYLAN,BURLINGAME,,MON,MLB,33,17,45,45,N,H,Normal,45,50,60,55,50,45,50,60,55,50,95-97,36,0,1,0,28.1,115,100,22,14,6,0,2,12,12,12,3,27,0,3.81,.274,1.20,8.6,3.8,0.6,2.2,13.0,1,2,0,0,0,2,20,1,412,24,30,2,0,113,3.31,76,0.5
23293,RP,WEBSTER BURNEY,WEBSTER,BURNEY,,PHI,MLB,35,17,50,50,N,N,Normal,45,55,55,50,55,45,55,55,50,55,92-94,51,0,5,4,71.0,281,251,53,35,8,1,9,19,19,23,1,66,2,2.41,.247,1.07,8.4,2.9,1.1,2.9,15.3,2,2,0,0,1,10,35,11,1051,74,61,9,0,176,4.15,98,0.3
14611,RP,ABRAHAM CADDY,ABRAHAM,CADDY,,ARI,MLB,31,12,50,50,N,N,Normal,45,50,65,55,50,45,50,65,55,50,93-95,26,4,1,3,55.2,240,223,62,32,12,4,14,35,35,11,0,57,4,5.66,.316,1.31,9.2,1.8,2.3,5.2,19.2,2,0,1,1,0,3,8,1,891,50,53,7,2,78,5.37,122,-0.2
28765,RP,TYLER CALCOTE,TYLER,CALCOTE,,CWS,MLB,26,8,44,44,N,N,Normal,50,50,50,50,50,55,50,50,50,50,96-98,23,0,1,0,31.0,131,122,32,23,5,0,4,14,14,8,2,34,0,4.06,.333,1.29,9.9,2.3,1.2,4.2,19.8,1,0,0,0,0,0,16,6,474,21,35,1,0,106,3.41,79,0.5
5424,RP,HUGO CARRANZA,HUGO,CARRANZA,,ARI,MLB,23,9,44,44,H,H,Normal,50,50,45,50,45,60,50,45,50,45,98-100,15,0,1,0,19.0,86,74,21,12,4,3,2,10,10,11,0,14,0,4.74,.322,1.68,6.6,5.2,0.9,1.3,3.5,0,1,2,0,0,2,13,7,297,14,26,1,0,93,4.98,113,-0.1
34116,RP,KAIKE CARVALHO,KAIKE,CARVALHO,,KCM,MLB,20,5,53,53,N,N,Normal,50,55,45,55,60,60,55,45,55,60,96-98,39,0,1,3,45.2,211,181,51,39,5,2,5,28,28,27,0,42,2,5.52,.341,1.71,8.3,5.3,1.0,1.6,7.1,0,1,1,0,0,5,18,3,772,31,57,8,1,79,4.83,110,-0.1
36573,RP,SIMÓN CASTANEDA,SIMÓN,CASTANEDA,,BOS,MLB,25,3,44,47,N,L,Outspoken,50,55,40,55,55,70,55,40,55,60,97-99,20,0,0,0,18.1,89,75,20,11,5,1,3,15,15,13,0,23,1,7.36,.347,1.80,11.3,6.4,1.5,1.8,11.2,0,0,2,1,0,0,11,7,356,16,15,2,0,58,5.25,122,-0.1
