ID,Name,First Name,Last Name,Mor,ORG,Lev,Age,EXP,OVR,POT,AD,WE,INT,CON,BABIP,GAP,POW,EYE,K's,HT P,CON P,GAP P,POW P,EYE P,K P,SPE,RUN,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,BB%,IBB,HP,SH,SF,CI,SO,SO%,GIDP,AVG,OBP,SLG,OPS+,BABIP,wRC+,WAR,PI/PA,SB,CS,BatR,UBR,BsR,ZR,EFF
20159,HERMAN RATLIFF,HERMAN,RATLIFF,,ANA,MLB,23,8,39,39,L,N,N,45,45,40,50,50,50,45,45,40,50,50,50,40,40,33,24,107,94,17,13,2,0,2,11,7,13,12.1,0,0,0,0,0,26,24.3,3,.181,.280,.266,50,.227,54,-0.0,4.07,1,0,-5.9,0.2,0.1,-0.1,.975
18382,OSCAR ROSE,OSCAR,ROSE,,ANA,MLB,29,11,46,46,H,H,N,50,45,60,50,45,60,50,55,60,50,50,60,60,60,89,89,382,348,90,62,19,0,9,46,47,25,6.5,0,1,0,8,0,56,14.7,7,.259,.304,.391,86,.278,86,0.7,3.51,28,6,-6.0,0.5,3.0,-6.1,.974
31634,TREVOR SCHIEL,TREVOR,SCHIEL,,ANA,MLB,29,14,46,46,L,N,N,55,50,55,45,50,65,50,60,55,45,50,65,35,30,21,20,87,78,13,10,2,0,1,6,8,8,9.2,0,0,0,1,0,15,17.2,2,.167,.241,.231,29,.190,29,-0.6,3.61,0,0,-7.3,0.3,0.3,-1.4,.960
4950,ROB VANLOH,ROB,VANLOH,,ANA,MLB,29,14,37,37,N,L,N,45,45,45,25,50,50,45,45,45,25,55,50,40,45,67,26,128,110,20,15,5,0,0,7,10,14,10.9,0,2,2,2,0,19,14.8,4,.182,.281,.227,41,.215,44,-0.0,3.69,0,0,-8.4,0.1,0.1,2.3,1.080
31231,ERIS VILLALOBOS,ERIS,VILLALOBOS,,ANA,MLB,25,11,35,41,N,N,N,50,55,50,35,50,45,65,50,55,35,50,45,50,60,91,91,322,280,52,40,8,3,1,17,26,31,9.6,0,9,2,2,0,78,24.2,6,.186,.286,.246,47,.251,51,-0.4,3.81,10,6,-18.7,-0.6,-2.3,5.7,1.024
36160,VICTOR BARRIOS,VICTOR,BARRIOS,,ARI,MLB,23,9,41,41,H,N,N,45,50,45,55,55,45,50,45,45,55,55,45,30,40,17,14,64,57,12,7,4,0,1,2,8,7,10.9,0,0,0,0,0,12,18.8,4,.211,.297,.333,70,.250,73,-0.1,3.31,1,0,-2.0,0.3,0.4,-1.2,.960
30154,KELLEN BODEN,KELLEN,BODEN,,ARI,MLB,27,9,47,50,H,H,H,50,50,65,50,55,45,55,50,65,50,60,50,70,75,60,58,275,254,68,37,18,7,6,26,41,16,5.8,0,5,0,0,0,80,29.1,3,.268,.324,.465,109,.369,112,1.6,3.83,22,3,4.1,-2.2,0.8,2.8,1.050
16865,LUKE FORNEA,LUKE,FORNEA,,ARI,MLB,27,8,39,43,H,N,N,40,50,50,55,65,30,55,45,55,55,70,40,30,35,48,44,175,143,30,16,8,0,6,19,21,29,16.6,1,1,0,2,0,57,32.6,6,.210,.343,.392,98,.293,101,0.7,4.37,0,0,0.3,-0.0,-0.0,-0.2,.731
18326,ETHAN GRIMES,ETHAN,GRIMES,,ARI,MLB,26,11,32,34,N,H,N,40,40,40,35,45,40,40,40,40,35,45,40,60,55,79,57,193,180,35,29,3,0,3,9,19,9,4.7,0,4,6,0,0,53,27.5,1,.194,.249,.261,38,.258,38,0.3,3.70,15,3,-14.3,1.6,3.1,5.1,1.095
25219,ALFIE HOU,ALFIE,HOU,,ARI,MLB,32,13,46,46,N,H,N,45,50,55,60,55,40,50,45,55,60,55,40,20,30,91,91,370,321,72,39,9,0,24,56,50,46,12.4,0,0,0,3,0,116,31.4,5,.224,.319,.477,110,.261,114,1.6,4.10,0,0,6.3,-3.5,-3.5,-0.2,1.010
37598,CORMAC KEALY,CORMAC,KEALY,,ARI,MLB,25,3,40,41,N,H,N,50,50,50,50,45,50,50,55,50,50,45,50,55,55,22,18,80,76,26,19,4,0,3,17,6,4,5.0,0,0,0,0,0,17,21.2,1,.342,.375,.513,136,.411,143,0.6,3.76,1,4,4.1,0.5,-1.6,2.0,1.053
24847,CALEB KORSMARK,CALEB,KORSMARK,,ARI,MLB,26,8,54,58,N,H,N,50,55,55,55,65,45,55,50,55,55,70,45,25,20,99,99,431,375,108,56,23,3,26,75,60,47,10.9,4,8,0,1,0,115,26.7,9,.288,.378,.573,151,.349,152,3.0,3.92,0,0,27.3,-1.8,-1.8,0.2,1.003
29004,MING-HSU LIANG,MING-HSU,LIANG,,ARI,MLB,27,8,40,42,H,H,N,50,45,60,45,40,60,50,55,65,50,45,60,55,60,88,80,321,306,68,45,16,1,6,31,35,10,3.1,2,2,5,3,0,57,17.8,4,.222,.249,.340,57,.252,51,-1.1,3.23,6,0,-18.5,-2.6,-1.9,-1.1,.988
30310,JAY LOCKLEAR,JAY,LOCKLEAR,,ARI,MLB,27,9,56,56,H,H,L,60,60,60,55,45,55,60,60,60,55,45,55,35,30,91,91,411,380,124,78,32,0,14,65,61,25,6.1,0,1,0,5,0,75,18.2,11,.326,.365,.521,135,.372,139,2.3,3.73,0,0,19.5,-0.3,-0.3,-4.2,.988
37338,SAMUEL MATTHEWS,SAMUEL,MATTHEWS,,ARI,MLB,22,7,34,36,N,N,N,40,40,40,45,45,45,40,45,40,45,45,45,25,25,58,51,199,175,42,35,4,1,2,23,19,19,9.5,1,1,2,4,0,63,31.7,2,.240,.312,.309,59,.351,63,0.3,3.77,0,0,-8.8,-2.6,-2.6,0.2,1.083
18896,DYLAN MOORE,DYLAN,MOORE,,ARI,MLB,25,7,41,41,N,N,N,50,45,60,45,45,60,45,50,60,45,45,60,50,60,93,90,350,317,81,52,18,2,9,33,45,29,8.3,1,1,0,3,0,60,17.1,7,.256,.317,.410,94,.287,95,1.0,3.70,5,4,-1.8,-1.2,-3.1,1.8,.990
28236,JAY NOLIN,JAY,NOLIN,,ARI,MLB,27,9,43,43,H,H,H,45,45,50,35,55,45,45,45,50,35,55,45,45,60,42,22,108,98,17,11,4,0,2,8,10,10,9.3,0,0,0,0,0,27,25.0,0,.173,.250,.276,42,.217,43,-0.3,3.95,7,0,-7.4,-1.4,-0.0,-0.6,1.001
6044,DYLAN O'CONNOR,DYLAN,O'CONNOR,,ARI,MLB,29,11,57,58,N,N,H,50,60,55,60,60,45,60,50,55,60,60,45,45,55,96,95,400,345,77,34,20,3,20,49,50,49,12.2,0,5,0,1,0,108,27.0,9,.223,.328,.472,112,.261,116,1.2,3.96,1,2,8.0,0.1,-1.9,-0.4,.970
35525,GABRIEL SILVA,GABRIEL,SILVA,,ARI,MLB,23,3,55,63,L,N,N,45,55,60,65,55,35,55,45,60,70,55,35,40,55,59,41,182,163,33,18,5,0,10,28,24,18,9.9,0,1,0,0,0,63,34.6,3,.202,.286,.417,86,.256,89,-0.1,4.18,0,0,-2.3,0.2,0.2,-6.8,.875
13801,TED ANIELLO,TED,ANIELLO,,ATL,MLB,23,8,48,50,N,N,L,55,50,60,55,40,65,50,60,60,55,40,65,65,75,89,83,380,362,113,79,21,4,9,45,54,11,2.9,1,5,0,2,0,52,13.7,7,.312,.339,.467,121,.343,119,2.4,3.43,33,7,9.1,0.7,3.8,-1.4,.994
13974,CLAY BLOCK,CLAY,BLOCK,,ATL,MLB,25,9,35,38,N,H,N,45,40,55,40,45,50,40,45,60,40,50,55,70,70,92,87,345,319,62,40,14,4,4,29,30,20,5.8,0,4,0,2,0,74,21.4,3,.194,.249,.301,52,.239,49,-0.5,3.70,18,4,-20.7,1.6,3.0,1.7,1.003
22961,CONRAD CARRIERE,CONRAD,CARRIERE,,ATL,MLB,23,8,51,57,N,N,N,50,55,45,60,50,50,55,55,45,60,50,55,20,20,97,94,414,362,107,66,25,0,16,60,50,49,11.8,3,0,0,3,0,81,19.6,6,.296,.377,.497,141,.340,138,1.7,3.83,0,0,19.0,-5.4,-5.4,0.0,.000
15659,ERICK COCHRAN,ERICK,COCHRAN,,ATL,MLB,27,8,43,44,N,N,N,50,50,55,50,40,60,50,55,55,50,40,60,60,65,90,78,321,301,71,49,11,0,11,43,39,15,4.7,3,3,0,2,0,58,18.1,2,.236,.277,.382,81,.256,74,-0.2,3.29,12,7,-9.7,-0.1,-1.5,1.2,1.045
12731,WILSON COCHRAN,WILSON,COCHRAN,,ATL,MLB,24,9,44,44,H,H,N,55,50,55,50,40,60,50,55,55,50,40,60,40,40,90,84,348,329,103,76,15,1,11,45,36,11,3.2,0,7,0,1,0,37,10.6,15,.313,.348,.465,123,.326,124,1.5,3.32,3,2,10.3,-3.7,-5.3,-3.9,.942
26522,DAN DROUIN,DAN,DROUIN,,ATL,MLB,31,12,39,39,N,H,N,45,40,40,50,50,55,40,45,40,50,50,55,35,40,49,46,178,153,34,27,4,0,3,13,18,21,11.8,1,4,0,0,0,28,15.7,5,.222,.331,.307,80,.254,82,-0.2,3.85,1,0,-3.7,-2.1,-2.5,-1.9,.877
30937,JUAN GARCÍA,JUAN,GARCÍA,,ATL,MLB,24,8,48,51,N,N,H,55,50,45,50,55,60,50,55,45,55,55,60,30,30,23,14,65,61,17,14,1,0,2,4,3,4,6.2,0,0,0,0,0,11,16.9,2,.279,.323,.393,98,.312,98,-0.0,3.72,0,0,-0.1,-2.0,-2.0,-0.1,.957
26848,ZACH MEEHAN,ZACH,MEEHAN,,ATL,MLB,28,9,49,52,H,N,N,55,55,60,45,55,50,60,60,65,45,65,55,60,65,91,89,425,369,109,69,27,4,9,43,54,52,12.2,0,4,0,0,0,73,17.2,5,.295,.388,.463,136,.348,138,3.8,3.89,19,8,19.8,0.8,-0.3,2.8,1.036
20307,A.J. ORTIZ,A.J.,ORTIZ,,ATL,MLB,28,10,35,35,N,H,N,50,55,45,45,45,45,55,50,50,50,45,45,55,70,34,14,73,66,19,12,4,1,2,9,12,6,8.2,0,1,0,0,0,20,27.4,0,.288,.356,.470,127,.386,128,0.3,3.95,1,0,2.5,0.8,0.8,-1.7,.877
25003,THOMAS RIETBERGEN,THOMAS,RIETBERGEN,,ATL,MLB,23,7,61,61,N,H,H,55,50,55,60,55,65,50,60,55,60,55,65,35,55,51,50,223,206,45,32,3,1,9,22,24,13,5.8,0,3,0,1,0,42,18.8,6,.218,.274,.374,78,.231,76,-0.8,3.64,1,0,-6.2,-1.5,-1.9,-8.9,.855
9606,JAMES STEELE,JAMES,STEELE,,ATL,MLB,27,11,35,37,N,N,L,45,45,55,35,50,45,50,50,60,35,55,50,75,80,32,12,57,51,8,5,2,0,1,3,5,4,7.0,0,1,0,1,0,13,22.8,3,.157,.228,.255,34,.184,32,-0.2,3.72,1,0,-4.6,0.4,0.5,-0.8,.956
34641,DOMINIC STOLLER,DOMINIC,STOLLER,,ATL,MLB,27,9,80,80,H,H,N,55,50,45,65,50,60,50,55,45,70,50,60,25,20,78,75,335,299,94,69,13,0,12,45,50,22,6.6,4,9,0,5,0,53,15.8,7,.314,.373,.478,135,.343,130,1.4,3.57,0,1,12.1,-2.6,-4.4,0.7,.994
32889,JAVIER TENORIO,JAVIER,TENORIO,,ATL,MLB,25,9,41,42,N,H,N,45,35,40,55,55,60,35,45,40,55,60,60,20,20,60,53,217,192,44,29,8,0,7,20,27,22,10.1,2,2,0,1,0,27,12.4,7,.229,.313,.380,92,.233,88,1.0,3.72,0,0,-2.9,-1.5,-1.5,-0.1,.975
13313,JAKE VAN DE WOESTYNE,JAKE,VAN DE WOESTYNE,,ATL,MLB,24,9,46,49,N,L,L,50,55,55,55,45,50,55,55,55,60,50,50,25,20,75,61,271,242,50,30,13,0,7,24,20,28,10.3,5,1,0,0,1,53,19.6,8,.207,.292,.347,77,.236,69,-0.6,3.60,0,0,-10.0,-0.7,-0.7,-3.9,.936
11387,LAMONT ZARAGOZA,LAMONT,ZARAGOZA,,ATL,MLB,25,9,40,41,L,L,L,50,45,55,30,45,50,45,50,55,30,50,50,35,25,53,51,183,166,32,25,7,0,0,13,14,13,7.1,0,2,0,2,0,34,18.6,7,.193,.257,.235,38,.239,37,-0.7,3.72,0,0,-13.6,-0.7,-0.7,-1.2,.970
32285,HECTOR ALANIZ,HECTOR,ALANIZ,,BAL,MLB,25,11,72,80,H,N,N,60,70,50,65,50,45,75,60,55,65,50,45,20,25,99,99,430,382,121,59,31,2,29,75,68,43,10.0,6,5,0,0,0,102,23.7,15,.317,.393,.636,167,.367,169,3.8,3.73,0,0,36.0,-2.1,-2.1,0.0,.000
38698,DANIEL BALA,DANIEL,BALA,,BAL,MLB,22,7,44,44,N,N,N,65,50,50,45,45,70,55,65,50,45,45,70,35,30,94,91,372,347,91,59,23,2,7,43,38,24,6.5,3,0,0,1,0,40,10.8,10,.262,.309,.401,87,.279,87,0.2,3.38,1,0,-5.8,-4.0,-4.8,-1.5,.996
38826,RUBEN CARVALLO,RUBEN,CARVALLO,,BAL,MLB,20,7,47,55,H,N,N,45,50,55,65,50,40,55,50,55,65,50,45,50,60,93,93,396,364,114,63,22,1,28,81,58,28,7.1,0,3,0,1,0,110,27.8,6,.313,.366,.610,153,.379,161,3.5,3.78,2,1,29.3,-1.9,-3.2,0.4,1.012
29607,ROMAN DAMMRATSCH,ROMAN,DAMMRATSCH,,BAL,MLB,33,15,64,64,H,H,H,55,50,65,55,70,60,50,55,65,55,70,60,20,25,57,56,248,209,62,31,20,2,9,32,36,35,14.1,0,3,0,1,0,32,12.9,8,.297,.403,.541,148,.314,156,2.3,3.75,0,0,16.9,1.0,1.0,0.4,1.017
13088,PATRICK FOLLMAN,PATRICK,FOLLMAN,,BAL,MLB,25,9,39,42,L,N,N,50,50,60,45,45,50,50,50,60,50,45,50,35,25,93,89,349,335,81,49,17,5,10,49,40,10,2.9,0,0,0,4,0,96,27.5,8,.242,.261,.412,75,.305,74,0.3,3.60,0,0,-10.6,0.3,0.3,0.4,1.028
41122,JOHNNY GARAVENTA,JOHNNY,GARAVENTA,,BAL,MLB,31,13,29,29,N,N,H,40,40,45,35,40,45,40,40,45,35,40,45,55,75,15,15,44,43,5,5,0,0,0,3,4,1,2.3,0,0,0,0,0,10,22.7,1,.116,.136,.116,-31,.152,-42,-0.5,3.59,1,0,-7.5,0.2,0.3,0.5,.962
15104,OWEN GUARIGLIA,OWEN,GUARIGLIA,,BAL,MLB,31,12,40,40,N,N,N,45,50,45,55,45,45,50,45,45,55,45,45,35,25,53,40,171,156,32,23,3,0,6,16,22,10,5.8,0,5,0,0,0,58,33.9,7,.205,.275,.340,63,.283,66,-0.1,3.68,0,1,-6.8,0.7,-0.3,0.7,1.000
17103,TOBY HAWKINS,TOBY,HAWKINS,,BAL,MLB,27,8,67,72,H,H,N,55,60,65,60,50,50,60,60,65,60,55,50,50,65,94,91,429,385,110,71,17,4,18,51,72,40,9.3,2,2,0,2,0,105,24.5,4,.286,.354,.491,122,.348,126,3.1,3.90,14,4,13.6,1.6,1.5,4.4,1.049
26411,PHILIP KLIMA,PHILIP,KLIMA,,BAL,MLB,26,8,57,60,N,H,N,55,50,55,55,55,55,55,55,55,55,55,55,45,45,69,62,277,235,78,54,16,0,8,32,45,39,14.1,0,3,0,0,0,40,14.4,5,.332,.433,.502,149,.374,160,2.2,3.66,2,2,19.9,-1.8,-3.6,-6.1,.953
33532,ALLAN LECHESA,ALLAN,LECHESA,,BAL,MLB,27,12,31,31,L,N,N,40,35,40,45,50,50,35,40,40,45,50,50,20,25,25,22,86,79,12,8,3,0,1,4,7,6,7.0,0,0,0,1,0,16,18.6,3,.152,.209,.228,17,.175,14,-0.3,3.45,0,0,-8.8,0.6,0.6,0.1,.975
27975,BARTON MESSICK,BARTON,MESSICK,,BAL,MLB,28,10,42,44,N,H,N,35,40,40,60,55,35,40,35,40,65,70,35,50,65,87,75,322,286,60,26,12,2,20,54,55,29,9.0,0,5,0,2,0,107,33.2,4,.210,.292,.476,99,.248,103,1.8,4.01,6,1,1.3,0.9,1.0,3.4,1.029
38707,CHAD SHABALALA,CHAD,SHABALALA,,BAL,MLB,21,7,35,39,N,H,N,40,45,40,55,50,40,45,45,40,55,50,45,25,20,34,16,68,65,17,10,2,0,5,8,9,2,2.9,0,1,0,0,0,22,32.4,2,.262,.294,.523,111,.316,116,0.2,3.49,0,0,1.4,0.1,0.1,-1.6,.901
35037,GRAYSON SIBIO,GRAYSON,SIBIO,,BAL,MLB,26,10,40,41,N,N,N,45,45,40,55,45,55,45,45,40,55,45,60,25,30,42,21,113,103,27,18,6,0,3,15,15,7,6.2,0,1,0,2,0,19,16.8,3,.262,.310,.408,89,.289,91,0.3,3.19,0,0,-1.1,0.9,0.9,-0.3,1.003
34995,HUGH TINCHER,HUGH,TINCHER,,BAL,MLB,25,10,46,46,N,N,N,50,45,40,50,50,65,45,50,40,50,50,65,35,40,77,77,316,289,75,55,9,0,11,41,42,24,7.6,1,3,0,0,0,55,17.4,11,.260,.323,.405,92,.287,96,2.1,3.64,1,0,-1.2,0.8,-0.1,-0.5,1.083
17149,HARJAP AGARWAL,HARJAP,AGARWAL,,BOS,MLB,30,11,53,53,N,N,L,45,55,50,55,50,40,55,45,50,55,50,40,45,45,74,69,278,254,66,42,15,0,9,31,24,20,7.2,4,3,0,1,0,93,33.5,2,.260,.320,.425,103,.373,97,0.2,3.74,0,0,-0.7,-2.0,-2.0,0.2,.921
7760,RYDER AZBELL,RYDER,AZBELL,,BOS,MLB,27,8,49,68,H,L,N,50,60,50,55,65,45,60,55,65,65,70,45,40,50,88,70,329,286,74,42,19,0,13,36,35,40,12.2,1,0,0,3,0,86,26.1,6,.259,.347,.462,120,.321,120,1.1,3.98,1,2,8.2,0.8,-1.1,-2.5,.959
33530,ALFREDO BALLESTER,ALFREDO,BALLESTER,,BOS,MLB,25,9,43,47,H,H,N,50,55,50,50,45,45,55,55,55,50,50,50,40,50,16,11,45,40,10,6,2,0,2,4,5,3,6.7,0,2,0,0,0,12,26.7,0,.250,.333,.450,113,.308,116,-0.0,3.42,1,1,0.9,0.1,-0.3,-1.7,.880
40885,GERARDO BIANCHI,GERARDO,BIANCHI,,BOS,MLB,25,2,36,45,N,N,N,40,40,40,40,45,45,50,50,45,45,50,50,30,30,65,26,106,98,25,19,4,0,2,9,6,8,7.5,0,0,2,0,0,27,25.5,3,.255,.311,.357,84,.333,85,0.4,3.66,0,0,-1.8,-0.7,-0.7,2.2,1.001
22460,LUCAS BLASKI,LUCAS,BLASKI,,BOS,MLB,28,10,44,46,L,L,N,45,45,50,55,60,45,45,45,55,55,65,50,50,50,56,23,137,119,34,21,8,0,5,20,14,16,11.7,0,0,0,2,0,28,20.4,1,.286,.365,.479,130,.330,131,0.5,4.03,0,0,5.2,-0.2,-0.2,-1.8,.756
33518,FRANCESCO CAPO,FRANCESCO,CAPO,,BOS,MLB,28,12,43,44,N,H,N,50,50,55,55,45,45,50,50,55,55,45,45,45,60,26,26,98,88,21,7,11,0,3,11,15,8,8.2,1,2,0,0,0,23,23.5,3,.239,.316,.466,112,.290,108,0.2,3.85,1,0,1.0,-1.9,-1.9,-0.8,.975
27585,JIM DIAL,JIM,DIAL,,BOS,MLB,34,16,42,42,N,N,H,45,40,45,50,70,55,40,45,45,50,70,55,25,25,48,33,139,113,25,21,3,0,1,11,8,21,15.1,1,3,0,2,0,26,18.7,11,.221,.353,.274,77,.273,81,-0.0,4.00,0,0,-3.0,-0.4,-0.4,-0.3,1.011
19736,DEVAIN EPPS,DEVAIN,EPPS,,BOS,MLB,28,10,43,43,N,H,N,50,45,50,35,65,55,45,50,50,35,65,55,55,65,81,72,265,222,45,32,12,1,0,23,29,37,14.0,0,5,5,1,0,50,18.9,2,.203,.328,.266,67,.260,74,0.0,3.85,24,1,-8.1,-0.3,3.9,-5.8,.947
24220,CONOR JONES,CONOR,JONES,,BOS,MLB,28,10,47,48,H,N,L,50,45,45,55,45,65,45,55,45,60,50,65,30,35,81,66,279,251,64,49,7,0,8,33,24,22,7.9,1,3,0,3,0,31,11.1,9,.255,.319,.378,92,.260,91,0.1,3.50,0,0,-2.9,-0.1,-0.1,-3.2,.938
35077,TRAVIS KLUN,TRAVIS,KLUN,,BOS,MLB,25,10,37,37,N,N,N,45,40,40,45,50,50,40,45,40,45,50,50,20,20,41,39,159,142,31,20,6,0,5,18,17,13,8.2,0,2,1,2,0,37,23.3,4,.218,.289,.366,79,.255,79,0.5,3.77,0,0,-3.9,-0.7,-0.7,0.8,1.299
24728,JOE LUND,JOE,LUND,,BOS,MLB,31,13,50,48,N,H,N,55,50,55,35,40,55,50,55,55,35,40,55,65,80,53,53,212,201,55,42,7,3,3,16,20,10,4.7,1,0,0,1,0,27,12.7,4,.274,.307,.383,89,.302,85,-0.1,3.43,16,6,-3.6,-0.5,-0.3,-4.8,.945
16941,MAX MCABEE,MAX,MCABEE,,BOS,MLB,23,8,47,47,N,N,N,50,55,50,60,50,45,55,50,50,60,50,45,25,20,90,73,320,280,78,42,17,1,18,50,53,32,10.0,6,5,0,3,0,95,29.7,9,.279,.359,.539,143,.353,135,1.6,3.87,0,0,13.6,0.3,0.3,-4.3,.923
16188,RAY QUIROZ,RAY,QUIROZ,,BOS,MLB,24,8,26,29,N,N,N,40,35,40,40,45,45,35,40,40,40,45,45,70,80,43,18,65,61,10,7,0,0,3,9,6,4,6.2,0,0,3,0,0,17,26.2,0,.164,.215,.311,43,.171,40,0.1,4.31,7,0,-4.6,0.2,1.7,1.5,1.037
28944,ETHAN ROTRUCK,ETHAN,ROTRUCK,,BOS,MLB,29,10,39,39,N,N,N,45,45,45,50,45,50,45,50,45,55,50,50,25,30,18,11,49,47,8,4,1,0,3,7,4,1,2.0,0,0,0,1,0,12,24.5,1,.170,.184,.383,50,.152,43,-0.0,3.22,0,0,-3.3,0.0,0.0,0.6,.975
40659,LUCA RÍOS,LUCA,RÍOS,,BOS,MLB,23,3,50,65,N,H,N,50,50,50,50,45,50,50,55,50,60,45,50,65,75,91,91,416,385,97,69,17,1,10,30,52,26,6.2,0,3,1,2,0,92,22.1,6,.252,.303,.379,87,.305,87,1.8,3.66,22,4,-6.4,2.7,4.6,1.5,1.025
30575,LUKE BARKO,LUKE,BARKO,,CHC,MLB,27,9,52,55,N,N,N,50,55,60,60,50,45,55,55,60,60,60,50,40,35,85,71,327,285,79,49,15,3,12,37,41,37,11.3,1,4,0,1,0,79,24.2,8,.277,.367,.477,127,.344,130,1.6,3.85,0,0,12.1,0.6,0.6,0.0,.000
33345,JAMES CAMACHO,JAMES,CAMACHO,,CHC,MLB,25,11,35,37,N,H,L,50,40,45,30,35,70,40,50,50,30,35,70,65,70,93,93,281,271,55,51,3,0,1,20,16,4,1.4,0,0,5,6,0,39,13.9,6,.203,.210,.225,19,.228,11,-1.2,3.13,17,4,-29.8,0.3,1.7,3.2,1.031
40231,HSIEH CHIOU,HSIEH,CHIOU,,CHC,MLB,27,11,61,65,H,L,N,50,50,55,60,60,50,50,50,60,60,65,50,60,45,91,91,416,350,85,46,15,1,23,52,57,60,14.4,0,5,0,1,0,82,19.7,6,.243,.361,.489,128,.252,133,1.6,4.00,0,2,16.5,-3.2,-5.7,-5.5,.960
32560,THEODORE CHURCH,THEODORE,CHURCH,,CHC,MLB,28,13,46,46,H,L,L,60,55,55,50,45,60,55,60,55,50,45,65,25,20,74,26,162,148,42,26,11,0,5,24,16,12,7.4,1,0,0,2,0,24,14.8,5,.284,.333,.459,112,.306,111,0.5,3.44,0,0,2.3,-0.3,-0.3,0.0,.000
