ID,RL,Name,Mor,ORG,Lev,Age,EXP,OVR,POT,WE,INT,Type,STU,MOV,CON,PBABIP,HRR,STU P,MOV P,CON P,PBABIP P,HRR P,VELO,G,GS,W,L,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,ERA,BABIP,WHIP,K/9,BB/9,HR/9,K/BB,K%-BB%,SH,SF,WP,BK,CI,DP,IR,IRS,PI,GB,FB,SB,CS,ERA+,FIP,FIP-,WAR
133678,CL,WILBUR HOOVER,,MON,MLB,29,12,,,H,H,Normal,55,50,55,55,50,55,50,55,55,50,94-96,30,0,3,1,31.1,127,110,18,11,1,0,6,10,10,15,0,34,1,2.87,.169,1.05,9.8,4.3,1.7,2.3,15.0,0,1,1,0,0,1,8,0,473,25,33,1,0,155,4.72,105,0.0
129156,CL,CHRISTIAN KELLEY,,TEX,MLB,28,7,,,H,N,Normal,50,70,60,60,75,65,70,60,60,75,93-95,70,0,7,3,73.1,306,283,68,48,14,1,5,20,19,17,0,60,2,2.33,.286,1.16,7.4,2.1,0.6,3.5,14.1,2,2,1,0,0,2,14,5,1145,71,84,2,0,191,2.89,64,2.4
128546,CL,JONATHAN LANE,,NYY,MLB,23,7,,,N,N,Normal,80,55,50,60,50,80,55,50,60,50,99-101,70,0,3,12,65.0,272,237,42,26,5,0,11,31,29,31,2,75,3,4.02,.204,1.12,10.4,4.3,1.5,2.4,16.2,0,1,0,0,0,1,11,1,1098,43,76,3,0,112,4.23,94,0.7
130880,CL,ERIC MACKINNEY,,HOU,MLB,23,6,,,N,L,Normal,55,55,50,55,55,60,55,50,55,55,95-97,65,0,5,6,69.2,296,263,58,43,8,1,6,24,21,27,2,55,4,2.71,.255,1.22,7.1,3.5,0.8,2.0,9.5,0,2,3,2,0,3,4,1,1092,65,84,0,2,165,3.65,81,1.3
124453,CL,JEFF MCLEISTER,,MIA,MLB,22,6,,,H,H,Sparkplug,50,55,50,55,55,60,55,50,55,55,97-99,35,0,3,1,59.0,259,229,63,37,14,0,12,32,32,25,1,40,2,4.88,.283,1.49,6.1,3.8,1.8,1.6,5.8,0,3,1,2,0,6,23,9,977,60,69,5,0,92,5.47,121,-0.5
128518,CL,COREY NELSON,,VAN,MLB,24,7,,,N,N,Normal,80,65,60,65,65,80,65,60,65,65,98-100,56,0,6,5,62.0,256,224,45,31,8,0,6,19,19,27,2,68,3,2.76,.258,1.16,9.9,3.9,0.9,2.5,16.0,1,1,2,0,0,3,14,3,927,41,72,0,1,166,3.28,71,1.7
133380,CL,ESTEBAN PÉREZ,,TBA,MLB,23,5,,,N,N,Normal,70,55,60,55,55,70,55,60,55,55,95-97,71,0,7,5,81.2,358,306,71,49,11,1,10,38,36,41,9,77,8,3.97,.277,1.37,8.5,4.5,1.1,1.9,10.1,2,1,1,0,0,7,27,9,1280,76,80,3,1,111,4.04,91,1.0
127993,CL,STEVEN REED,,ATL,MLB,25,6,,,N,N,Normal,55,60,60,55,65,60,60,60,55,65,93-95,68,0,5,5,74.1,298,279,64,36,17,1,10,25,25,16,0,55,1,3.03,.252,1.08,6.7,1.9,1.2,3.4,13.1,1,0,4,0,1,5,8,1,1125,78,83,1,0,148,3.82,85,1.2
129102,CL,BILL RUSSELL,,STL,MLB,28,7,,,N,N,Normal,55,65,50,60,65,75,65,50,60,70,94-96,66,0,6,4,72.0,304,274,66,47,14,0,5,25,23,29,3,67,0,2.88,.300,1.32,8.4,3.6,0.6,2.3,12.5,0,1,2,0,0,7,22,5,1123,72,67,8,1,154,2.99,67,2.4
134367,CL,ROY SMITH,,TOR,MLB,32,11,,,N,N,Prankster,50,50,75,55,45,50,50,75,55,45,92-94,12,5,3,3,33.0,153,140,45,28,9,0,8,27,27,12,0,18,0,7.36,.322,1.73,4.9,3.3,2.2,1.5,3.9,0,1,1,0,0,4,3,2,548,37,40,4,0,61,6.02,133,-0.2
128582,CL,FLOYD SWANSON,,SEA,MLB,26,6,,,N,N,Normal,80,55,60,60,55,80,60,60,60,60,97-99,59,0,9,2,66.0,261,239,46,32,5,0,9,18,18,22,1,71,0,2.45,.233,1.03,9.7,3.0,1.2,3.2,18.8,0,0,1,0,0,3,9,1,1080,64,58,1,1,181,3.44,77,1.4
132187,CL,RAÚL VILLARREAL,,BOS,MLB,22,6,,,N,N,Normal,80,60,55,60,60,80,60,55,60,60,97-99,84,0,5,3,114.0,471,410,82,59,14,1,8,28,27,55,4,108,3,2.13,.251,1.20,8.5,4.3,0.6,2.0,11.3,2,1,5,0,0,8,24,7,1807,104,115,5,2,214,3.30,72,2.8
130074,CL,VICENTE VÉLEZ,,SF,MLB,25,9,,,H,N,Sparkplug,80,60,30,60,65,80,60,30,60,65,95-97,62,0,5,10,57.1,281,211,45,31,10,0,4,43,42,62,3,57,5,6.59,.268,1.87,8.9,9.7,0.6,0.9,-1.8,0,3,2,0,0,3,8,3,1148,44,65,3,0,67,5.13,116,-0.5
130660,CL,ROB WILLIAMSON,,LAA,MLB,26,6,,,N,N,Normal,55,55,60,55,55,60,55,60,55,55,95-97,60,0,8,9,65.1,287,263,75,52,12,0,11,34,34,20,2,55,1,4.68,.322,1.45,7.6,2.8,1.5,2.8,12.2,1,2,0,2,0,9,4,0,1049,61,71,3,1,98,4.24,92,0.7
133522,CL,KUNIAKI YOSHIDA,,LAD,MLB,23,7,,,N,N,Selfish,65,60,65,55,65,65,60,65,55,65,96-98,58,0,3,9,60.2,271,246,69,50,7,2,10,31,30,20,4,49,2,4.45,.314,1.47,7.3,3.0,1.5,2.5,10.7,2,1,4,0,0,4,10,3,981,56,71,8,1,100,4.28,96,0.5
133703,RP,JOHN ABNEY,,LAA,MLB,32,12,,,N,N,Normal,50,55,70,55,55,50,55,70,55,55,92-94,41,1,0,3,80.0,355,323,98,65,20,1,12,50,44,29,4,51,0,4.95,.327,1.59,5.7,3.3,1.4,1.8,6.2,0,3,4,0,0,9,31,13,1211,99,75,6,3,92,4.48,97,0.4
126568,RP,BRUCE ALEXANDER,,CLE,MLB,22,7,,,N,L,Normal,65,65,40,60,65,65,65,40,60,70,96-98,54,0,4,4,56.1,273,223,68,39,21,2,6,40,38,40,1,44,3,6.07,.344,1.92,7.0,6.4,1.0,1.1,1.5,0,7,5,0,0,5,46,18,1069,54,63,5,0,72,4.92,111,-0.2
120568,RP,RICHARD ALEXANDER,,PHI,MLB,23,8,,,N,L,Normal,75,50,55,55,45,75,50,55,55,45,97-99,14,0,2,0,21.0,95,81,24,15,5,0,4,8,7,13,0,19,0,3.00,.339,1.76,8.1,5.6,1.7,1.5,6.3,0,1,2,0,0,4,15,7,372,18,20,1,0,151,5.39,118,-0.1
130195,RP,DOMINGO ALVARADO,,CHW,MLB,26,11,,,L,L,Disruptive,60,50,55,55,45,70,50,55,55,45,93-95,51,0,1,1,86.0,405,357,105,57,23,1,24,71,71,46,13,79,2,7.43,.319,1.76,8.3,4.8,2.5,1.7,8.1,0,0,5,0,0,4,45,15,1559,72,100,7,2,61,5.88,130,-1.0
120188,RP,BOBBY AMES,,SEA,MLB,23,8,,,L,N,Disruptive,60,55,60,55,55,60,55,60,55,55,95-97,40,0,2,1,57.0,220,205,41,23,7,1,10,19,19,14,0,47,0,3.00,.208,0.96,7.4,2.2,1.6,3.4,15.0,0,1,4,0,0,6,22,7,849,68,49,0,1,148,4.23,95,0.4
128527,RP,CHRIS AMES,,HOU,MLB,26,7,,,N,N,Normal,60,50,45,55,45,65,50,45,55,45,93-95,61,0,10,2,119.1,532,446,103,64,19,3,17,53,51,77,1,102,5,3.85,.260,1.51,7.7,5.8,1.3,1.3,4.7,0,4,8,0,0,7,44,11,2047,109,136,12,1,116,5.04,112,-0.4
126171,RP,RALPH ANDERSON,,BOS,MLB,29,10,,,N,N,Outspoken,55,55,45,55,55,55,55,45,55,55,92-94,30,0,0,1,54.2,223,202,45,31,6,1,7,23,21,20,0,23,0,3.46,.220,1.19,3.8,3.3,1.2,1.1,1.3,0,1,4,0,0,7,27,6,760,66,67,5,1,132,4.79,105,0.0
134885,RP,ERNEST ARNOLD,,NYM,MLB,25,4,,,N,L,Normal,80,60,50,55,65,80,60,50,55,65,98-100,64,0,8,5,86.2,347,304,55,40,9,0,6,24,24,39,0,88,2,2.49,.232,1.08,9.1,4.0,0.6,2.3,14.1,1,1,4,0,0,7,28,5,1348,76,85,4,0,173,3.15,73,2.1
130727,RP,GREG BALLARD,,NYY,MLB,25,5,,,N,N,Normal,50,55,60,55,60,65,60,60,55,60,93-95,5,0,0,0,4.0,24,21,7,5,0,0,2,7,7,3,0,3,0,15.75,.312,2.50,6.8,6.8,4.5,1.0,0.0,0,0,0,0,0,1,3,1,79,4,4,0,0,28,10.11,225,-0.3
130740,RP,MARK BAXTER,,PIT,MLB,24,4,,,H,N,Normal,55,55,50,55,55,65,55,50,55,55,96-98,1,0,0,0,2.0,9,8,2,1,0,0,1,1,1,1,0,0,0,4.50,.143,1.50,0.0,4.5,4.5,0.0,-11.1,0,0,0,0,0,0,0,0,34,2,4,1,0,102,10.86,236,-0.1
120458,RP,CONAN BEASLEY,,OAK,MLB,42,22,,,L,L,Outspoken,50,55,60,55,55,50,55,60,55,55,94-96,40,0,4,1,74.2,337,308,85,47,22,0,16,53,44,27,3,55,2,5.30,.291,1.50,6.6,3.3,1.9,2.0,8.3,0,0,2,0,0,4,30,17,1184,74,89,13,1,84,5.22,116,-0.4
120678,RP,RANDOLPH BECKMANN,,ARI,MLB,24,8,,,N,N,Normal,50,50,45,50,45,50,50,45,50,45,96-98,3,0,1,0,9.0,38,34,8,4,2,0,2,4,4,2,0,3,1,4.00,.200,1.11,3.0,2.0,2.0,1.5,2.6,0,1,0,0,0,0,4,4,146,15,9,3,0,113,6.09,134,-0.1
133505,RP,AARON BENDER,,LAA,MLB,26,5,,,N,N,Normal,45,50,50,55,50,55,55,50,55,50,93-95,18,0,1,0,37.0,169,145,34,20,10,0,4,27,21,21,0,21,2,5.11,.248,1.49,5.1,5.1,1.0,1.0,0.0,0,1,3,0,0,1,14,5,621,41,47,1,0,90,5.00,109,-0.1
136711,RP,HÉCTOR BERNARD,,COL,MLB,22,5,,,H,N,Fan Fav,60,55,60,55,55,60,55,60,55,55,96-98,32,0,1,4,37.1,178,156,45,26,10,0,9,27,26,20,1,30,1,6.27,.308,1.74,7.2,4.8,2.2,1.5,5.6,1,0,1,0,0,1,17,5,687,33,48,8,0,76,6.00,124,-0.4
126625,RP,FLORIAN BERNIER,,HOU,MLB,25,9,,,N,N,Normal,60,50,50,55,50,65,50,50,55,50,96-98,49,0,9,3,111.0,466,407,93,59,14,0,20,52,48,51,0,80,2,3.89,.235,1.30,6.5,4.1,1.6,1.6,6.2,2,4,3,2,0,8,38,21,1753,102,133,4,4,115,5.20,116,-0.6
127250,RP,PAT BERRY,,STL,MLB,34,18,,,N,N,Normal,55,55,55,60,55,55,55,55,60,55,92-94,37,1,4,1,62.1,262,235,54,40,10,0,4,22,17,24,0,34,2,2.45,.253,1.25,4.9,3.5,0.6,1.4,3.8,0,1,7,0,0,8,24,10,940,75,68,4,2,180,3.86,87,0.7
127975,RP,MICHAEL BLAIR,,SF,MLB,23,7,,,N,L,Outspoken,60,60,40,55,60,65,60,40,55,60,96-98,4,0,0,0,6.1,28,19,4,4,0,0,0,3,1,8,0,4,0,1.42,.250,1.89,5.7,11.4,0.0,0.5,-14.3,0,1,2,0,0,2,0,0,110,8,4,0,1,311,5.39,121,-0.1
134829,RP,JINRICH BOBKOVICH,,ARI,MLB,30,11,,,N,N,Normal,55,50,50,55,45,55,50,50,55,45,93-95,29,0,1,3,40.1,187,166,52,36,9,1,6,25,23,14,4,35,3,5.13,.357,1.64,7.8,3.1,1.3,2.5,11.2,0,4,5,1,0,3,26,9,705,38,42,5,0,88,4.03,88,0.4
126738,RP,BILL BONI,,PHI,MLB,22,7,,,N,N,Normal,75,60,45,60,60,75,60,45,60,65,95-97,51,0,3,5,63.2,271,233,49,34,6,0,9,32,32,35,2,68,1,4.52,.253,1.32,9.6,4.9,1.3,1.9,12.2,0,2,4,0,0,6,30,7,1049,57,60,3,1,100,4.17,91,0.5
127179,RP,LOUIS BOULET,,NYM,MLB,21,6,,,N,N,Normal,70,60,50,55,65,70,60,50,55,65,97-99,63,0,4,2,72.1,303,262,53,38,11,0,4,22,21,33,0,68,6,2.61,.255,1.19,8.5,4.1,0.5,2.1,11.6,0,2,7,1,0,6,47,18,1188,60,80,6,1,165,3.32,77,1.4
135391,RP,BRET BOWLING,,KC,MLB,26,11,,,H,H,Normal,55,50,55,55,50,60,50,55,55,50,94-96,56,0,6,5,52.2,243,216,64,45,10,1,8,41,41,24,1,47,1,7.01,.344,1.67,8.0,4.1,1.4,2.0,9.5,0,2,1,1,0,3,28,8,916,46,61,4,0,65,4.42,97,0.3
127738,RP,CHRIS BOYER,,ATL,MLB,28,10,,,N,N,Normal,60,50,55,55,50,60,50,55,55,50,94-96,10,0,1,0,21.0,91,72,13,8,3,0,2,10,10,15,0,21,2,4.29,.216,1.33,9.0,6.4,0.9,1.4,6.6,0,2,0,0,0,2,8,2,359,21,19,2,0,104,4.53,101,0.1
123627,RP,CHRIS BRENNEMAN,,MIL,MLB,25,10,,,N,N,Normal,60,55,55,55,55,60,55,60,55,55,95-97,32,0,2,2,54.1,227,200,47,27,13,0,7,24,23,21,2,32,1,3.81,.241,1.25,5.3,3.5,1.2,1.5,4.8,0,5,4,0,0,5,24,6,807,63,61,5,0,117,4.47,100,0.2
123879,RP,GLEN BROOKS,,MIN,MLB,26,10,,,L,N,Unmotivated,60,45,60,55,40,60,45,60,55,40,93-95,80,0,4,7,101.1,433,389,92,50,15,4,23,61,59,33,1,85,9,5.24,.245,1.23,7.5,2.9,2.0,2.6,12.0,1,1,3,1,0,6,37,7,1649,78,131,11,1,87,5.35,118,-0.6
120232,RP,JOHN BROWN,,VAN,MLB,24,8,,,H,L,Fan Fav,65,55,55,55,50,65,55,55,55,50,96-98,82,0,4,6,112.1,476,419,106,74,16,3,13,57,55,46,1,88,5,4.41,.288,1.35,7.1,3.7,1.0,1.9,8.8,1,5,4,1,0,13,51,15,1756,107,121,6,6,104,4.14,90,0.9
129387,RP,ROB BROWN,,VAN,MLB,27,6,,,N,N,Normal,50,55,55,55,55,50,60,55,55,65,92-94,53,8,9,3,126.0,539,467,107,72,19,1,15,53,46,60,0,90,6,3.29,.250,1.33,6.4,4.3,1.1,1.5,5.6,0,6,6,0,0,13,33,6,2056,129,138,8,3,139,4.55,99,0.9
121573,RP,STEPHEN BROWN,,MON,MLB,24,9,,,N,N,Normal,55,55,50,50,55,60,55,50,50,55,95-97,37,0,4,1,58.0,242,224,55,35,11,2,7,23,21,18,0,44,0,3.26,.277,1.26,6.8,2.8,1.1,2.4,10.7,0,0,1,0,0,4,17,5,878,50,74,2,1,137,3.85,86,0.6
127393,RP,SCOTTY BRUCE,,NYY,MLB,22,6,,,N,N,Selfish,50,55,75,55,50,60,55,75,55,50,97-99,4,0,0,0,6.2,28,27,7,6,1,0,0,1,1,1,1,6,0,1.35,.333,1.20,8.1,1.3,0.0,6.0,17.9,0,0,0,0,0,0,4,1,110,5,9,1,0,332,1.06,23,0.3
131158,RP,RAY BURNS,,ARI,MLB,27,6,,,N,N,Normal,55,40,55,60,35,70,40,55,60,35,94-96,3,0,0,0,4.0,19,18,8,4,2,0,2,3,3,1,0,2,0,6.75,.429,2.25,4.5,2.2,4.5,2.0,5.3,0,0,1,0,0,1,2,1,65,2,6,0,0,67,9.11,201,-0.2
131194,RP,MANUEL BUSTAMANTE,,COL,MLB,24,8,,,N,N,Normal,60,50,40,55,50,65,50,40,55,50,95-97,12,7,3,4,43.1,183,161,32,19,4,1,8,27,27,19,0,38,2,5.61,.207,1.18,7.9,3.9,1.7,2.0,10.4,0,1,2,0,0,1,5,0,700,40,51,7,0,85,4.96,103,0.4
133936,RP,DAKILA BUTARDO,,MIL,MLB,27,12,,,N,N,Prankster,60,50,50,55,50,60,50,50,55,50,93-95,40,0,4,0,75.1,320,285,64,41,5,1,17,40,39,32,0,62,2,4.66,.227,1.27,7.4,3.8,2.0,1.9,9.4,0,1,2,0,0,3,36,10,1209,78,78,0,1,96,5.51,123,-0.6
125335,RP,JUAN CABRAL,,LAA,MLB,23,7,,,N,N,Fan Fav,80,50,45,60,45,80,50,45,60,50,99-101,18,0,1,1,28.1,121,103,22,17,2,0,3,12,12,14,1,35,1,3.81,.279,1.27,11.1,4.4,1.0,2.5,17.4,0,3,0,1,0,1,11,5,464,27,22,2,0,120,3.25,71,0.6
121588,RP,JEREMY CABRERA,,ATL,MLB,24,9,,,N,N,Normal,55,55,60,50,55,60,55,60,50,55,95-97,34,0,4,1,50.2,204,183,42,31,3,0,8,21,19,17,0,39,0,3.38,.245,1.16,6.9,3.0,1.4,2.3,10.8,1,3,1,0,0,6,19,4,769,43,61,1,0,132,4.38,98,0.2
129106,RP,JOHN CAMERON,,VAN,MLB,23,6,,,N,N,Normal,75,60,50,55,65,75,60,50,55,70,98-100,58,0,5,2,38.1,149,136,26,16,5,0,5,11,10,11,0,34,0,2.35,.214,0.97,8.0,2.6,1.2,3.1,15.4,1,1,2,0,0,3,39,9,554,42,35,2,1,194,3.65,79,0.6
131935,RP,JORGE CARRILLO,,LAD,MLB,24,8,,,H,N,Fan Fav,60,60,50,60,65,60,60,50,60,65,97-99,43,0,2,3,62.0,263,228,48,32,5,0,11,24,22,34,1,58,0,3.19,.231,1.32,8.4,4.9,1.6,1.7,9.1,0,1,1,0,0,6,22,5,1009,46,74,6,1,140,4.90,109,-0.1
122948,RP,IRA CARROLL,,LAD,MLB,37,21,,,H,N,Fan Fav,50,55,60,55,55,50,55,60,55,55,92-94,32,0,1,2,58.0,260,235,65,42,14,0,9,37,29,22,1,40,2,4.50,.299,1.50,6.2,3.4,1.4,1.8,6.9,0,1,7,0,0,5,19,6,920,61,64,5,2,99,4.69,105,0.0
130030,RP,LOWELL CASHMANN,,SF,MLB,27,6,,,N,N,Normal,55,50,55,55,45,55,50,55,55,45,94-96,62,0,5,8,91.0,415,360,100,69,11,3,17,67,62,44,11,67,4,6.13,.294,1.58,6.6,4.4,1.7,1.5,5.5,1,6,5,0,0,8,53,18,1529,78,118,10,1,72,5.04,114,-0.4
125130,RP,JUAN CASTELLANOS,,WAS,MLB,24,7,,,N,N,Normal,65,50,50,55,50,70,55,50,55,55,96-98,37,0,4,1,63.1,257,226,49,38,7,0,4,20,17,23,0,52,5,2.42,.260,1.14,7.4,3.3,0.6,2.3,11.3,0,3,3,0,0,11,29,7,956,69,55,7,2,192,3.37,72,1.1
132753,RP,FERNANDO CEDEÑO,,ATL,MLB,24,3,,,H,N,Normal,60,60,65,60,65,80,60,65,60,65,98-100,58,0,8,0,57.1,222,204,39,25,8,2,4,16,15,12,0,43,3,2.35,.219,0.89,6.8,1.9,0.6,3.6,14.0,0,3,3,0,0,3,32,5,849,60,64,0,1,190,3.06,68,1.4
120426,RP,RON CERVANTES,,STL,MLB,24,8,,,N,L,Normal,55,50,50,55,45,55,50,50,55,45,95-97,7,0,0,0,12.2,49,45,11,9,1,0,1,3,2,2,0,8,0,1.42,.263,1.03,5.7,1.4,0.7,4.0,12.2,0,2,1,0,0,2,6,4,170,10,17,2,0,311,3.10,70,0.2
135988,RP,KEON CHON,,WAS,MLB,23,7,,,N,N,Selfish,60,50,55,55,50,60,50,55,55,50,94-96,39,0,5,0,61.2,261,234,52,32,8,1,11,37,34,24,1,57,2,4.96,.246,1.23,8.3,3.5,1.6,2.4,12.6,0,1,2,0,0,4,16,3,947,68,56,2,0,94,4.55,97,0.3
135691,RP,PEDRO CHÁVEZ,,MIN,MLB,27,11,,,L,N,Normal,60,50,50,55,45,60,50,50,55,45,92-94,75,0,2,8,102.0,456,400,107,68,16,2,21,63,60,40,0,80,13,5.29,.286,1.44,7.1,3.5,1.9,2.0,8.8,1,2,5,0,0,5,46,15,1668,86,124,6,4,86,5.53,121,-0.9
127418,RP,TOM COBB,,MON,MLB,27,7,,,N,H,Selfish,50,55,50,55,55,65,55,50,55,60,91-93,33,0,6,0,59.2,255,224,52,31,14,1,6,31,29,28,0,44,1,4.37,.261,1.34,6.6,4.2,0.9,1.6,6.3,0,2,6,0,0,7,27,12,1016,61,66,1,2,102,4.15,93,0.4
131141,RP,DEAN COLEMAN,,MON,MLB,27,6,,,N,N,Normal,50,60,60,55,70,55,65,60,55,75,91-93,50,0,1,2,77.2,324,297,74,52,15,2,5,38,37,24,0,62,0,4.29,.297,1.26,7.2,2.8,0.6,2.6,11.7,1,2,2,2,0,6,41,19,1233,68,94,6,2,104,3.03,67,1.6
131121,RP,JÚLIO COLLAZO,,TOR,MLB,33,14,,,N,N,Normal,50,50,65,50,50,50,50,65,50,50,92-94,28,1,1,1,56.1,233,219,50,34,8,0,8,30,26,10,0,41,2,4.15,.244,1.07,6.6,1.6,1.3,4.1,13.3,0,2,5,0,0,2,20,6,883,56,67,4,2,108,3.89,86,0.6
125887,RP,RAMÓN COLÓN,,OAK,MLB,22,7,,,N,N,Normal,55,60,50,55,60,60,60,50,55,65,95-97,34,27,7,12,157.1,690,596,150,102,21,1,26,96,90,76,0,121,6,5.15,.271,1.44,6.9,4.3,1.5,1.6,6.5,3,9,8,2,0,17,8,4,2603,163,165,14,2,87,5.04,112,0.9
131180,RP,TIM CONLEY,,PHI,MLB,25,5,,,N,N,Normal,65,55,55,55,55,65,55,55,55,55,93-95,47,0,3,1,83.1,339,309,59,37,15,0,7,38,35,26,0,72,2,3.78,.225,1.02,7.8,2.8,0.8,2.8,13.6,0,1,1,1,1,3,21,3,1279,77,97,9,2,120,3.24,71,1.6
133462,RP,CHRIS CRANE,,NYM,MLB,22,5,,,N,N,Prankster,50,60,50,55,65,55,60,50,55,65,91-93,9,0,1,0,15.2,66,55,12,9,2,0,1,3,3,11,1,17,0,1.72,.297,1.47,9.8,6.3,0.6,1.5,9.1,0,0,0,0,0,3,4,2,275,12,13,2,2,250,3.44,79,0.2
126341,RP,RANDY CROWLEY,,CLE,MLB,26,9,,,N,N,Normal,55,50,50,55,50,60,55,50,55,50,92-94,36,1,3,2,54.0,231,201,49,35,8,0,6,27,26,25,0,29,2,4.33,.254,1.37,4.8,4.2,1.0,1.2,1.7,0,3,1,0,0,8,30,9,849,63,61,2,0,101,4.73,107,0.0
130868,RP,ARLEN CURRY,,MIA,MLB,30,14,,,L,N,Normal,50,55,50,55,55,50,55,50,55,55,92-94,37,1,3,2,81.0,368,325,93,67,14,0,12,60,58,37,0,60,5,6.44,.319,1.60,6.7,4.1,1.3,1.6,6.2,0,1,1,0,0,13,30,11,1399,95,74,6,1,70,4.86,108,-0.0
130915,RP,BEN CURTIS,,BOS,MLB,23,6,,,H,N,Fan Fav,60,55,50,55,55,60,55,50,55,55,97-99,33,0,6,2,58.2,217,195,26,14,4,0,8,17,17,20,0,56,1,2.61,.137,0.78,8.6,3.1,1.2,2.8,16.6,1,0,4,1,0,7,24,1,814,54,58,1,1,175,3.80,83,0.8
