ID,First Name,Last Name,Mor,ORG,Lev,Age,EXP,OVR,POT,AD,WE,INT,CON,BABIP,GAP,POW,EYE,K's,HT P,CON P,GAP P,POW P,EYE P,K P,SPE,RUN,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,BB%,IBB,HP,SH,SF,CI,SO,SO%,GIDP,AVG,OBP,SLG,OPS+,BABIP,wRC+,WAR,PI/PA,SB,CS,BatR,UBR,BsR,ZR,EFF
130326,JULIUS,ALLEN,,HOU,MLB,30,15,,,N,H,N,55,55,65,45,50,50,55,55,65,45,50,50,5,6,147,139,589,534,113,65,32,2,14,56,65,48,8.1,2,5,1,2,0,102,17.3,17,.212,.282,.358,74,.236,72,0.0,3.60,13,2,-20.2,-0.6,0.4,5.2,1.025
131966,MIGUEL,ALVERO,,STL,MLB,24,5,,,H,H,N,65,50,75,75,60,75,50,65,75,75,60,75,7,9,132,128,579,502,160,77,33,5,45,113,118,65,11.2,2,6,0,6,0,50,8.6,12,.319,.399,.673,190,.278,183,7.3,3.80,32,9,59.5,1.6,3.3,-3.0,.988
123987,PALMER,BARRY,,NYM,MLB,24,10,,,H,H,N,50,60,45,60,55,45,60,55,45,75,55,45,1,1,83,34,197,163,34,25,4,0,5,19,12,32,16.2,2,1,0,1,0,50,25.4,5,.209,.340,.325,91,.266,89,-0.0,4.05,0,0,-2.6,0.4,0.4,-2.4,.951
128139,CHARLES,BARRÓN,,COL,MLB,26,7,,,L,N,N,65,60,65,70,75,65,60,65,65,75,75,70,8,10,152,147,652,554,174,90,43,4,37,116,121,93,14.3,8,4,0,1,1,87,13.3,5,.314,.416,.606,171,.318,168,7.8,3.99,61,8,55.2,0.6,9.4,0.8,.989
127719,BOB,BRADLEY,,TOR,MLB,23,7,,,N,H,H,70,75,50,50,50,60,75,70,50,50,50,60,7,7,147,147,636,572,147,104,23,3,17,64,76,53,8.3,1,7,1,4,1,98,15.4,16,.257,.325,.397,95,.282,96,-1.2,3.65,4,3,-2.7,-1.3,-3.3,-15.5,.885
127008,MARK,BREWER,,MIL,MLB,25,8,,,N,H,H,50,50,60,60,55,50,50,50,65,60,65,50,6,9,101,97,399,358,88,61,14,0,13,42,50,38,9.5,1,0,0,3,0,88,22.1,6,.246,.316,.394,93,.288,92,0.3,3.85,24,5,-3.6,-0.6,1.7,-2.8,.950
125903,DALE,CABR,,ARI,MLB,23,7,,,N,H,L,60,50,50,55,50,65,55,60,50,55,55,65,3,7,106,100,430,383,108,70,20,0,18,77,54,38,8.8,0,6,0,3,0,62,14.4,7,.282,.353,.475,121,.294,124,1.2,3.69,1,2,12.9,-1.2,-3.0,-7.0,.913
127633,MIKE,CANTRELL,,VAN,MLB,22,6,,,N,N,N,55,60,65,60,50,50,60,55,65,60,50,50,6,10,108,108,453,414,115,59,29,1,26,71,65,33,7.3,2,3,0,3,0,102,22.5,9,.278,.333,.541,128,.308,128,3.4,3.61,1,1,16.2,1.8,0.7,3.5,1.014
134547,MICHAEL,CARR,,BOS,MLB,28,11,,,N,L,L,45,40,45,65,70,60,40,45,45,65,70,60,4,6,148,147,650,552,127,80,15,0,32,87,68,86,13.2,4,4,3,8,0,101,15.5,8,.230,.334,.431,104,.222,104,2.5,4.10,4,2,3.4,-2.5,-4.1,5.2,1.047
130410,RYAN,CHAPMAN,,-,-,30,15,,,N,H,N,50,45,50,55,60,55,45,50,50,55,60,55,5,9,22,20,85,76,12,7,1,0,4,10,7,8,9.4,0,1,0,0,0,17,20.0,0,.158,.247,.329,53,.145,54,-0.5,3.92,0,0,-4.8,-0.7,-0.7,-0.3,.980
132876,JUNG-SANG,CHONG,,DET,MLB,23,7,,,N,N,N,55,55,50,55,50,55,55,55,50,60,50,55,9,9,125,125,527,452,100,71,11,2,16,54,65,65,12.3,3,8,0,2,0,100,19.0,5,.221,.328,.361,85,.249,88,-0.4,3.85,11,1,-7.7,2.1,2.9,-12.5,.924
130022,JUAN,CHÁVES,,MIL,MLB,26,6,,,N,H,L,50,50,65,60,55,50,50,50,65,60,55,50,5,5,99,62,294,264,52,34,7,1,10,41,38,25,8.5,1,2,0,3,0,71,24.1,2,.197,.269,.345,66,.226,64,-0.6,3.65,6,1,-12.9,-0.0,0.3,-1.5,.988
130795,JOSÉ,CHÁVEZ,,ARI,MLB,23,7,,,H,H,N,50,55,65,50,40,50,55,50,65,50,40,50,5,10,63,55,215,207,63,38,14,2,9,30,25,7,3.3,0,0,0,1,0,32,14.9,7,.304,.326,.522,123,.323,124,1.2,3.24,3,3,6.6,1.2,-0.1,-3.7,.951
132954,RICARDO,CRUZ,,CHW,MLB,29,13,,,L,N,N,50,55,55,60,55,45,55,50,55,65,60,45,3,10,124,63,321,278,51,28,15,0,8,33,25,34,10.6,2,6,0,3,0,97,30.2,9,.183,.283,.324,64,.244,64,-1.0,3.78,4,0,-14.1,-3.3,-2.9,0.8,.993
127831,WAYNE,DURHAM,,MIL,MLB,21,6,,,N,H,N,60,60,65,50,40,50,60,60,70,50,40,50,10,10,62,61,245,235,62,40,14,1,7,29,35,9,3.7,2,1,0,0,0,41,16.7,1,.264,.294,.421,93,.294,87,1.3,3.37,33,2,-3.7,1.9,8.2,-0.7,1.004
132669,RAFAEL,DURÁN,,WAS,MLB,23,7,,,H,N,H,55,65,65,70,60,45,65,55,65,70,60,45,5,9,162,162,718,628,194,89,51,0,54,148,142,79,11.0,3,8,0,3,0,171,23.8,12,.309,.391,.648,166,.345,171,6.8,3.84,0,0,63.0,-0.3,-0.3,0.0,.000
133894,JIM,GINSBERG,,COL,MLB,27,12,,,H,N,N,60,50,55,55,50,70,50,60,55,60,55,70,7,10,151,151,693,635,176,110,32,1,33,90,125,53,7.6,1,4,0,1,0,69,10.0,11,.277,.336,.487,106,.268,114,2.4,3.63,34,10,12.7,0.3,1.7,-2.8,.985
136055,ARMANDO,HERNÁNDEZ,,KC,MLB,32,15,,,H,N,N,40,55,75,80,70,30,55,40,75,80,70,30,7,4,150,147,665,552,141,56,18,1,66,138,124,102,15.3,9,7,0,4,0,227,34.1,12,.255,.376,.650,169,.285,162,6.9,4.21,2,3,51.3,1.6,-0.9,5.7,1.013
136461,TOMÁS,HERNÁNDEZ,,MON,MLB,22,6,,,N,L,N,55,50,45,65,45,55,50,55,45,65,45,55,3,9,14,5,29,27,9,7,1,0,1,6,4,1,3.4,0,0,0,1,0,3,10.3,1,.333,.345,.481,124,.333,120,0.2,3.79,1,0,0.7,0.1,0.3,-0.3,.961
133541,HITOSHI,ITO,,MIA,MLB,24,7,,,N,H,N,55,55,50,45,40,55,55,55,50,45,40,55,6,3,55,30,139,127,33,29,2,1,1,10,9,11,7.9,0,1,0,0,0,28,20.1,1,.260,.324,.315,76,.327,78,-0.4,3.59,1,0,-3.7,-2.1,-2.2,-3.6,.918
126121,MIKE,JACKSON,,SF,MLB,23,7,,,N,N,N,65,60,45,55,60,65,60,65,45,55,60,65,3,7,140,131,590,513,141,103,24,3,11,65,69,71,12.0,3,2,0,4,0,83,14.1,11,.275,.363,.398,111,.307,110,2.6,3.84,3,5,7.6,-0.5,-3.9,8.9,1.067
132152,DANNY,JACOBS,,LAD,MLB,23,3,,,N,H,N,50,50,75,55,65,55,50,50,75,55,70,55,9,9,22,20,97,82,24,15,5,0,4,12,16,15,15.5,0,0,0,0,0,16,16.5,2,.293,.402,.500,146,.323,149,0.9,3.78,5,1,5.9,-1.6,-1.2,2.9,1.145
123968,WALTON,KROBOT,,PIT,MLB,26,10,,,N,H,N,45,55,65,55,70,40,55,45,65,55,70,40,8,10,35,29,118,106,20,10,4,0,6,13,17,12,10.2,0,0,2,0,0,37,31.4,1,.189,.271,.396,75,.222,77,-0.2,4.24,15,2,-3.3,-1.6,0.7,-2.2,.956
126496,DAN,LARKIN,,PIT,MLB,23,7,,,N,N,N,70,65,70,70,50,60,65,70,70,70,50,60,8,6,134,131,605,555,172,95,35,3,39,93,100,49,8.1,1,0,0,1,0,67,11.1,9,.310,.365,.595,150,.296,153,5.4,3.51,9,5,40.2,0.8,-0.9,-2.2,.975
126866,GARY,LEWIS,,NYM,MLB,23,7,,,N,N,H,45,60,70,70,65,35,65,50,70,80,65,35,10,9,106,106,453,379,92,55,20,1,16,56,58,62,13.7,1,7,0,5,0,125,27.6,3,.243,.355,.427,122,.313,118,2.8,4.27,0,0,10.5,2.6,2.6,4.2,1.033
121413,RALPH,MCCOY,,OAK,MLB,24,9,,,L,L,N,65,55,55,60,55,75,55,65,55,60,55,75,5,6,147,147,681,609,180,123,24,5,28,103,112,58,8.5,0,10,1,4,0,67,9.8,16,.296,.364,.489,131,.293,132,5.6,3.59,42,8,27.4,1.2,5.4,4.0,1.026
133057,HARRY,MCNEELY,,DET,MLB,28,13,,,H,H,N,55,55,50,55,65,50,55,55,50,55,75,50,5,9,156,156,720,618,159,104,27,1,27,74,113,97,13.5,2,2,0,3,0,136,18.9,12,.257,.358,.435,112,.288,115,2.3,4.00,39,5,14.1,-2.6,2.3,-3.0,.945
126859,CRAIG,MILLER,,CHC,MLB,23,6,,,L,L,L,60,55,55,60,55,60,55,60,55,60,55,60,5,4,124,124,517,465,124,79,26,1,18,60,53,43,8.3,1,4,0,5,0,77,14.9,12,.267,.331,.443,107,.283,107,2.0,3.65,4,0,5.0,-0.6,-0.8,-9.0,.961
123369,MIKE,MINOR,,SEA,MLB,24,10,,,N,N,N,55,65,60,45,70,50,65,60,60,45,70,50,3,4,139,139,611,511,112,75,28,0,9,48,64,84,13.7,1,10,1,6,0,130,21.3,10,.219,.337,.327,85,.272,88,-0.5,3.91,8,0,-8.6,-8.1,-7.7,-5.3,.979
128489,RAY,MN,,NYY,MLB,23,6,,,N,N,N,60,60,65,60,55,55,60,60,65,60,55,55,4,10,46,44,184,164,36,25,10,0,1,17,19,18,9.8,0,2,0,0,0,31,16.8,2,.220,.304,.299,66,.265,69,-0.0,3.72,10,1,-6.9,1.0,2.4,-0.3,1.006
131046,CURT,NELSON,,LAD,MLB,26,6,,,L,N,N,50,45,65,55,45,55,45,50,65,55,45,55,5,5,145,144,616,561,154,104,25,2,23,83,72,46,7.5,0,2,0,7,0,97,15.7,18,.275,.328,.449,110,.292,110,2.3,3.70,15,3,7.6,0.8,1.4,-0.9,.991
120172,SAM,NOBLE,,TOR,MLB,23,8,,,L,N,N,55,60,60,45,50,55,60,60,60,45,50,55,8,9,78,68,299,277,61,44,13,1,3,24,45,18,6.0,0,1,0,3,0,59,19.7,6,.220,.268,.307,51,.266,51,-0.6,3.56,11,2,-17.9,1.1,2.1,0.1,.999
130069,RAY,NORRIS,,MIN,MLB,24,5,,,H,H,H,55,55,55,50,50,50,55,55,55,50,55,50,5,9,144,142,574,515,120,84,23,0,13,60,66,49,8.5,2,9,0,1,0,99,17.2,12,.233,.310,.353,79,.265,80,1.1,3.64,16,3,-13.7,1.2,2.2,11.6,1.054
134056,DANIEL,OROZCO,,LAA,MLB,23,2,,,H,H,N,55,50,55,50,70,55,60,60,65,50,70,60,7,3,85,82,332,279,79,50,23,0,6,31,41,46,13.9,0,3,0,4,0,64,19.3,2,.283,.386,.430,118,.343,124,1.8,3.91,3,4,10.0,0.3,-2.0,3.8,1.062
134250,JORGE,ROBLES,,WAS,MLB,29,12,,,L,N,N,45,45,45,60,60,50,45,45,45,60,60,50,9,9,99,98,400,343,86,63,9,1,13,43,49,51,12.8,0,2,0,4,0,57,14.2,8,.251,.347,.397,101,.264,105,1.4,3.97,10,0,2.6,-0.7,0.7,0.6,1.013
125939,NICK,ROWLAND,,TBA,MLB,23,7,,,N,H,N,60,55,45,60,50,60,55,65,45,65,50,65,2,5,140,134,579,515,146,102,25,0,19,63,67,51,8.8,0,8,1,5,0,94,16.2,19,.283,.354,.443,111,.312,116,1.0,3.61,1,0,11.5,-1.1,-2.3,-10.6,.922
129128,SEAN,ST. GERMAIN,,PHI,MLB,27,6,,,H,H,N,45,60,70,75,55,35,60,45,70,75,60,35,6,9,150,149,640,570,138,68,16,1,53,103,94,61,9.5,0,6,5,3,0,210,32.8,5,.242,.320,.553,128,.274,130,3.6,4.09,1,3,23.7,2.0,-0.5,-0.8,.991
126722,ALEX,STARK,,NYM,MLB,24,9,,,N,H,N,50,45,55,50,50,50,50,50,55,50,50,50,5,9,22,12,59,53,10,9,0,0,1,3,6,6,10.2,0,0,0,0,0,11,18.6,2,.189,.271,.245,49,.220,49,-0.1,3.78,0,0,-3.7,-0.8,-0.8,1.6,1.101
135180,JESÚS,SÁNCHEZ,,LAA,MLB,22,5,,,H,N,L,45,60,70,60,80,40,60,45,75,75,80,40,4,5,69,66,308,232,44,21,10,0,13,31,38,72,23.4,5,3,0,1,0,97,31.5,4,.190,.386,.401,111,.252,114,0.7,4.24,6,3,5.5,-0.0,-0.9,-5.3,.915
134483,JUNIOR,TAPEA,,CHC,MLB,24,7,,,N,N,N,65,50,45,55,45,75,50,65,45,55,45,75,4,7,126,113,493,461,120,76,27,1,16,60,58,28,5.7,1,0,0,4,0,50,10.1,8,.260,.300,.427,94,.261,92,-0.2,3.35,5,3,-4.4,-0.8,-2.1,0.0,.000
125211,KENNY,THOMAS,,CLE,MLB,29,10,,,N,N,N,70,65,65,25,45,70,65,70,65,25,50,70,7,8,150,147,636,601,162,122,35,4,1,48,65,33,5.2,0,0,20,2,0,65,10.2,5,.270,.307,.346,82,.300,79,0.2,3.38,16,7,-15.9,-1.2,-2.3,5.7,1.032
125665,LIVAN,TILF,,ATL,MLB,22,7,,,N,N,N,65,60,45,50,50,65,60,65,45,50,50,65,6,1,138,135,596,536,131,95,19,2,15,65,57,45,7.6,0,10,0,5,0,78,13.1,6,.244,.312,.371,86,.259,87,0.5,3.51,0,1,-9.2,-3.6,-5.5,4.6,1.043
128245,LUIS,VARGAS,,DET,MLB,27,11,,,H,H,N,50,55,50,25,65,50,55,50,50,25,65,50,7,10,14,5,33,33,6,5,1,0,0,4,4,0,0.0,0,0,0,0,0,10,30.3,1,.182,.182,.212,5,.261,-2,-0.3,3.48,0,0,-4.2,0.4,0.4,0.1,.977
126586,GREGG,WARD,,MIA,MLB,23,7,,,N,H,N,60,50,60,60,50,75,50,60,60,60,50,75,8,9,152,149,628,564,155,97,36,3,19,78,86,54,8.6,0,4,0,6,1,60,9.6,17,.275,.339,.450,113,.277,113,3.3,3.64,3,2,10.7,-0.2,-1.9,2.5,1.015
127886,ABRAHAM,WATSON,,TBA,MLB,23,7,,,N,N,N,60,60,65,70,55,60,60,60,65,70,55,60,6,10,152,148,685,619,187,103,42,5,37,95,117,61,8.9,3,2,0,3,1,91,13.3,16,.302,.365,.565,154,.304,149,6.6,3.76,40,3,41.5,1.5,8.0,1.0,.999
133824,DONALD,WHEELER,,TOR,MLB,28,12,,,H,N,N,55,50,65,40,45,60,50,55,70,45,65,60,7,9,57,50,200,189,49,34,14,1,0,19,19,9,4.5,0,0,3,2,0,34,17.0,4,.259,.290,.344,71,.312,70,-0.7,3.79,4,0,-7.4,-0.0,0.5,-3.9,.863
129991,DONNIE,WHITNEY,,SF,MLB,28,7,,,H,N,N,50,60,45,55,50,45,70,55,45,55,55,45,6,3,118,95,400,365,79,55,12,0,12,44,37,30,7.5,0,3,0,2,0,111,27.8,9,.216,.280,.348,73,.275,71,-1.1,3.85,1,1,-13.9,1.4,0.3,-2.8,.964
126740,GEORGE,WHITTEN,,MON,MLB,37,18,,,N,N,N,50,45,55,55,70,50,45,50,55,55,70,50,3,3,143,139,566,481,115,79,14,0,22,62,79,72,12.7,0,8,0,5,0,103,18.2,18,.239,.345,.405,105,.258,108,2.4,3.86,0,0,5.6,1.5,1.5,1.2,1.016
128202,MAL,WILLIAMS,,SD,MLB,23,7,,,H,N,N,55,60,50,60,45,50,60,55,50,60,45,50,3,9,140,134,587,529,141,106,11,0,24,72,72,48,8.2,0,8,0,2,0,118,20.1,15,.267,.336,.423,111,.301,110,1.3,3.73,6,3,7.4,-3.2,-4.8,-2.2,.978
124186,BONG-HWAN,YI,,CHW,MLB,23,6,,,L,N,N,60,55,45,55,55,60,55,60,45,65,55,60,5,1,57,37,174,146,26,14,5,3,4,17,18,27,15.5,0,0,0,1,0,33,19.0,3,.178,.305,.336,74,.200,77,-0.4,3.90,0,0,-4.8,-0.7,-0.7,-6.2,.900
129831,YU,ZHU,,TEX,MLB,23,7,,,H,H,N,65,60,65,65,60,65,65,70,70,70,60,65,8,5,147,142,657,570,170,99,40,3,28,89,114,76,11.6,0,6,0,5,0,89,13.5,14,.298,.384,.526,146,.310,147,4.8,3.74,18,4,38.4,1.1,1.7,-9.3,.957
132747,GEORGE,ADAMIC,,MON,MLB,29,13,,,N,N,L,50,50,65,55,60,55,50,55,70,55,70,55,8,10,137,101,433,385,85,61,21,0,3,34,39,40,9.2,3,5,0,3,0,78,18.0,7,.221,.300,.299,66,.267,64,-0.0,3.98,17,2,-19.0,1.6,3.7,0.2,1.001
135110,SHAUN,ANDERSON,,NYY,MLB,26,11,,,N,H,N,50,45,55,55,45,55,45,50,55,55,45,55,6,9,104,98,398,379,87,64,11,1,11,56,45,16,4.0,0,1,0,2,0,75,18.8,7,.230,.261,.351,65,.258,62,-0.4,3.29,6,2,-18.2,0.9,0.5,2.1,1.033
130098,MERLIN,BENNETT,,STL,MLB,26,6,,,N,H,N,60,55,65,60,50,60,55,60,65,60,50,60,8,9,147,146,671,609,157,100,28,3,26,83,100,53,7.9,1,6,0,3,0,99,14.8,13,.258,.322,.442,109,.269,107,4.8,3.54,36,2,6.0,0.1,6.2,11.0,1.041
131934,DOMINGO,BENÍTEZ,,TOR,MLB,27,11,,,L,N,H,60,60,50,30,65,50,60,60,50,30,70,50,6,9,129,115,489,411,107,84,19,0,4,36,59,71,14.5,1,6,7,1,0,84,17.2,3,.260,.376,.336,96,.318,103,0.3,4.01,5,6,2.1,-3.2,-6.5,-1.8,.994
121264,JERRY,BLACK,,HOU,MLB,25,9,,,N,H,H,50,45,65,45,50,60,50,55,65,45,55,60,6,9,94,51,231,209,47,33,8,1,5,22,31,20,8.7,1,0,0,2,0,39,16.9,1,.225,.290,.344,73,.251,70,0.6,3.89,10,1,-8.3,1.9,3.3,5.0,1.061
126850,MATT,BLAND,,COL,MLB,25,6,,,N,H,N,60,50,50,40,50,60,55,60,50,40,50,60,3,6,65,60,271,247,83,67,12,0,4,20,46,23,8.5,1,1,0,0,0,26,9.6,2,.336,.395,.433,111,.364,122,0.8,3.55,0,2,7.5,-4.4,-6.2,-4.5,.952
133983,ALBERT,BLANDFORD,,MIN,MLB,26,12,,,H,H,N,50,50,50,55,65,45,55,50,50,55,75,45,3,5,37,32,134,119,22,15,3,0,4,15,12,15,11.2,0,0,0,0,0,33,24.6,2,.185,.276,.311,58,.220,61,-0.5,4.03,0,2,-6.4,1.4,0.2,-0.3,.957
135166,RAY,BRADLEY,,COL,MLB,26,11,,,N,N,N,65,65,75,45,55,60,65,65,75,45,55,60,4,4,131,123,575,520,140,82,44,0,14,57,76,53,9.2,1,2,0,0,1,88,15.3,13,.269,.339,.435,95,.301,103,2.2,3.82,4,5,2.8,-0.5,-3.3,4.0,1.008
123575,KEVIN,BRADY,,DET,MLB,26,10,,,N,H,N,50,50,50,35,45,50,50,50,50,35,65,50,9,10,100,80,331,305,64,42,17,1,4,28,24,20,6.0,0,4,7,2,0,68,20.5,2,.210,.266,.311,54,.255,54,-0.1,3.67,16,3,-18.4,-0.1,1.5,6.3,1.027
121655,FOREST,CARLQVIST,,VAN,MLB,27,8,,,H,N,L,55,45,70,25,55,65,50,55,70,25,65,65,6,9,37,36,142,123,30,22,8,0,0,9,18,17,12.0,0,0,0,2,0,22,15.5,3,.244,.331,.309,73,.291,78,0.4,3.74,12,1,-3.8,-1.9,0.0,2.4,1.036
121911,RYAN,COLLINS,,NYY,MLB,25,9,,,N,N,N,45,45,50,50,50,50,50,50,55,55,60,50,7,10,84,80,321,301,73,53,8,0,12,39,41,13,4.0,0,5,2,2,0,73,22.7,5,.243,.283,.389,81,.280,80,0.4,3.75,17,4,-7.7,-0.2,1.2,1.3,1.010
129150,DAVE,COLQUITT,,MIA,MLB,24,6,,,L,L,N,60,50,60,45,45,70,50,60,60,50,45,70,8,10,39,20,95,85,19,14,4,1,0,3,11,8,8.4,0,2,0,0,0,6,6.3,0,.224,.305,.294,65,.241,68,-0.4,3.54,5,0,-3.7,-0.8,0.2,-2.3,.933
132198,LANCE,CONNER,,SEA,MLB,23,5,,,N,H,N,50,45,65,55,45,60,45,50,65,55,45,60,9,10,25,19,86,82,22,12,2,0,8,15,16,4,4.7,0,0,0,0,0,14,16.3,0,.268,.302,.585,137,.233,135,1.0,3.52,10,1,3.7,0.5,2.2,1.9,1.034
120893,ALFONSO,CORREA,,TEX,MLB,31,15,,,N,L,N,50,60,50,50,55,45,60,50,50,50,55,45,2,1,146,144,580,503,132,76,30,2,24,76,70,66,11.4,7,6,2,5,0,153,26.4,6,.262,.352,.473,124,.326,118,3.9,3.88,1,0,13.6,-2.9,-4.0,10.3,1.035
129930,JOE,DAVANON,,SD,MLB,27,6,,,N,N,N,50,45,65,45,55,60,45,50,65,50,55,60,7,7,78,78,315,282,60,38,17,3,2,27,31,26,8.3,0,5,0,2,0,44,14.0,3,.213,.289,.316,69,.244,68,0.2,3.65,16,2,-12.1,-1.0,1.1,-0.2,1.007
132072,JIM,DAWSON,,-,-,33,13,,,N,H,N,45,50,55,50,65,45,50,45,55,50,65,45,7,8,1,1,4,4,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,1,.250,.250,.250,34,.250,30,-0.0,3.75,0,0,-0.3,0.0,0.0,-0.0,.979
132519,FÉLIX,DE LA CRUZ,,HOU,MLB,22,6,,,N,H,N,80,70,70,40,50,80,75,80,70,40,50,80,10,10,154,147,674,622,166,123,35,4,4,37,78,44,6.5,4,2,0,6,0,54,8.0,10,.267,.315,.355,83,.284,80,3.3,3.50,39,5,-16.2,6.5,11.7,11.5,1.049
123972,BARRETT,DOBSON,,LAD,MLB,25,10,,,N,N,N,50,55,70,55,70,45,55,50,70,60,75,45,8,10,142,142,643,532,129,81,23,4,21,70,101,96,14.9,1,9,0,6,0,137,21.3,12,.242,.364,.419,114,.284,117,4.5,4.16,3,4,13.6,3.0,-0.0,9.5,1.027
124703,RANDY,FAULKNER,,NYM,MLB,22,6,,,N,N,N,65,60,45,50,45,60,60,65,45,50,45,60,10,10,106,88,403,374,98,70,13,2,13,33,58,25,6.2,1,3,0,1,0,72,17.9,5,.262,.313,.412,104,.293,99,2.8,3.66,32,2,-0.4,1.3,7.0,8.5,1.057
124970,DOMINGO,FLORES,,PIT,MLB,21,5,,,H,L,H,55,60,60,40,40,50,65,70,60,40,40,60,10,8,9,8,34,32,6,6,0,0,0,2,5,2,5.9,0,0,1,0,0,7,20.6,0,.188,.235,.188,15,.240,14,-0.3,3.29,0,0,-3.6,0.3,0.3,-1.4,.880
123325,JORGE,GARCÍA,,SEA,MLB,26,10,,,N,N,N,50,50,65,55,50,50,50,50,65,55,50,50,8,10,28,22,91,85,20,12,3,2,3,16,12,4,4.4,1,1,0,1,0,16,17.6,1,.235,.275,.424,89,.254,79,0.3,3.73,6,0,-2.3,0.5,1.8,1.2,1.025
128694,JOSÉ,GARCÍA,,PIT,MLB,25,5,,,N,N,N,50,50,65,55,50,50,50,50,65,55,50,50,6,7,135,133,538,490,125,75,25,1,24,70,75,40,7.4,3,3,0,5,0,110,20.4,5,.255,.312,.457,102,.280,101,2.2,3.70,4,4,0.8,0.6,-1.6,3.6,1.009
126498,KENT,GOULD,,CHC,MLB,22,7,,,N,H,L,45,55,65,65,50,35,55,45,65,65,50,35,9,8,124,124,491,453,83,46,14,1,22,52,42,31,6.3,0,5,3,2,0,193,39.3,6,.183,.242,.364,61,.254,59,-0.6,3.98,4,2,-24.2,-1.5,-2.3,-6.9,.967
128405,PAT,GRAVES,,MON,MLB,24,7,,,N,N,N,50,50,55,50,50,50,50,50,60,50,50,50,6,8,97,61,280,259,67,35,18,2,12,47,39,18,6.4,1,2,0,1,1,54,19.3,3,.259,.311,.483,113,.284,110,1.3,3.67,6,1,3.6,-2.5,-2.1,4.4,1.037
