ID,Name,G,GS,W,L,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,ERA,BABIP,WHIP,K/9,BB/9,HR/9,K/BB,K%-BB%,SH,SF,WP,BK,CI,DP,IR,IRS,PI,GB,FB,SB,CS,ERA+,FIP,FIP-,WAR
618,Miguel Marrujo,59,0,5,6,63.2,262,239,52,42,7,1,2,20,18,15,1,79,5,2.54,.314,1.05,11.2,2.1,0.3,5.3,24.4,2,1,0,1,0,5,7,1,1012,61,46,1,1,167,1.99,46,3.0
291,Danny Martinez,64,0,1,7,71.0,298,271,70,49,18,1,2,28,25,18,1,71,4,3.17,.335,1.24,9.0,2.3,0.3,3.9,17.8,0,5,3,0,0,7,2,0,1167,73,58,2,1,134,2.42,57,2.5
242,Mauricio Martinez,56,0,6,6,68.2,287,258,57,41,13,0,3,20,17,20,2,87,5,2.23,.320,1.12,11.4,2.6,0.4,4.3,23.3,3,1,2,0,0,2,12,7,1082,51,64,1,1,191,2.21,52,3.0
1981,Mike McKenna,71,0,10,6,68.2,286,257,56,37,9,1,9,29,26,25,4,48,2,3.41,.234,1.18,6.3,3.3,1.2,1.9,8.0,0,1,4,0,1,6,8,0,1090,78,73,1,1,125,4.48,105,0.1
1323,Edwin Ojeda,62,0,9,3,67.1,273,256,64,46,8,2,8,23,23,11,2,73,4,3.07,.318,1.11,9.8,1.5,1.1,6.6,22.7,1,1,1,0,0,6,6,1,1025,67,52,2,2,138,3.12,73,1.9
718,Rich Osorio,63,0,4,8,72.0,297,265,58,36,11,1,10,26,24,28,7,89,2,3.00,.287,1.19,11.1,3.5,1.2,3.2,20.5,1,1,1,1,0,6,4,0,1115,69,49,2,1,142,3.46,81,1.5
435,Raul Pompa,58,0,8,3,65.2,262,223,29,18,7,1,3,14,13,32,1,94,6,1.78,.205,0.93,12.9,4.4,0.4,2.9,23.7,0,1,1,0,0,1,2,0,1078,55,44,5,1,238,2.59,61,2.6
195,Philip Potts,61,0,6,9,75.2,313,293,73,46,18,0,9,25,25,18,3,61,0,2.97,.286,1.20,7.3,2.1,1.1,3.4,13.7,1,1,2,0,0,5,9,1,1136,90,66,2,1,143,3.70,87,1.3
806,Doug Price,59,0,7,2,68.2,265,243,45,32,7,1,5,12,12,18,3,82,2,1.57,.255,0.92,10.7,2.4,0.7,4.6,24.2,1,1,2,0,0,5,9,0,991,68,47,2,0,270,2.47,58,2.7
3135,Danny Rodriguez,57,0,4,2,60.2,261,237,62,43,8,0,11,27,27,17,2,57,5,4.01,.298,1.30,8.5,2.5,1.6,3.4,15.3,0,2,1,0,0,7,11,3,968,59,58,2,0,106,4.64,109,-0.1
666,Leo Rodriguez,64,0,2,2,70.2,263,248,50,32,10,2,6,17,17,9,3,70,3,2.17,.253,0.83,8.9,1.1,0.8,7.8,23.2,1,2,0,0,0,8,9,0,971,60,71,1,0,196,2.67,62,2.3
573,Jon Savage,65,0,7,4,71.0,281,258,51,36,10,0,5,17,16,21,1,94,2,2.03,.289,1.01,11.9,2.7,0.6,4.5,26.0,0,0,1,0,0,5,10,0,1095,56,56,3,1,209,2.37,55,2.8
342,Arthur Urig,65,0,2,9,63.0,284,250,66,45,11,3,7,37,36,23,4,73,4,5.14,.335,1.41,10.4,3.3,1.0,3.2,17.6,1,6,2,0,0,3,14,3,1076,56,58,3,0,83,3.39,79,1.4
1371,Chris Wallace,60,0,4,6,65.1,265,234,51,39,7,1,4,22,20,25,0,79,2,2.76,.305,1.16,10.9,3.4,0.6,3.2,20.4,1,3,0,1,0,9,6,1,1028,60,47,2,0,154,2.79,65,2.2
383,Brandon Wycoff,61,0,2,5,63.0,255,231,51,36,5,2,8,18,18,21,0,81,2,2.57,.303,1.14,11.6,3.0,1.1,3.9,23.5,1,0,1,0,0,6,11,2,1002,45,54,2,2,165,3.34,78,1.3
1847,Nestor Zavala,60,0,7,7,63.2,276,244,64,45,13,1,5,28,28,25,2,51,4,3.96,.311,1.40,7.2,3.5,0.7,2.0,9.4,1,2,1,0,0,7,4,0,1014,76,54,1,1,107,3.86,90,0.8
1324,Luis Acosta,44,0,2,1,48.1,227,193,56,40,13,1,2,33,27,30,0,44,1,5.03,.362,1.78,8.2,5.6,0.4,1.5,6.2,1,2,7,0,0,7,32,8,895,48,43,3,2,84,3.81,89,0.4
1819,Alex Adame,77,0,1,2,74.2,323,284,70,46,16,0,8,43,42,33,3,52,3,5.06,.273,1.38,6.3,4.0,1.0,1.6,5.9,0,3,7,1,0,8,35,11,1229,87,76,2,0,84,4.50,105,0.0
1617,Cody Addis,71,0,6,2,83.0,341,310,71,45,14,2,10,28,25,23,0,66,3,2.71,.258,1.13,7.2,2.5,1.1,2.9,12.6,3,2,5,0,0,8,41,12,1281,93,83,3,0,157,4.09,96,0.4
800,Michael Agosto,34,0,2,2,40.0,199,170,54,32,13,1,8,27,25,26,0,30,2,5.62,.346,2.00,6.8,5.8,1.8,1.2,2.0,0,1,1,0,0,2,29,13,765,47,38,0,1,75,6.37,149,-0.9
241,Paul Aguilar,59,0,4,2,87.2,400,344,92,58,21,1,12,54,52,43,0,75,8,5.34,.307,1.54,7.7,4.4,1.2,1.7,8.0,1,4,3,0,0,7,40,11,1473,82,98,5,0,80,4.98,117,-0.5
107,Willie Aguilar,45,0,4,2,66.0,291,252,69,41,17,2,9,33,31,33,0,30,3,4.23,.279,1.55,4.1,4.5,1.2,0.9,-1.0,1,2,1,1,0,12,31,12,1058,93,61,1,1,100,5.67,133,-0.9
2379,Leo Aguirre,62,0,3,1,56.2,224,205,44,25,14,0,5,17,16,11,0,62,3,2.54,.279,0.97,9.8,1.7,0.8,5.6,22.8,3,2,2,0,0,3,39,13,882,49,52,2,3,167,2.87,67,1.2
1789,John Albers,61,0,6,3,82.0,364,314,84,58,12,2,12,46,46,40,2,66,7,5.05,.303,1.51,7.2,4.4,1.3,1.6,7.1,0,2,7,0,1,12,33,14,1375,92,70,1,1,84,5.11,120,-0.6
1757,Carlos Alejos,28,0,1,3,44.1,193,175,46,29,11,2,4,22,21,16,1,31,1,4.26,.298,1.40,6.3,3.2,0.8,1.9,7.8,0,1,3,0,0,4,15,5,686,48,48,0,1,100,4.03,94,0.3
951,David Andrade,71,0,5,3,68.1,291,261,66,47,14,2,3,31,28,25,1,82,3,3.69,.354,1.33,10.8,3.3,0.4,3.3,19.6,0,2,4,1,0,8,64,16,1107,51,59,6,3,115,2.53,59,2.1
2794,Pedro Arenas,53,0,2,3,33.0,155,133,40,26,8,0,6,26,23,19,1,27,2,6.27,.337,1.79,7.4,5.2,1.6,1.4,5.2,0,1,1,1,0,5,27,3,581,32,33,0,2,68,5.71,134,-0.6
523,Alex Arriaga,58,0,0,1,76.2,330,302,81,55,16,3,7,33,31,20,1,43,6,3.64,.291,1.32,5.0,2.3,0.8,2.1,7.0,0,2,2,0,0,5,41,13,1213,84,91,10,0,117,4.21,99,0.3
3818,Mike Bailey,73,0,6,5,77.0,329,289,73,45,12,2,14,40,40,32,1,48,5,4.68,.258,1.36,5.6,3.7,1.6,1.5,4.9,0,2,2,0,1,7,37,12,1186,87,83,1,3,91,5.69,133,-1.1
716,Angel Balderiama,69,0,4,4,71.2,308,267,67,46,9,1,11,40,40,35,4,79,2,5.02,.315,1.42,9.9,4.4,1.4,2.3,14.3,2,1,2,0,1,8,41,8,1151,58,66,8,3,85,4.34,102,0.2
2883,Domingo Banuelos,56,0,3,2,59.0,243,223,55,28,17,1,9,27,26,13,2,35,4,3.97,.254,1.15,5.3,2.0,1.4,2.7,9.1,1,2,1,0,0,7,29,8,894,66,68,1,0,107,4.73,111,-0.1
848,Tim Bartlett,45,0,4,3,72.0,300,282,72,45,15,3,9,31,30,15,0,31,2,3.75,.259,1.21,3.9,1.9,1.1,2.1,5.3,0,1,3,1,0,8,27,8,1050,83,92,4,0,113,4.64,109,-0.1
4239,Billy Begley,53,0,3,2,75.0,331,294,82,61,12,1,8,36,33,30,1,66,2,3.96,.333,1.49,7.9,3.6,1.0,2.2,10.9,3,2,3,1,0,10,42,15,1232,77,67,1,3,107,4.04,95,0.4
2181,Dusty Berglund,76,0,5,5,74.0,328,295,85,44,17,3,21,61,49,26,2,81,2,5.96,.325,1.50,9.9,3.2,2.6,3.1,16.8,1,4,10,0,0,9,41,8,1230,52,76,4,4,71,5.72,134,-1.1
2289,Byron Blackmon,35,0,7,2,57.2,262,234,60,38,14,0,8,39,32,21,0,42,7,4.99,.283,1.40,6.6,3.3,1.2,2.0,8.0,0,0,2,0,0,5,27,6,941,61,64,1,1,85,4.97,117,-0.3
2071,D.J. Blauvelt,61,0,4,2,57.0,248,217,51,27,11,2,11,28,28,25,2,43,3,4.42,.241,1.33,6.8,3.9,1.7,1.7,7.3,0,3,2,0,0,3,20,5,896,74,49,0,1,96,5.54,130,-0.8
2185,Alex Bobo,72,0,2,2,74.1,312,274,66,42,14,3,7,26,24,27,0,72,8,2.91,.299,1.25,8.7,3.3,0.8,2.7,14.4,1,2,4,0,0,10,44,13,1190,72,66,5,1,146,3.87,91,0.6
1954,Ben Boltz,53,0,1,1,100.2,422,382,84,38,24,3,19,54,50,34,1,85,5,4.47,.234,1.17,7.6,3.0,1.7,2.5,12.1,1,0,4,0,0,6,37,9,1565,104,106,7,2,95,5.07,119,-0.7
1902,Dan Bourque,32,0,2,2,64.0,264,239,51,35,8,2,6,28,24,21,1,53,1,3.38,.246,1.12,7.5,3.0,0.8,2.5,12.1,0,3,2,0,0,5,23,5,953,63,68,2,1,126,3.72,87,0.6
2153,Jesse Brady,52,0,0,0,73.0,342,279,69,46,12,1,10,46,43,54,0,64,7,5.30,.285,1.68,7.9,6.7,1.2,1.2,2.9,0,2,5,0,0,6,40,17,1377,73,73,6,1,80,5.70,134,-1.0
1982,Steve Brown,38,0,7,2,78.0,314,284,62,41,13,3,5,27,26,22,1,39,4,3.00,.235,1.08,4.5,2.5,0.6,1.8,5.4,1,3,2,0,0,9,28,6,1105,85,99,2,2,142,3.96,93,0.5
2717,Jon Bruton,59,0,6,6,61.0,271,236,63,46,8,1,8,30,27,33,1,45,2,3.98,.301,1.57,6.6,4.9,1.2,1.4,4.4,0,0,3,0,0,7,43,10,1006,56,69,2,3,107,5.07,119,-0.5
199,Tim Busby,59,0,6,3,54.1,225,199,49,36,9,0,4,25,25,20,1,54,3,4.14,.317,1.27,8.9,3.3,0.7,2.7,15.1,2,1,1,0,0,8,13,5,849,62,36,2,2,103,3.35,78,1.0
1515,Jacob Carnes,69,0,2,1,72.1,315,276,67,42,10,2,13,31,29,37,1,69,2,3.61,.278,1.44,8.6,4.6,1.6,1.9,10.2,0,0,4,0,0,9,39,7,1181,65,71,0,2,118,5.17,121,-0.6
2907,Denny Cartagena,54,0,4,4,76.0,312,275,66,45,13,1,7,30,29,33,4,71,2,3.43,.296,1.30,8.4,3.9,0.8,2.2,12.2,0,2,6,1,0,14,39,6,1155,71,68,2,1,124,3.72,87,0.8
1459,Alex Castaneda,40,0,3,0,66.1,277,252,62,37,13,3,9,26,25,22,0,54,0,3.39,.277,1.27,7.3,3.0,1.2,2.5,11.6,1,2,4,0,0,7,32,6,990,66,69,3,1,125,4.30,101,0.2
1931,Miguel Castillo,60,0,3,2,57.0,242,225,68,42,15,2,9,26,25,12,0,58,1,3.95,.366,1.40,9.2,1.9,1.4,4.8,19.0,0,3,3,1,1,7,36,13,945,49,51,4,5,108,3.87,91,0.5
4172,Josh Champion,53,0,3,1,80.0,375,330,100,56,25,0,19,58,54,41,0,79,4,6.08,.349,1.76,8.9,4.6,2.1,1.9,10.1,0,0,4,0,0,9,38,17,1485,79,67,7,3,70,5.97,140,-1.4
807,Bill Chavez,67,0,7,4,60.2,267,236,59,42,11,3,3,29,22,24,4,66,3,3.26,.329,1.37,9.8,3.6,0.4,2.8,15.7,1,3,3,0,0,5,20,5,1048,54,57,5,0,130,2.77,65,1.7
58,Juan Chinchilla,64,0,5,2,58.0,263,224,61,41,13,0,7,39,37,31,1,55,3,5.74,.327,1.59,8.5,4.8,1.1,1.8,9.1,1,3,5,0,1,6,41,14,995,39,71,1,0,74,4.55,107,-0.0
1674,Khoi Choi,56,0,3,4,80.0,335,299,74,45,15,1,13,35,34,30,0,65,3,3.83,.274,1.30,7.3,3.4,1.5,2.2,10.4,1,2,2,0,0,14,29,8,1312,80,78,2,1,111,4.89,115,-0.4
1375,Michael Cloyd,42,0,1,1,41.1,194,171,49,33,5,0,11,36,28,21,3,37,2,6.10,.309,1.69,8.1,4.6,2.4,1.8,8.2,0,0,4,0,0,3,18,6,761,26,54,1,3,70,6.29,148,-0.9
2350,Bobby Cole,69,0,4,8,69.0,299,270,67,48,10,0,9,37,35,24,0,63,4,4.57,.291,1.32,8.2,3.1,1.2,2.6,13.0,0,1,2,0,0,5,9,5,1155,69,68,1,1,93,4.26,100,0.3
1416,Scott Colombani,39,0,1,1,44.1,199,173,48,32,8,2,6,25,22,23,0,36,1,4.47,.316,1.60,7.3,4.7,1.2,1.6,6.5,0,2,4,1,0,5,24,8,751,43,45,5,1,95,4.93,116,-0.2
2020,Sam Conrad,68,0,3,4,64.2,278,244,56,36,12,0,8,40,34,26,1,53,4,4.73,.259,1.27,7.4,3.6,1.1,2.0,9.7,1,2,1,0,1,5,38,9,1016,69,62,1,2,90,4.48,105,0.0
859,Carlos Contreras,63,0,1,4,56.0,242,220,60,35,10,3,12,30,30,19,1,70,3,4.82,.348,1.41,11.2,3.1,1.9,3.7,21.1,0,0,6,0,0,6,12,1,950,55,35,1,1,88,4.58,107,-0.0
2149,Mike Cooney,63,0,5,6,65.1,313,281,95,55,20,2,18,59,56,23,2,60,5,7.71,.374,1.81,8.3,3.2,2.5,2.6,11.8,1,3,7,0,0,5,41,18,1153,71,57,8,1,55,6.11,143,-1.5
1227,Alexis Cordero,34,0,2,0,54.0,239,200,53,42,5,2,4,31,24,34,0,35,1,4.00,.299,1.61,5.8,5.7,0.7,1.0,0.4,1,3,5,0,0,9,27,8,913,53,59,3,2,106,4.78,112,-0.2
1140,Bob Corfield,59,0,0,2,58.2,263,235,71,42,18,2,9,39,36,24,0,50,2,5.52,.350,1.62,7.7,3.7,1.4,2.1,9.9,1,1,7,0,0,10,40,14,1024,62,51,1,4,77,4.79,112,-0.2
3933,John Crabtree,61,0,2,3,59.0,249,217,51,34,9,1,7,26,17,25,0,48,4,2.59,.268,1.29,7.3,3.8,1.1,1.9,9.2,1,2,6,0,0,9,24,5,939,57,61,2,1,164,4.56,107,-0.0
1126,Jim Curtis,37,0,1,0,52.1,253,216,62,41,11,1,9,35,33,27,0,50,9,5.68,.335,1.70,8.6,4.6,1.5,1.9,9.1,0,1,2,0,0,3,28,8,968,49,54,3,0,75,5.56,130,-0.6
1421,Dexter Davis,68,0,2,4,64.1,280,244,56,42,9,1,4,21,20,33,2,70,1,2.80,.302,1.38,9.8,4.6,0.6,2.1,13.2,0,2,5,0,0,8,37,13,1057,66,49,4,0,152,3.29,77,1.3
858,Alex de Cruz,40,0,1,0,57.2,262,216,52,31,7,0,14,34,32,41,0,52,5,4.99,.253,1.61,8.1,6.4,2.2,1.3,4.2,0,0,2,0,0,7,21,7,1032,57,54,4,3,85,6.92,162,-1.6
2991,Carlos de Leon,25,0,2,0,42.0,176,158,38,25,7,0,6,21,18,15,0,38,2,3.86,.278,1.26,8.1,3.2,1.3,2.5,13.1,0,1,2,0,0,5,15,4,669,41,41,1,1,110,4.43,104,0.0
811,Rob DeAcetis,36,0,0,1,40.2,172,153,38,23,8,0,7,24,22,16,1,39,3,4.87,.290,1.33,8.6,3.5,1.5,2.4,13.4,0,0,2,0,0,8,28,7,652,38,35,2,1,87,4.82,113,-0.1
3756,Donovan DeBolt,72,0,4,4,69.0,292,255,68,45,12,2,9,45,44,27,2,64,2,5.74,.316,1.38,8.3,3.5,1.2,2.4,12.7,3,5,4,0,0,9,66,25,1109,68,63,2,2,74,4.18,98,0.3
1959,Mike Decker,67,0,2,1,73.1,320,286,71,44,15,2,10,42,36,30,0,67,2,4.42,.290,1.38,8.2,3.7,1.2,2.2,11.6,0,1,7,1,1,8,23,6,1183,74,71,2,2,96,4.42,104,0.1
4443,Rich DeMeo,54,0,3,2,40.0,175,159,46,31,10,0,5,20,18,13,3,31,1,4.05,.328,1.48,7.0,2.9,1.1,2.4,10.3,0,2,2,0,0,5,24,14,630,48,35,2,1,105,4.07,95,0.2
1534,Omar Disla,61,0,2,3,69.1,312,257,66,41,14,3,8,37,37,44,1,64,4,4.80,.304,1.59,8.3,5.7,1.0,1.5,6.4,1,6,2,0,0,7,42,11,1170,63,68,1,4,88,4.86,114,-0.3
59,Carlos Dorado,62,0,10,6,58.0,264,233,71,42,15,0,14,44,43,26,3,49,0,6.67,.331,1.67,7.6,4.0,2.2,1.9,8.7,3,2,2,0,0,5,16,7,989,52,66,3,0,64,5.81,136,-1.2
3693,Roy Duna,95,0,4,2,84.2,372,332,94,53,21,2,18,50,50,34,1,80,4,5.31,.322,1.51,8.5,3.6,1.9,2.4,12.4,0,2,9,0,0,7,47,21,1387,91,69,12,6,80,5.35,126,-0.8
289,David Duncan,69,0,5,4,70.0,303,278,81,58,11,1,11,36,36,17,0,76,3,4.63,.363,1.40,9.8,2.2,1.4,4.5,19.5,3,2,4,0,0,5,13,7,1130,61,64,2,2,92,3.90,91,0.6
715,Kevin Dykstra,59,0,2,0,61.1,248,221,46,31,6,1,8,21,21,22,1,45,4,3.08,.226,1.11,6.6,3.2,1.2,2.0,9.3,0,0,6,1,1,7,30,8,886,66,62,1,2,138,4.62,108,-0.1
2099,Ben Eells,77,0,3,3,61.2,269,240,69,44,11,3,11,33,31,22,2,55,1,4.52,.328,1.48,8.0,3.2,1.6,2.5,12.3,3,3,1,0,0,6,48,13,1024,66,54,2,1,94,4.73,111,-0.2
661,Joe Espinho,42,0,3,1,62.1,308,254,80,52,13,3,12,58,52,38,0,59,13,7.51,.368,1.89,8.5,5.5,1.7,1.6,6.8,1,2,3,0,0,8,34,12,1148,64,52,3,0,57,6.23,146,-1.3
2821,Bryan Fabrique,82,0,8,0,84.0,367,323,86,54,20,1,11,45,44,33,0,78,2,4.71,.311,1.42,8.4,3.5,1.2,2.4,12.3,2,7,9,1,0,6,65,23,1329,79,84,8,3,90,4.26,100,0.3
1543,Matt Faust,45,0,4,0,71.2,311,278,73,46,12,1,14,43,39,25,0,62,6,4.90,.289,1.37,7.8,3.1,1.8,2.5,11.9,0,2,5,0,0,5,40,17,1165,61,81,6,4,87,5.28,124,-0.6
3633,Alex Fischer,48,0,1,4,32.2,143,129,31,14,6,2,9,18,14,12,1,39,1,3.86,.272,1.32,10.7,3.3,2.5,3.2,18.9,1,0,3,0,0,1,31,10,536,25,32,2,0,110,5.47,128,-0.4
56,Marcus Ford,55,0,2,2,52.2,241,206,55,41,11,0,3,24,24,29,1,44,4,4.10,.323,1.59,7.5,5.0,0.5,1.5,6.2,0,2,2,0,0,5,30,7,971,46,61,3,1,104,4.06,95,0.3
1326,Rob Ford,66,0,6,6,64.2,266,253,65,38,17,0,10,23,22,9,3,89,4,3.06,.357,1.14,12.4,1.3,1.4,9.9,30.1,0,0,5,0,0,6,24,11,1004,52,46,0,0,139,2.89,68,1.5
2292,Tom Frey,67,0,3,4,73.0,328,284,76,46,14,0,16,39,38,37,1,76,4,4.68,.311,1.55,9.4,4.6,2.0,2.1,11.9,2,1,5,0,0,7,30,14,1281,64,70,3,1,91,5.58,131,-1.0
2239,Jason Fries,43,0,2,1,66.1,286,247,58,35,10,2,11,43,41,34,0,57,4,5.56,.261,1.39,7.7,4.6,1.5,1.7,8.0,0,1,4,0,0,6,26,8,1071,74,57,3,2,76,5.33,125,-0.6
1701,Alvaro Fuentes,57,0,5,10,58.2,262,234,72,49,13,0,10,31,31,22,2,62,3,4.76,.378,1.60,9.5,3.4,1.5,2.8,15.3,1,2,5,1,0,8,19,10,956,50,51,1,3,89,4.45,104,0.1
2715,Emilio Fuentes,68,0,3,3,71.0,303,271,63,41,13,1,8,33,31,26,3,74,4,3.93,.289,1.25,9.4,3.3,1.0,2.8,15.8,1,1,1,0,0,6,36,10,1163,57,73,3,2,108,3.69,86,0.8
2709,Bill Garcia,35,0,2,1,60.0,276,240,70,38,19,3,10,48,47,31,0,45,4,7.05,.323,1.68,6.8,4.7,1.5,1.5,5.1,0,1,3,0,0,7,19,8,1027,53,70,6,1,60,5.59,131,-0.8
1930,Brian Garver,49,0,3,1,74.1,323,291,79,61,11,2,5,38,35,27,0,48,4,4.24,.310,1.43,5.8,3.3,0.6,1.8,6.5,0,1,6,0,0,11,36,18,1219,95,68,4,0,100,4.00,94,0.5
624,Jordan Gawronski,62,0,8,3,65.0,268,243,53,37,9,0,7,22,19,20,2,70,3,2.63,.274,1.12,9.7,2.8,1.0,3.5,18.7,0,2,3,0,0,4,4,0,1009,66,54,3,0,161,3.38,79,1.0
942,Jeff Giddens,47,0,4,4,71.2,328,280,73,39,22,2,10,56,55,42,1,69,4,6.91,.310,1.60,8.7,5.3,1.3,1.6,8.2,0,2,5,0,0,8,44,3,1300,66,71,0,1,61,4.94,116,-0.4
2323,Brian Gillum,74,0,1,2,67.1,298,260,66,38,18,1,9,44,42,30,3,64,5,5.61,.302,1.43,8.6,4.0,1.2,2.1,11.4,1,2,1,1,0,7,33,13,1034,66,64,2,1,76,4.43,104,0.1
245,Rich Gonzalez,69,0,6,3,65.0,280,250,61,43,9,1,8,32,25,28,2,70,0,3.46,.305,1.37,9.7,3.9,1.1,2.5,15.0,0,2,3,0,0,5,26,7,1087,55,62,3,0,123,3.82,89,0.6
286,Marc Greene,51,0,1,1,74.2,353,304,89,58,18,1,12,60,44,41,0,64,3,5.30,.330,1.74,7.7,4.9,1.4,1.6,6.5,0,5,5,0,0,4,48,14,1343,66,81,4,5,80,5.31,125,-0.7
2349,Mike Greve,41,0,3,1,66.0,283,252,58,36,15,0,7,32,29,26,0,60,3,3.95,.273,1.27,8.2,3.5,1.0,2.3,12.0,0,2,5,0,0,4,26,9,1055,75,57,2,1,107,4.05,95,0.4
482,Justin Griffin,72,0,3,8,67.2,296,268,68,41,14,1,12,45,40,25,5,64,1,5.32,.290,1.37,8.5,3.3,1.6,2.6,13.2,1,1,2,1,0,4,9,0,1119,62,72,4,0,80,4.51,106,0.0
1567,Matt Gutzman,61,0,2,4,54.2,231,206,47,32,6,1,8,27,26,24,1,54,1,4.28,.271,1.30,8.9,4.0,1.3,2.2,13.0,0,0,1,0,0,4,19,5,853,48,53,3,1,99,4.41,103,0.1
660,Bill Guzman,62,0,4,3,74.2,325,278,69,39,19,0,11,43,40,38,2,66,5,4.82,.284,1.43,8.0,4.6,1.3,1.7,8.6,1,3,4,1,0,11,37,16,1250,73,73,6,0,88,4.96,116,-0.4
2601,Heinz Hall,67,0,5,4,73.2,313,277,65,39,13,2,11,30,28,28,1,67,4,3.42,.270,1.26,8.2,3.4,1.3,2.4,12.5,3,1,2,1,0,9,43,10,1133,68,74,5,1,124,4.55,107,-0.0
3027,Nate Harville,91,0,8,5,95.2,400,358,85,56,15,2,12,37,36,36,0,83,1,3.39,.274,1.26,7.8,3.4,1.1,2.3,11.8,2,3,4,1,0,9,44,7,1485,106,87,6,1,125,4.23,99,0.4
1182,Adam Heckt,64,0,6,0,62.2,251,229,47,35,7,0,5,23,19,11,2,66,4,2.73,.258,0.93,9.5,1.6,0.7,6.0,21.9,2,5,2,0,0,3,32,8,916,60,59,3,0,156,2.72,64,1.7
2076,Cody Hensley,49,0,1,1,76.2,340,303,82,38,22,4,18,49,47,29,1,60,1,5.52,.278,1.45,7.0,3.4,2.1,2.1,9.1,2,5,3,0,0,5,33,11,1239,84,81,2,0,77,5.79,136,-1.1
