ID,Team,Team Name,G,GS,TC,IP,PO,A,DP,TP,E,PCT,SBA,ZR,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I
10,Boston,Boston Crawfish,162,1620,5851,13059.0,4353,1426,157,0,72,.988,95,-4.5,8,0,0.00,2144,2023,423,331,316,202,300,97,399,52,327
7,Brooklyn,Brooklyn Kings,162,1620,5874,13266.0,4422,1355,110,0,97,.983,151,-22.8,14,0,0.00,2146,2007,449,358,344,210,283,97,406,46,342
19,Charlotte,Charlotte Grand Slam,162,1620,5940,12813.0,4271,1572,151,0,97,.984,117,55.9,16,0,0.00,2286,2191,465,394,350,238,359,125,413,63,402
28,Cleveland,Cleveland Clowns,162,1620,5874,12915.0,4305,1465,140,0,104,.982,116,-37.9,15,0,0.00,2219,2067,410,324,358,212,342,89,410,50,379
4,Dallas,Dallas Sunrays,162,1620,5820,12912.0,4304,1441,143,0,75,.987,89,-0.9,8,0,0.00,2110,1991,433,357,313,197,300,90,350,55,335
30,Fresno,Fresno Deputies,162,1620,5859,13071.0,4357,1407,136,0,95,.984,107,-13.6,6,0,0.00,2196,2071,463,385,333,193,289,84,439,54,368
31,Newport News,Newport News Peacocks,162,1620,5949,13059.0,4353,1512,146,0,84,.986,163,-0.9,12,0,0.00,2161,2045,463,363,330,212,347,110,452,68,410
26,Philadelphia,Philadelphia Lynx,162,1620,5816,12939.0,4313,1415,139,0,88,.985,139,-52.4,13,0,0.00,2143,1993,479,392,335,187,311,86,398,40,364
20,San Jose,San Jose Steelers,162,1620,6024,13002.0,4334,1599,160,0,91,.985,122,9.3,13,0,0.00,2370,2228,463,371,357,218,367,122,453,67,407
1,Baltimore,Baltimore Tyrants,162,1620,5891,13245.0,4414,1409,138,0,68,.988,109,42.0,14,0,0.00,2142,2031,438,379,346,234,328,119,380,56,342
