ID,Name,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,BB%,IBB,HP,SH,SF,CI,SO,SO%,GIDP,AVG,OBP,SLG,wOBA,OPS+,BABIP,wRC+,WAR,PI/PA,SB,CS,BatR,UBR,BsR
6484,Sam O'Brien,138,138,647,599,171,97,35,6,33,83,96,41,6.3,3,5,0,2,0,119,18.4,6,.285,.335,.529,.360,129,.307,128,6.8,3.70,12,6,22.4,-1.1,-1.6
6973,Josh Spenner,141,141,627,530,143,76,29,6,32,87,94,85,13.6,3,8,0,4,0,144,23.0,8,.270,.376,.528,.379,142,.310,142,6.4,4.12,2,2,31.7,-3.7,-4.6
6557,Chris Vasquez,136,136,582,517,119,66,26,0,27,97,63,53,9.1,5,5,1,7,0,128,22.0,15,.230,.304,.437,.310,98,.249,93,4.1,3.74,0,1,-4.4,-1.3,-2.1
7051,Matt Anderson,77,25,114,102,22,12,3,0,7,18,17,9,7.9,0,1,2,2,0,21,18.4,4,.216,.281,.451,.307,94,.197,92,0.9,3.56,1,2,-1.1,-0.4,-1.2
6609,Mike Baker,143,143,519,485,54,45,8,1,0,14,31,26,5.0,0,5,12,3,0,153,29.5,8,.111,.164,.132,.139,-18,.161,-25,-4.5,3.75,1,0,-78.1,0.1,0.1
6999,Ben Derrick,137,137,578,538,145,97,31,6,11,51,51,36,6.2,0,2,2,2,0,115,19.9,11,.270,.317,.411,.312,95,.324,95,1.2,3.73,7,7,-3.0,-2.5,-4.6
7207,Scott Doolin,139,139,541,502,129,99,22,2,6,46,58,32,5.9,1,3,0,4,0,95,17.6,12,.257,.303,.345,.281,76,.304,74,-0.9,3.46,6,1,-16.8,0.4,1.0
6816,Blake Goodwin,136,136,612,565,133,94,20,1,18,60,62,40,6.5,0,2,0,5,0,143,23.4,13,.235,.286,.370,.283,76,.281,75,1.6,3.70,0,1,-18.2,-2.1,-2.9
6503,Bobby Lutz,137,137,607,523,139,86,28,1,24,76,81,79,13.0,2,2,0,3,0,111,18.3,14,.266,.362,.461,.352,121,.294,123,5.0,3.88,5,1,17.0,-0.1,0.2
6691,Josh Newman,140,140,625,546,152,91,26,5,30,83,90,68,10.9,1,10,0,1,0,125,20.0,13,.278,.368,.509,.372,135,.311,137,6.5,3.88,10,6,28.0,-2.0,-3.0
7055,Josh Bernard,142,142,627,567,165,104,34,4,23,82,88,47,7.5,0,1,0,12,0,88,14.0,18,.291,.340,.487,.348,121,.303,120,3.5,3.60,4,3,15.3,-0.2,-1.1
7075,Greg Klausing,142,142,615,522,120,56,31,9,24,83,78,87,14.1,0,3,0,3,0,156,25.4,5,.230,.341,.462,.343,115,.278,117,4.1,4.19,6,4,12.7,-2.4,-3.3
6510,Scott Lane,143,143,518,483,96,70,17,1,8,35,56,23,4.4,0,11,19,1,0,95,18.3,8,.199,.251,.288,.238,46,.231,43,-2.9,3.56,2,3,-34.9,-0.8,-2.0
7056,Kurt Mowatt,65,56,220,206,47,37,9,1,0,15,19,10,4.5,0,1,8,3,0,39,17.7,3,.228,.264,.282,.239,48,.276,44,-1.1,3.67,1,1,-14.6,-1.7,-2.1
7205,John Rodgers,140,140,613,531,155,63,33,1,58,125,114,80,13.1,9,1,0,1,0,231,37.7,3,.292,.385,.685,.428,182,.399,176,9.8,4.19,32,12,56.3,0.3,1.6
6848,Vance Starnes,137,137,582,524,161,96,38,3,24,79,77,45,7.7,1,12,0,1,0,95,16.3,7,.307,.375,.529,.382,141,.337,144,4.2,3.66,0,0,30.9,-4.3,-4.3
6926,Chris Wubben,139,138,610,557,161,93,32,7,29,75,83,47,7.7,0,3,0,3,0,96,15.7,16,.289,.346,.528,.367,132,.303,133,5.2,3.64,0,0,24.8,-0.6,-0.6
6687,Jose Campos,122,105,374,336,59,45,7,0,7,21,31,35,9.4,0,1,11,2,0,84,22.5,6,.176,.254,.259,.232,40,.211,39,-2.2,3.70,0,0,-27.2,-1.7,-1.7
6772,Bryan Cannon,135,135,505,456,94,71,19,1,3,30,37,42,8.3,1,5,5,2,0,104,20.6,14,.206,.279,.272,.247,51,.259,50,-1.9,3.65,1,1,-30.2,-1.3,-1.9
6824,William Garrett,135,135,570,522,153,95,30,4,24,72,67,40,7.0,0,7,0,1,0,110,19.3,15,.293,.351,.504,.362,128,.332,130,6.0,3.76,0,0,21.1,0.9,0.9
6841,Jeff Gray,141,141,649,573,166,101,42,2,21,85,76,64,9.9,0,7,0,5,0,110,16.9,11,.290,.365,.480,.361,127,.324,129,5.0,3.88,0,0,23.0,-3.3,-3.3
7159,Nick Klipstein,140,140,575,526,130,76,23,1,30,94,60,36,6.3,1,11,0,2,0,144,25.0,11,.247,.308,.466,.327,106,.282,106,0.9,3.83,1,0,4.1,-2.8,-2.9
7180,Dave Knight,139,139,660,594,176,139,34,3,0,65,91,55,8.3,0,6,1,5,0,75,11.4,20,.296,.359,.364,.319,98,.336,100,3.3,3.50,12,3,0.2,-1.6,-0.8
7232,Brett Kohn,137,137,632,574,177,124,29,1,23,70,93,56,8.9,0,1,0,1,0,110,17.4,19,.308,.370,.483,.365,129,.348,132,5.4,3.66,2,1,24.8,-2.2,-2.7
6613,John Porter,139,139,613,540,163,106,31,1,25,89,79,69,11.3,3,2,0,2,0,99,16.2,13,.302,.382,.502,.374,137,.330,138,5.4,3.84,2,2,28.5,-4.5,-5.4
7188,Chris Sailors,136,136,612,549,189,110,46,0,33,121,87,38,6.2,2,14,0,11,1,96,15.7,8,.344,.394,.608,.414,166,.362,166,4.8,3.68,3,0,49.1,-4.9,-4.5
6588,Bryant Anderson,124,111,430,409,91,56,17,1,17,46,40,18,4.2,0,2,0,1,0,139,32.3,13,.222,.258,.394,.277,73,.291,70,-0.4,3.77,0,3,-15.0,-1.1,-2.8
7181,Chris Aversa,43,15,95,88,21,16,4,0,1,14,7,7,7.4,1,0,0,0,0,25,26.3,2,.239,.295,.318,.264,67,.323,61,-0.3,3.99,0,0,-4.4,0.3,0.3
7103,Haykuni Beyburtian,142,142,565,539,112,86,17,2,7,46,41,16,2.8,2,5,0,5,0,119,21.1,11,.208,.235,.286,.224,41,.251,33,-4.0,3.59,3,1,-44.9,-0.7,-0.7
6717,Kevin Carlisle,123,83,385,333,61,36,15,0,10,35,37,42,10.9,3,9,0,1,0,121,31.4,7,.183,.291,.318,.268,66,.251,64,-1.1,3.93,0,0,-16.3,1.3,1.3
6945,Bill Funk,136,136,574,520,148,93,28,2,25,87,70,42,7.3,2,3,0,9,0,105,18.3,11,.285,.336,.490,.346,120,.308,119,4.7,3.66,13,4,13.1,-2.6,-1.8
7231,Larry Garner,93,66,232,208,24,17,3,0,4,15,13,19,8.2,0,3,5,2,0,58,25.0,6,.115,.198,.188,.180,6,.135,3,-2.1,3.66,0,0,-27.0,-2.3,-2.3
6997,Ruben Hernandez,139,139,608,546,169,105,39,2,23,109,79,47,7.7,2,9,0,6,0,112,18.4,8,.310,.370,.515,.372,137,.350,137,5.9,3.73,6,1,27.4,-3.9,-3.3
6867,Brian Holm,140,139,660,588,157,104,22,2,29,68,110,70,10.6,0,1,0,1,0,150,22.7,12,.267,.345,.459,.345,116,.312,118,3.4,3.72,20,11,14.8,-1.7,-2.9
6874,Ricky Hutson,140,140,643,555,150,81,32,3,34,119,104,76,11.8,1,7,0,5,1,124,19.3,14,.270,.362,.523,.372,136,.289,137,5.6,3.93,4,6,29.0,1.0,-1.4
6555,Justin Johnson,138,136,623,561,152,96,32,7,17,81,96,58,9.3,3,1,0,3,1,121,19.4,6,.271,.339,.444,.332,110,.317,109,3.5,3.80,23,8,7.0,1.4,2.6
6633,Pedro Martinez,137,137,588,475,118,31,34,7,46,114,105,98,16.7,16,12,0,3,0,223,37.9,6,.248,.388,.640,.402,172,.344,158,7.0,4.21,29,6,41.4,0.0,3.6
6720,Max Nicholson,142,142,564,519,130,85,21,2,22,65,52,39,6.9,3,5,0,1,0,117,20.7,15,.250,.309,.426,.311,96,.283,94,1.8,3.66,2,0,-3.5,-0.5,-0.4
6639,Ryan Reese,140,140,606,538,164,97,40,3,24,94,79,63,10.4,0,3,0,2,0,116,19.1,16,.305,.380,.524,.383,142,.350,145,4.9,3.81,1,0,32.8,-5.3,-5.4
6509,Bobby Rider,151,151,698,649,175,107,39,1,28,105,88,42,6.0,0,1,0,6,0,144,20.6,16,.270,.312,.462,.327,106,.304,106,1.6,3.74,0,0,5.2,-0.2,-0.2
6505,Matt Simpson,41,23,108,99,22,18,3,0,1,5,11,8,7.4,0,0,0,1,0,17,15.7,1,.222,.278,.283,.250,53,.256,51,-0.8,3.54,0,1,-6.3,0.0,-0.5
6770,Carlos Vallejos,140,139,539,494,106,87,17,1,1,20,57,38,7.1,1,5,10,2,0,116,21.5,16,.215,.276,.259,.241,47,.277,45,-3.5,3.76,7,9,-35.2,-2.2,-5.4
7110,Mike Warren,137,137,553,492,139,93,19,2,25,62,58,57,10.3,1,3,0,1,0,116,21.0,22,.283,.360,.482,.359,126,.324,128,3.6,3.88,0,0,18.7,0.2,0.2
7024,Tim Beideman,142,139,633,580,158,98,30,2,28,81,94,39,6.2,0,10,0,4,0,129,20.4,16,.272,.327,.476,.340,114,.304,115,2.5,3.71,1,0,11.7,-4.4,-4.5
6894,Phil Chambers,114,89,329,299,25,20,5,0,0,16,19,27,8.2,0,0,4,3,0,79,24.0,6,.084,.158,.100,.129,-27,.112,-33,-4.3,3.73,0,0,-52.5,-0.6,-0.6
6530,Kevin Conner,143,143,594,516,143,79,36,0,28,107,70,62,10.4,2,9,0,7,0,114,19.2,11,.277,.360,.510,.365,132,.302,132,5.0,3.80,9,3,23.3,-0.6,-0.3
6661,Byron Ehrlich,141,141,541,492,100,81,10,1,8,27,46,41,7.6,0,6,1,2,0,115,21.3,16,.203,.272,.276,.246,50,.248,49,-2.9,3.79,2,3,-32.8,-0.1,-1.4
6457,Adam Green,149,149,661,546,148,81,29,2,36,89,95,99,15.0,6,10,0,6,0,129,19.5,16,.271,.389,.529,.382,146,.289,144,5.0,4.01,1,2,35.3,1.9,0.7
7211,Andy Hough,46,40,156,147,35,28,7,0,0,13,17,9,5.8,0,0,1,0,0,35,22.4,2,.238,.282,.286,.252,55,.312,53,-1.1,3.85,1,1,-8.7,-0.6,-0.9
6666,Brett Johnson,94,80,314,289,49,43,3,2,1,11,18,19,6.1,1,6,1,0,0,90,28.7,7,.170,.236,.204,.201,21,.242,17,-2.7,3.67,0,0,-31.0,-1.8,-1.8
7258,Terry Killin,148,145,591,532,123,80,18,1,24,63,66,44,7.4,3,13,0,2,0,165,27.9,13,.231,.305,.404,.303,90,.287,89,0.9,3.87,0,0,-7.7,-2.3,-2.3
7049,Billy Olivarez,139,139,617,542,162,95,35,2,30,99,88,68,11.0,0,2,0,5,0,106,17.2,16,.299,.376,.537,.385,144,.321,146,6.1,3.87,4,7,34.3,-3.1,-6.0
7134,Gerardo Perez,138,138,582,525,155,88,48,3,16,79,74,50,8.6,2,3,0,4,0,106,18.2,13,.295,.357,.490,.357,127,.342,127,3.7,3.63,22,7,18.9,1.9,3.3
6972,Fernando Rodriguez,142,142,589,536,145,100,28,1,16,57,82,47,8.0,1,5,1,1,0,104,17.7,12,.271,.334,.416,.324,102,.309,103,2.3,3.87,17,8,2.6,-4.4,-4.7
6458,Tim Sanchez,135,135,553,493,124,81,29,2,12,66,46,58,10.5,5,0,0,2,0,124,22.4,18,.252,.329,.391,.308,95,.312,92,1.8,3.71,0,0,-5.0,-2.7,-2.7
7076,Chad Sullins,146,146,680,630,202,130,54,2,16,66,106,44,6.5,0,4,0,2,0,119,17.5,17,.321,.368,.489,.365,130,.374,132,3.9,3.71,0,5,26.7,-5.4,-8.4
6791,Jerry Tolson,144,144,552,515,100,71,13,2,14,48,45,31,5.6,0,3,1,3,0,152,27.5,13,.194,.243,.309,.240,48,.244,45,-4.1,3.65,7,3,-36.3,-1.9,-2.0
6581,Jon Valentine,137,136,565,505,97,48,14,1,34,81,65,47,8.3,1,5,0,8,1,264,46.7,6,.192,.264,.426,.290,83,.293,79,1.5,4.21,1,3,-13.6,-0.4,-1.9
7003,Carlos Vargas,84,77,304,280,57,45,8,0,4,16,26,23,7.6,2,1,2,0,0,70,23.0,5,.204,.266,.275,.238,48,.257,43,-1.6,3.83,3,1,-20.5,-0.1,-0.1
6738,Mark Clements,65,61,243,221,42,29,5,2,6,25,23,21,8.6,2,1,1,0,0,71,29.2,1,.190,.263,.312,.249,56,.250,50,-1.4,3.90,4,1,-14.3,-2.3,-2.0
6640,Matt Delehanty,79,74,301,270,57,37,15,1,4,22,35,28,9.3,0,0,13,3,0,51,16.9,7,.211,.282,.319,.265,63,.243,62,-0.8,3.72,2,2,-13.6,-2.6,-3.2
7266,Joe Hariton,141,141,627,563,147,67,36,3,41,99,94,55,8.8,1,2,0,7,0,130,20.7,11,.261,.325,.554,.363,132,.266,131,4.8,3.78,4,3,23.6,-0.9,-1.7
7128,Jay McGrath,142,142,579,549,120,93,15,2,10,44,39,17,2.9,0,5,3,8,0,114,19.7,15,.219,.245,.308,.239,49,.254,44,-3.6,3.53,2,4,-38.8,0.6,-1.2
6895,Eddie Rivera,142,141,568,543,151,101,35,1,14,66,73,21,3.7,1,1,2,3,0,109,19.2,17,.278,.305,.424,.309,95,.324,93,0.6,3.50,4,1,-4.7,-1.3,-1.1
7082,Kevin Siemon,141,141,625,565,168,106,34,1,27,90,97,38,6.1,2,20,0,2,0,102,16.3,16,.297,.362,.504,.366,132,.322,133,4.8,3.65,18,8,25.2,-0.4,-0.5
6822,Cesar Sotelo,67,66,238,224,47,38,5,0,4,11,13,13,5.5,0,1,3,0,0,55,23.1,4,.210,.256,.286,.240,47,.261,44,-1.1,3.76,1,1,-15.8,-0.9,-1.3
6479,Doug Ulmer,139,139,585,505,133,88,19,0,26,71,71,66,11.3,1,14,0,0,0,168,28.7,7,.263,.364,.455,.354,121,.344,124,3.7,4.17,9,2,17.4,-1.5,-0.8
7133,Jon Welk,94,55,233,220,39,28,7,0,4,23,14,12,5.2,0,0,2,1,0,80,34.3,5,.177,.219,.264,.212,30,.255,25,-2.2,3.68,0,3,-20.9,-0.8,-2.3
7185,Oscar Gerosa,81,75,270,256,55,39,13,2,1,16,17,9,3.3,0,2,4,3,0,53,19.6,4,.215,.244,.293,.233,45,.263,40,-2.1,3.46,0,1,-19.4,-3.9,-4.5
6789,Nelson Gonzales,137,123,488,444,110,83,18,3,6,41,42,41,8.4,3,2,0,1,0,102,20.9,14,.248,.314,.342,.285,78,.309,76,-0.6,3.47,1,1,-13.8,-1.7,-2.2
6533,Carlos Gonzalez,143,143,620,563,172,92,48,10,22,91,96,44,7.1,2,9,0,4,0,115,18.5,12,.306,.363,.544,.378,141,.349,141,5.8,3.66,23,12,31.0,2.1,1.3
7129,Corey Jones,21,10,44,40,6,6,0,0,0,1,0,4,9.1,0,0,1,0,0,6,13.6,3,.150,.227,.150,.182,6,.176,4,-0.5,3.89,0,0,-5.0,-0.0,-0.0
6796,Isaiah Jones,135,135,555,498,122,80,25,0,17,63,50,50,9.0,1,3,0,4,0,120,21.6,13,.245,.315,.398,.307,92,.288,92,1.8,3.87,5,1,-5.2,-1.1,-0.7
6793,Tim King,136,136,573,523,134,73,31,9,21,69,61,45,7.9,3,2,0,3,1,115,20.1,10,.256,.316,.470,.328,109,.290,106,3.2,3.64,7,4,4.8,-1.4,-2.0
6977,Jay O'Hern,135,135,531,505,115,84,17,0,14,41,42,20,3.8,0,3,0,3,0,113,21.3,8,.228,.260,.345,.260,62,.265,59,-3.7,3.60,3,1,-26.0,-2.8,-2.9
7155,Jim Sheffield,78,74,309,280,47,33,11,0,3,21,28,25,8.1,0,4,8,0,0,64,20.7,1,.168,.246,.239,.222,33,.207,32,-2.3,3.67,11,3,-25.1,-1.2,-0.2
6920,Tommy Tims,135,121,483,432,88,64,15,3,6,39,40,38,7.9,0,12,0,1,0,132,27.3,9,.204,.286,.294,.261,58,.278,59,-1.6,3.82,5,1,-23.4,0.5,0.9
6642,Marc Adkison,124,109,459,419,89,67,18,1,3,37,23,31,6.8,0,4,2,5,1,117,25.5,8,.212,.270,.282,.245,50,.283,48,-2.4,3.69,1,0,-28.2,-1.6,-1.7
7072,Oscar Aguilar,114,114,486,434,142,104,19,0,19,81,65,43,8.8,0,5,1,4,1,86,17.7,14,.327,.391,.502,.381,140,.369,144,4.4,3.72,3,2,25.7,-5.7,-6.3
6954,Josh Albin,152,152,672,578,172,93,36,4,39,125,120,86,12.8,0,4,0,4,0,126,18.8,11,.298,.390,.576,.404,157,.319,160,5.4,3.96,1,3,48.4,-0.1,-1.8
7006,Juan Alvarado,34,27,103,97,20,16,2,0,2,9,9,6,5.8,0,0,1,0,0,22,21.4,2,.206,.252,.289,.239,47,.247,44,-0.5,3.61,0,1,-6.9,0.2,-0.3
6821,Daniel Andrews,70,67,249,232,41,32,5,1,3,19,17,14,5.6,0,3,6,0,0,45,18.1,7,.177,.233,.246,.215,30,.207,27,-2.3,3.62,1,0,-21.7,-2.1,-2.0
7099,Jesus Azcue,117,117,500,448,117,75,25,1,16,58,56,44,8.8,1,3,0,5,0,103,20.6,11,.261,.328,.429,.323,103,.302,103,2.5,3.72,1,0,2.0,-1.9,-1.9
7046,Ben Bagwell,115,115,475,450,140,95,43,2,0,46,47,19,4.0,1,5,0,1,0,83,17.5,11,.311,.345,.416,.327,105,.380,105,2.4,3.41,1,1,3.3,-4.0,-4.6
7054,Kyle Baker,142,142,611,547,153,96,29,3,25,96,86,46,7.5,0,17,0,1,0,107,17.5,19,.280,.354,.481,.357,123,.308,126,4.7,3.73,3,2,19.7,-2.0,-2.7
6556,Lee Baker,150,150,710,600,185,92,65,22,6,68,128,97,13.7,1,7,0,6,0,88,12.4,8,.308,.407,.520,.391,149,.350,151,6.3,3.91,80,20,43.5,0.4,9.1
6771,Chris Balkey,112,105,429,390,72,59,9,1,3,19,24,36,8.4,2,0,2,3,0,106,24.7,11,.185,.252,.236,.218,34,.243,29,-3.4,3.86,2,0,-36.1,-1.7,-1.5
6526,Mike Barnhart,113,113,433,397,74,59,3,2,10,31,34,31,7.2,0,3,0,2,0,152,35.1,11,.186,.249,.280,.235,44,.270,41,-1.2,4.09,0,1,-30.3,-4.8,-5.5
6980,Jason Barrett,87,83,335,307,62,48,13,0,1,19,25,24,7.2,0,1,0,3,0,58,17.3,10,.202,.260,.254,.231,41,.243,38,-2.4,3.58,1,0,-24.7,0.5,0.6
6483,Mike Bauman,141,125,536,489,127,81,23,3,20,60,66,39,7.3,1,1,0,7,0,106,19.8,20,.260,.312,.442,.318,101,.289,99,0.7,3.78,1,0,-0.1,0.6,0.6
7236,Brian Bear,139,139,608,544,139,74,30,4,31,97,63,54,8.9,0,8,0,2,1,148,24.3,14,.256,.331,.496,.350,120,.294,121,4.0,3.96,3,1,15.9,-2.0,-2.2
6528,Matt Benbrook,153,148,662,595,174,114,26,1,33,88,97,61,9.2,0,1,0,5,0,112,16.9,26,.292,.356,.506,.365,130,.310,132,3.1,3.70,0,3,25.9,-2.4,-4.3
6451,Brandon Bennett,40,34,144,130,26,22,3,1,0,5,9,14,9.7,1,0,3,0,0,28,19.4,2,.200,.278,.238,.232,43,.255,39,-0.7,3.56,4,0,-10.4,0.4,1.2
6537,John Bennett,140,140,645,593,150,97,34,4,15,51,95,39,6.0,0,11,0,2,0,128,19.8,8,.253,.310,.400,.306,91,.299,91,2.4,3.70,10,10,-6.6,1.7,-1.3
6970,Jesse Bergin,146,146,648,558,158,100,29,1,28,82,85,81,12.5,1,6,0,3,0,115,17.7,10,.283,.378,.489,.370,133,.311,136,3.1,3.91,2,0,28.2,-6.9,-6.9
7022,Bobby Bertrand,145,145,668,571,169,97,30,1,41,107,103,86,12.9,3,6,0,5,0,141,21.1,17,.296,.391,.567,.399,155,.325,156,5.2,3.90,2,1,45.1,-3.8,-4.3
6975,Michael Biggs,135,135,566,514,128,75,26,3,24,89,73,30,5.3,0,16,0,6,0,146,25.8,7,.249,.307,.451,.322,102,.297,102,1.9,3.69,9,2,1.6,-0.8,0.0
6682,Justin Bishop,139,132,543,503,126,93,27,2,4,51,43,32,5.9,1,3,0,5,0,80,14.7,18,.250,.297,.336,.275,72,.288,69,-1.3,3.41,2,0,-19.9,-2.9,-2.7
7131,Josh Black,143,143,655,585,149,85,36,7,21,56,104,63,9.6,2,5,0,2,0,133,20.3,11,.255,.331,.448,.331,109,.296,108,4.9,3.71,53,18,7.1,3.1,6.4
6694,Cory Blake,142,142,584,547,139,84,35,2,18,63,67,36,6.2,3,1,0,0,0,136,23.3,15,.254,.301,.424,.306,94,.308,91,-0.2,3.66,2,3,-5.9,-2.0,-3.3
7100,Tyler Blew,155,155,694,618,178,105,31,2,40,104,105,55,7.9,6,14,0,7,0,103,14.8,22,.288,.356,.539,.370,138,.286,135,3.3,3.56,1,2,29.8,-2.9,-4.1
7004,Steve Boyer,157,157,673,634,169,111,31,5,22,97,78,33,4.9,2,2,0,4,1,157,23.3,9,.267,.303,.435,.311,97,.320,95,0.0,3.53,18,10,-4.0,-0.2,-1.3
6658,John Bricker,157,157,688,631,159,112,31,3,13,59,81,51,7.4,0,4,1,2,1,108,15.7,25,.252,.311,.372,.298,85,.285,85,-1.0,3.54,1,0,-12.1,-4.1,-4.3
6606,Matt Brinkman,150,149,678,586,184,114,33,0,37,102,118,83,12.2,1,4,0,5,0,97,14.3,17,.314,.400,.560,.403,156,.322,159,5.8,3.90,2,3,48.2,-3.8,-5.3
6538,Luis Briones,144,144,568,528,121,85,17,2,17,64,43,31,5.5,3,4,2,5,0,146,25.7,13,.229,.275,.366,.272,72,.281,67,0.0,3.60,1,0,-22.3,-0.3,-0.3
6486,Randy Buttrum,139,134,588,523,126,79,31,0,16,49,58,55,9.4,5,6,0,4,0,109,18.5,12,.241,.318,.392,.303,91,.274,88,-0.7,3.80,1,0,-7.9,-3.8,-3.9
6632,Corey Cabe,146,143,590,512,99,57,24,0,18,70,57,65,11.0,2,9,0,4,0,162,27.5,15,.193,.293,.346,.280,73,.241,72,-1.5,3.96,2,0,-19.1,-1.5,-1.4
6686,Roy Cabrera,145,145,542,512,133,89,20,1,23,61,65,26,4.8,1,1,0,3,0,155,28.6,12,.260,.295,.438,.309,95,.326,93,1.5,3.71,9,3,-4.1,-2.2,-1.8
6743,Jason Campbell,142,142,621,561,159,92,38,2,27,92,86,50,8.1,0,4,0,6,0,114,18.4,20,.283,.343,.503,.357,125,.310,126,3.9,3.69,5,2,19.9,-4.3,-4.5
7125,Hugh Cannon,118,118,489,453,104,67,20,1,16,57,40,33,6.7,0,3,0,0,0,162,33.1,12,.230,.286,.384,.289,80,.320,79,0.5,3.87,6,3,-11.9,-1.7,-2.0
6794,Mike Carestia,62,30,131,108,16,8,3,1,4,10,10,22,16.8,0,1,0,0,0,43,32.8,4,.148,.298,.306,.276,65,.197,69,0.1,4.04,2,0,-4.7,-1.7,-1.3
6485,Jason Carroll,58,51,184,164,27,20,5,1,1,14,11,15,8.2,2,3,2,2,0,36,19.6,4,.165,.245,.226,.208,29,.202,22,-1.5,3.60,0,1,-17.0,0.1,-0.5
6876,C.J. Cawrse,61,44,183,159,25,19,5,0,1,10,22,19,10.4,1,3,2,2,0,44,24.0,7,.157,.257,.208,.215,29,.207,27,-1.6,3.91,0,2,-15.9,-1.3,-2.4
6768,Mike Chappelle,142,142,625,534,152,77,40,7,28,100,70,68,10.9,10,14,0,9,0,121,19.4,7,.285,.374,.543,.373,145,.315,138,5.3,3.85,5,4,28.7,-0.1,-1.3
