ID,POS,Name,Mor,ORG,Lev,Age,EXP,OVR,POT,AD,WE,INT,CON,BABIP,GAP,POW,EYE,K's,HT P,CON P,GAP P,POW P,EYE P,K P,DEF,SS,DEF Pot,SPE,RUN,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,BB%,IBB,HP,SH,SF,CI,SO,SO%,GIDP,AVG,OBP,SLG,OPS+,BABIP,wRC+,WAR,PI/PA,SB,CS,BatR,UBR,BsR,ZR,EFF
33241,SS,R. BOYER,,MON,MLB,30,10,2.5 Stars,2.5 Stars,N,H,N,5,5,6,5,7,5,5,5,6,5,7,5,8,8,8,5,6,147,147,611,538,130,79,33,3,15,54,84,64,10.5,1,8,1,1,0,114,18.7,9,.242,.331,.398,98,.280,100,1.1,3.96,3,2,0.4,1.2,-0.8,-15.5,.929
35756,SS,B. CALFEE,,-,-,29,9,2.0 Stars,2.0 Stars,N,N,N,5,4,5,4,5,5,5,5,5,4,5,5,8,8,8,2,1,152,148,526,497,105,75,23,2,5,43,53,27,5.1,0,2,3,0,0,100,19.0,16,.211,.255,.296,51,.255,49,-2.4,3.56,1,0,-32.6,-3.6,-4.5,-11.5,.948
32653,SS,K. COX,,BAL,MLB,33,14,2.0 Stars,2.0 Stars,N,H,N,5,5,5,2,6,5,5,5,5,2,6,5,8,8,8,9,9,62,39,168,147,28,21,5,1,1,10,18,18,10.7,0,1,5,2,0,28,16.7,3,.190,.280,.259,47,.225,49,-0.2,3.75,16,2,-10.2,0.4,2.7,-1.8,.964
26970,SS,H. ENG,,SDN,MLB,25,7,2.0 Stars,2.5 Stars,L,N,N,5,5,4,3,4,7,5,5,5,4,7,7,8,8,8,8,10,112,112,448,427,83,56,18,2,7,37,32,13,2.9,0,3,19,5,0,61,13.6,5,.194,.221,.295,43,.209,37,-0.8,3.40,28,3,-34.3,1.3,5.6,0.5,.989
31918,SS,E. GIROMETTA,,SLN,MLB,33,17,3.5 Stars,3.5 Stars,H,H,H,5,4,7,7,6,6,4,5,7,7,6,6,8,8,8,3,1,124,116,482,435,110,66,21,0,23,81,59,35,7.3,1,5,0,7,0,76,15.8,15,.253,.311,.460,110,.254,107,3.7,3.67,0,0,4.2,2.6,2.6,8.9,1.040
38039,SS,S. JACKSON,,LAN,MLB,28,10,2.5 Stars,2.5 Stars,H,N,N,5,5,6,5,5,4,5,5,6,5,5,5,8,8,8,6,5,151,146,541,498,117,77,26,2,12,67,54,37,6.8,0,2,1,4,0,147,27.2,4,.235,.288,.367,79,.306,78,2.0,3.91,7,2,-14.3,-0.3,-0.9,10.8,1.057
36545,SS,G. MORÁN,,WAS,MLB,31,10,2.5 Stars,2.5 Stars,N,N,N,5,5,6,5,5,6,5,5,6,5,5,6,8,8,8,3,3,100,60,245,223,63,40,14,0,9,36,27,17,6.9,2,2,0,3,0,47,19.2,5,.283,.335,.466,108,.318,109,1.6,3.73,0,1,2.7,-0.5,-1.6,5.1,1.053
28997,CF,R. MÁRQUEZ,,NYA,MLB,30,13,2.0 Stars,2.0 Stars,L,N,H,5,4,4,3,5,6,4,5,4,3,5,6,10,8,10,8,8,90,84,304,277,58,44,10,3,1,19,25,25,8.2,0,2,0,0,0,65,21.4,7,.209,.280,.278,53,.270,54,0.4,3.61,7,2,-16.9,-2.5,-2.7,11.9,1.091
27643,3B,G. RAMÍREZ,,ARI,MLB,25,9,1.5 Stars,2.0 Stars,N,N,N,4,5,5,4,5,4,5,4,5,4,5,5,5,8,9,5,5,96,89,334,299,57,39,11,1,6,36,24,29,8.7,0,2,0,4,0,84,25.1,3,.191,.263,.294,54,.239,53,-0.5,3.73,2,0,-18.9,0.7,0.4,0.7,1.000
29108,SS,C. SUTHERLAND,,DET,MLB,25,10,2.5 Stars,2.5 Stars,N,N,N,5,5,6,4,5,6,5,6,6,5,5,6,8,8,8,1,1,148,148,514,490,115,81,29,1,4,31,45,18,3.5,0,1,0,5,0,97,18.9,7,.235,.261,.322,54,.282,52,0.4,3.57,0,0,-29.8,-0.2,-0.2,10.9,1.062
37705,2B,S. WILLIAMS,,MIL,MLB,24,3,3.0 Stars,3.5 Stars,L,L,L,5,6,6,6,5,5,7,6,6,6,6,5,10,8,10,5,6,151,148,611,547,161,105,34,1,21,72,82,52,8.5,0,10,0,2,0,140,22.9,12,.294,.365,.475,129,.361,131,5.7,3.68,9,4,23.2,1.5,-0.2,10.5,1.068
37892,SS,A. WOOD,,DET,MLB,28,9,2.5 Stars,2.5 Stars,H,H,N,5,4,5,5,5,6,5,5,5,5,6,6,8,8,8,2,2,110,45,224,202,51,27,14,1,9,41,29,18,8.0,1,2,0,2,0,40,17.9,7,.252,.317,.465,104,.271,105,0.9,3.48,0,0,1.4,-2.6,-2.6,1.4,1.020
41569,3B,G. ALEXANDER,,-,-,32,16,2.0 Stars,2.0 Stars,L,H,N,3,2,4,7,7,3,2,3,4,7,7,3,8,7,8,9,10,148,147,548,490,91,55,12,2,22,45,57,48,8.8,1,7,14,3,0,171,31.2,6,.186,.266,.353,68,.230,67,1.5,3.87,39,4,-21.7,1.0,7.0,9.3,1.073
37516,SS,S. BARBOSA,,CAR,MLB,29,9,2.5 Stars,2.5 Stars,N,N,N,4,5,4,7,4,3,5,4,4,7,4,3,7,7,7,9,9,144,143,548,515,122,77,13,2,30,84,74,17,3.1,0,11,1,5,0,174,31.8,6,.237,.274,.445,92,.291,90,0.7,3.78,9,4,-6.3,0.0,-1.0,-10.1,.930
33260,SS,B. BOND,,BAL,MLB,24,6,3.5 Stars,5.0 Stars,N,H,N,9,8,8,4,4,8,9,10,8,5,7,10,7,7,7,7,9,145,139,625,594,175,100,54,8,13,60,83,24,3.8,5,4,3,3,0,70,11.2,13,.295,.325,.478,112,.315,110,4.7,3.30,17,6,8.1,-3.1,-3.4,15.4,1.088
38486,SS,C. DUR,,NYN,MLB,33,10,2.5 Stars,2.5 Stars,N,H,N,5,5,5,5,6,7,5,5,5,5,6,7,7,7,7,7,6,103,97,366,330,78,58,13,0,7,37,40,32,8.7,0,2,6,2,0,47,12.8,5,.236,.306,.339,85,.255,82,1.0,3.59,8,4,-7.7,0.3,-0.8,2.5,1.039
34951,3B,C. ELLIS,,-,-,31,10,2.5 Stars,2.5 Stars,N,N,H,4,5,6,6,6,4,5,4,6,6,6,4,8,7,8,4,1,27,22,86,75,15,7,5,0,3,9,6,9,10.5,0,2,0,0,0,24,27.9,2,.200,.302,.387,84,.250,88,0.2,4.01,0,0,-1.2,-0.3,-0.3,0.3,1.043
34372,SS,T. FIGUEROA,,CHN,MLB,25,6,3.0 Stars,3.0 Stars,N,N,H,8,8,8,3,5,8,8,9,8,3,5,8,7,7,7,8,9,150,146,671,624,191,127,49,11,4,76,101,40,6.0,0,5,0,2,0,78,11.6,11,.306,.352,.439,113,.344,115,4.5,3.59,44,10,12.6,2.7,6.2,-2.2,.970
36007,SS,H. FOX,,MIN,MLB,31,13,2.0 Stars,2.0 Stars,H,N,H,4,4,5,4,5,5,4,4,5,4,5,5,7,7,7,6,4,8,1,11,9,1,1,0,0,0,1,0,2,18.2,0,0,1,0,0,4,36.4,0,.111,.273,.111,10,.200,22,-0.0,4.91,0,0,-1.0,0.0,0.0,0.2,1.014
29829,SS,J. GUZMÁN,,SFN,MLB,30,14,2.5 Stars,2.5 Stars,H,N,N,5,5,8,6,6,4,5,5,8,6,6,4,7,7,7,4,4,143,139,571,521,110,63,21,4,22,66,55,42,7.4,0,4,0,4,0,142,24.9,12,.211,.273,.393,79,.244,78,1.4,3.74,0,2,-15.2,-1.1,-3.3,7.1,1.035
31473,SS,A. HARRIS,,NYN,MLB,26,9,2.0 Stars,2.0 Stars,N,H,N,5,5,4,4,3,5,5,5,4,4,5,5,7,7,7,4,5,96,75,292,281,73,59,8,2,4,27,36,7,2.4,0,3,2,1,0,45,15.4,9,.260,.284,.345,79,.296,74,-0.2,3.23,3,2,-9.2,-2.8,-3.8,-1.7,.980
27504,SS,M. KELLY,,PHI,MLB,23,8,2.5 Stars,2.5 Stars,H,H,N,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,5,8,13,2,15,12,3,2,1,0,0,1,3,3,20.0,0,0,0,0,0,2,13.3,0,.250,.400,.333,103,.300,113,0.2,3.47,0,0,0.2,0.0,0.0,0.2,1.005
36943,SS,M. MACPHERSON,,-,-,28,8,2.0 Stars,2.0 Stars,L,N,N,4,5,6,4,6,3,5,4,6,4,7,4,7,7,7,7,9,3,,2,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,50.0,0,.000,.000,.000,-100,.000,-119,-0.1,4.50,0,0,-0.5,0.0,0.0,-0.3,1.017
34606,2B,M. MARTÍNEZ,,-,-,27,8,2.5 Stars,2.5 Stars,H,N,N,6,7,5,5,3,5,7,6,5,5,5,5,10,7,10,5,5,8,2,11,10,1,1,0,0,0,0,1,1,9.1,0,0,0,0,0,2,18.2,0,.100,.182,.100,-22,.125,-23,-0.1,3.09,0,0,-1.6,-0.0,-0.0,0.1,.975
32134,SS,D. MASSEY,,MIA,MLB,28,10,2.5 Stars,2.5 Stars,H,H,N,5,5,7,6,5,5,6,6,7,6,5,5,7,7,7,4,4,104,96,383,357,95,61,15,1,18,49,42,18,4.7,0,2,0,6,0,69,18.0,6,.266,.300,.465,100,.279,101,1.4,3.50,5,0,0.7,-1.0,-0.7,-2.7,.960
38763,SS,A. MAUPIN,,MIL,MLB,26,3,3.0 Stars,3.0 Stars,N,N,H,7,6,5,6,5,7,7,7,5,6,5,7,7,7,7,6,8,151,145,632,583,166,114,35,1,16,95,78,38,6.0,0,7,0,4,0,107,16.9,11,.285,.334,.431,108,.323,109,4.1,3.53,4,2,6.9,-1.5,-3.3,10.7,1.054
32063,SS,J. MOORE,,CHA,MLB,24,8,3.5 Stars,4.0 Stars,N,H,N,6,9,8,7,5,4,9,6,8,8,5,4,7,7,7,4,7,123,108,483,443,128,65,38,2,23,70,64,36,7.5,2,4,0,0,0,150,31.1,5,.289,.348,.540,137,.389,137,3.8,3.92,3,1,21.9,-0.6,-1.5,-3.6,1.005
34728,2B,S. REYES,,-,-,30,14,2.0 Stars,2.0 Stars,N,H,N,3,3,5,7,6,3,3,3,5,7,6,3,9,7,9,2,1,149,149,536,480,87,50,15,2,20,60,47,48,9.0,0,4,1,4,0,149,27.8,9,.181,.259,.346,68,.213,65,0.4,3.94,1,0,-22.3,-3.9,-4.8,10.7,1.056
37391,SS,C. RIVERA,,TEX,MLB,29,11,2.0 Stars,2.0 Stars,N,H,H,4,5,5,4,5,4,5,5,5,4,6,4,7,7,7,8,9,76,59,246,228,62,40,14,2,6,29,36,17,6.9,0,1,0,0,0,69,28.0,4,.272,.325,.430,103,.366,104,1.5,3.81,9,3,1.5,-1.0,-1.0,4.8,1.050
35786,3B,R. RUSSELL,,COL,MLB,29,10,2.5 Stars,2.5 Stars,L,L,N,5,8,6,5,5,4,8,6,6,5,5,4,8,7,8,4,2,152,145,616,562,153,95,37,3,18,72,70,50,8.1,1,2,0,2,0,179,29.1,17,.272,.333,.445,104,.368,108,3.1,3.91,3,1,6.1,-3.1,-4.5,7.5,1.036
39033,SS,B. SANDERS,,CIN,MLB,27,8,2.0 Stars,2.0 Stars,N,N,N,5,5,6,3,5,5,5,5,6,3,5,5,7,7,7,8,7,49,43,173,157,38,29,7,1,1,10,18,13,7.5,1,1,0,2,0,44,25.4,1,.242,.301,.318,69,.325,66,0.6,3.60,4,0,-7.0,0.1,0.6,4.5,1.036
39602,SS,S. SLOAN,,TEX,MLB,28,6,2.5 Stars,2.5 Stars,H,H,L,5,5,6,5,6,5,5,5,6,6,7,5,7,7,7,3,4,147,144,571,511,122,76,27,2,17,69,76,53,9.3,4,3,0,4,0,108,18.9,9,.239,.312,.399,91,.269,89,2.0,3.75,0,0,-7.0,-1.8,-1.8,3.5,1.035
29288,3B,F. TORRES,,NYA,AAA,25,10,2.5 Stars,2.5 Stars,N,H,H,4,4,5,6,9,5,4,4,5,6,9,5,6,7,7,6,9,40,23,107,91,18,13,3,0,2,9,14,14,13.1,0,0,0,2,0,20,18.7,2,.198,.299,.297,64,.225,66,-0.1,4.11,0,1,-4.3,-0.1,-0.9,0.3,.997
40847,SS,I. VAN DER LEE,,SEA,MLB,24,6,2.0 Stars,5.0 Stars,H,N,H,5,8,6,2,7,4,10,9,8,2,8,6,7,7,7,7,7,67,67,239,213,48,25,18,3,2,32,28,22,9.2,0,2,1,2,0,57,23.8,4,.225,.301,.366,86,.295,84,1.2,3.96,7,1,-4.5,1.2,1.8,3.7,1.029
39398,SS,J. WILLIAMS,,TOR,MLB,28,6,2.5 Stars,2.5 Stars,N,N,H,5,5,5,5,5,5,5,5,5,5,7,5,7,7,7,5,6,152,146,560,503,108,67,17,4,20,73,50,47,8.4,2,5,1,5,0,136,24.3,7,.215,.286,.384,77,.250,77,2.4,3.67,6,3,-15.5,1.6,0.2,14.0,1.055
30696,2B,K. BORLASE,,CHA,MLB,29,10,2.0 Stars,2.0 Stars,H,H,N,5,5,5,4,6,4,6,5,5,4,7,4,7,6,7,5,7,50,16,98,89,17,15,1,0,1,4,7,9,9.2,0,0,0,0,0,34,34.7,2,.191,.265,.236,39,.296,40,-0.9,3.99,4,0,-7.1,0.0,0.7,-6.3,.817
38582,SS,T. BRYANT,,BOS,MLB,38,20,2.0 Stars,2.0 Stars,N,N,N,4,4,5,5,5,4,4,4,5,5,5,4,6,6,6,9,9,145,140,585,508,109,79,17,1,12,48,67,65,11.1,0,3,8,9,0,162,27.7,4,.215,.303,.323,69,.283,71,2.4,3.85,29,6,-20.0,2.5,4.8,15.5,1.082
35144,SS,C. FULLER,,LAA,MLB,26,3,2.5 Stars,2.5 Stars,N,H,N,6,6,5,6,4,6,6,6,5,6,4,6,6,6,6,1,1,130,124,508,477,140,91,22,1,26,81,57,23,4.5,0,4,0,4,0,88,17.3,15,.294,.329,.507,126,.311,125,3.0,3.39,0,0,15.9,-5.4,-5.4,-1.4,.999
32980,2B,J. GALINDO,,-,-,31,9,2.5 Stars,2.5 Stars,N,N,N,5,5,8,6,5,4,5,5,8,6,5,4,8,6,8,6,5,96,91,367,339,71,37,19,2,13,49,48,25,6.8,0,1,0,2,0,108,29.4,14,.209,.264,.392,85,.264,79,0.6,3.78,15,4,-9.3,-2.5,-1.7,3.5,1.003
38059,2B,J. GONZÁLEZ,,-,-,29,10,2.5 Stars,2.5 Stars,N,N,N,6,5,5,4,4,7,5,6,6,4,5,7,8,6,8,6,6,113,70,299,277,80,60,12,2,6,27,29,14,4.7,1,5,1,3,0,36,12.0,4,.289,.331,.412,98,.311,98,1.1,3.28,7,1,-0.4,-0.0,0.3,-0.1,.988
40851,SS,J. GONZÁLEZ,,BOS,AAA,27,10,2.0 Stars,2.0 Stars,N,N,N,5,5,5,4,3,5,5,5,5,4,3,5,6,6,6,2,2,40,39,151,142,32,24,5,1,2,10,14,6,4.0,0,1,3,2,0,20,13.2,5,.225,.258,.317,54,.246,51,-1.1,3.29,0,1,-8.9,-2.9,-3.8,-5.2,.903
29547,2B,J. HERNÁNDEZ,,COL,MLB,27,11,2.0 Stars,2.0 Stars,N,N,N,6,6,6,4,2,7,6,7,7,4,3,7,8,6,8,8,10,151,147,666,653,183,132,30,6,15,72,88,6,0.9,0,3,5,4,0,106,15.9,5,.280,.288,.413,83,.313,84,2.5,3.17,42,9,-12.9,0.1,4.0,9.1,1.029
37304,SS,Á. HERNÁNDEZ,,SLN,MLB,29,6,2.5 Stars,2.5 Stars,H,N,N,5,7,6,6,6,4,7,5,6,6,7,4,6,6,6,1,1,60,53,213,187,50,30,6,1,13,35,23,22,10.3,0,3,1,1,0,65,30.5,4,.267,.352,.519,127,.336,133,1.2,3.93,0,1,8.6,1.2,0.1,-6.2,.922
39417,SS,R. HODGES,,OAK,MLB,28,9,3.0 Stars,3.0 Stars,N,H,N,6,7,5,7,5,5,7,6,5,7,6,5,6,6,6,1,1,127,114,477,431,127,79,26,2,20,69,60,35,7.3,2,5,0,6,0,89,18.7,17,.295,.350,.503,133,.326,129,2.1,3.65,0,0,17.3,-5.3,-5.3,-11.0,.920
28418,3B,O. JACOBS,,CAR,MLB,24,9,2.5 Stars,2.5 Stars,N,H,H,7,6,7,6,3,7,6,7,7,6,3,7,7,6,7,8,7,146,143,588,559,144,80,35,9,20,72,72,16,2.7,2,8,1,5,0,101,17.2,20,.258,.286,.460,99,.280,95,2.5,3.25,25,4,-3.0,1.1,3.9,2.8,1.013
31370,SS,C. JIMÉNEZ,,WAS,MLB,30,9,3.5 Stars,3.5 Stars,N,N,H,9,8,8,3,6,9,8,9,8,3,6,9,6,6,6,8,7,118,114,504,444,142,99,35,6,2,52,73,50,9.9,6,9,1,1,0,38,7.5,14,.320,.399,.439,121,.346,124,3.0,3.54,18,3,15.3,-0.3,0.7,-7.5,.954
34180,SS,K. JONES,,NYN,MLB,27,6,2.0 Stars,2.0 Stars,N,N,L,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,1,1,33,22,82,71,13,11,1,0,1,7,9,9,11.0,0,1,2,1,0,17,20.7,2,.183,.280,.239,51,.222,52,0.1,3.83,0,0,-4.7,-0.1,-0.1,2.3,1.087
34386,3B,T. LAIRD,,MON,MLB,28,9,2.5 Stars,2.5 Stars,H,H,N,5,8,5,5,5,3,8,5,6,6,6,4,8,6,8,5,7,151,147,594,546,130,78,32,5,15,65,62,38,6.4,0,7,1,3,0,187,31.5,9,.238,.295,.397,87,.331,86,0.7,3.87,2,1,-9.4,1.0,-0.4,-5.3,.961
37967,SS,S. LIU,,CLE,MLB,25,6,2.5 Stars,2.5 Stars,N,H,N,5,6,5,5,5,5,6,5,5,5,5,5,6,6,6,5,7,97,62,290,256,68,55,7,2,4,30,38,25,8.6,1,4,0,5,0,68,23.4,9,.266,.334,.355,90,.339,89,0.7,3.70,5,1,-3.6,1.2,0.9,-1.1,.974
41365,3B,J. LOIZU,,CHN,MLB,26,9,2.5 Stars,2.5 Stars,H,H,N,6,6,6,3,7,6,6,6,7,4,8,6,6,6,7,3,2,66,57,224,195,50,28,17,1,4,21,25,24,10.7,0,2,0,3,0,37,16.5,9,.256,.339,.415,103,.293,105,0.7,3.79,1,3,1.6,0.2,-1.6,-1.3,1.012
41256,SS,B. LÓPEZ,,-,-,31,15,2.0 Stars,2.0 Stars,L,N,N,4,4,8,6,6,4,4,4,8,6,6,4,6,6,6,2,1,144,143,587,527,113,71,23,3,16,52,45,50,8.5,0,6,0,4,0,153,26.1,19,.214,.288,.361,76,.268,76,-1.3,3.96,0,0,-16.7,-3.1,-3.1,-19.0,.910
41464,3B,S. LÓPEZ,,MIA,MLB,28,10,1.5 Stars,2.0 Stars,L,N,L,5,6,7,4,4,3,6,5,7,4,7,5,8,6,8,5,5,116,86,320,304,65,42,18,3,2,28,26,11,3.4,0,2,7,3,0,101,31.6,2,.214,.244,.312,48,.309,45,-1.2,3.78,4,1,-21.4,-0.2,-0.4,-3.6,.973
29682,SS,T. MARI,,SFN,MLB,25,10,2.0 Stars,2.0 Stars,N,H,L,6,6,5,2,7,6,6,6,5,2,7,6,6,6,7,6,6,5,2,6,5,2,2,0,0,0,1,1,1,16.7,0,0,0,0,0,1,16.7,0,.400,.500,.400,151,.500,162,0.0,4.00,0,0,0.5,-0.4,-0.4,-0.1,1.005
33316,2B,N. MARTIN,,-,-,32,9,2.5 Stars,2.5 Stars,N,N,N,5,7,7,5,5,3,7,5,7,5,5,3,8,6,8,9,9,115,96,400,346,79,54,20,1,4,34,63,50,12.5,0,1,4,3,0,105,26.2,6,.228,.325,.327,78,.312,82,1.8,3.94,29,4,-8.6,3.3,7.0,4.8,1.062
33188,2B,F. MEDINA,,BAL,MLB,24,8,4.5 Stars,4.5 Stars,H,H,H,7,10,5,8,5,5,10,7,5,8,5,5,8,6,8,1,1,153,144,628,566,167,107,27,0,33,98,95,54,8.6,2,6,0,2,0,162,25.8,4,.295,.361,.518,133,.359,136,6.2,3.90,2,0,27.8,0.2,-1.2,11.8,1.071
28960,3B,R. MOELROY,,CHA,MLB,29,13,2.5 Stars,2.5 Stars,L,L,N,4,4,5,5,9,4,4,4,5,6,9,4,9,6,9,3,2,23,18,73,66,10,7,2,0,1,3,8,7,9.6,0,0,0,0,0,23,31.5,2,.152,.233,.227,27,.214,27,-0.4,3.92,0,0,-6.5,0.4,0.4,-0.8,.965
38112,2B,H. NORIEGA,,LAA,MLB,26,10,1.5 Stars,2.0 Stars,N,H,H,4,5,6,4,5,5,5,5,6,4,5,5,7,6,8,7,9,15,10,37,35,7,5,1,0,1,1,6,2,5.4,0,0,2,0,0,11,29.7,1,.200,.243,.314,53,.261,50,-0.2,3.95,4,2,-2.2,-0.4,-0.5,-0.3,.998
40839,2B,Á. PÉREZ,,LAN,MLB,34,9,2.5 Stars,2.5 Stars,H,H,N,6,5,7,5,6,6,5,6,7,5,6,6,8,6,8,9,9,124,121,582,519,132,88,32,4,8,45,91,53,9.1,0,6,1,4,0,83,14.3,7,.254,.328,.378,94,.287,95,3.6,3.69,77,18,-3.1,3.2,10.8,6.9,1.070
32574,2B,D. REESE,,CAR,MLB,27,9,2.5 Stars,2.5 Stars,N,N,N,6,7,6,5,5,5,8,6,6,5,7,5,7,6,7,3,2,100,87,343,317,81,54,16,0,11,42,41,22,6.4,1,2,1,2,0,82,23.9,7,.256,.306,.410,94,.310,92,0.8,3.86,0,0,-3.0,-1.2,-1.2,-0.3,.996
34459,SS,A. RHODES,,KCA,MLB,25,3,2.0 Stars,2.5 Stars,H,N,L,5,5,6,6,3,5,5,6,6,6,5,6,6,6,6,7,8,143,141,566,543,121,85,14,8,14,51,59,16,2.8,0,3,0,4,0,122,21.6,6,.223,.247,.355,62,.260,58,-0.3,3.37,12,1,-28.6,-1.2,-0.0,5.2,1.031
38344,SS,M. RIVAS,,SFN,MLB,25,7,2.5 Stars,2.5 Stars,N,N,N,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,7,10,101,96,401,366,109,75,23,4,7,56,45,30,7.5,1,1,4,4,0,66,16.5,7,.298,.349,.440,113,.343,113,0.9,3.74,16,5,6.7,0.6,0.7,-9.3,.907
34910,2B,C. RODGERS,,ATL,MLB,27,6,2.0 Stars,2.0 Stars,N,H,N,5,5,6,5,5,5,5,5,6,5,6,5,7,6,7,7,7,41,22,97,90,19,15,3,0,1,6,12,5,5.2,0,1,1,1,0,24,24.7,5,.211,.258,.278,47,.273,45,-0.3,3.70,6,1,-6.4,0.8,1.5,-2.3,.938
39270,2B,M. ROSE,,MIL,MLB,27,6,2.0 Stars,2.5 Stars,N,N,N,5,5,5,6,4,7,5,6,5,6,4,7,8,6,8,4,4,79,49,228,217,50,36,8,1,5,23,22,10,4.4,0,0,0,1,0,39,17.1,2,.230,.263,.346,65,.259,63,-0.4,3.50,0,0,-10.2,1.3,1.3,-3.8,.962
37767,2B,J. SIMPSON,,BOS,MLB,35,17,2.5 Stars,2.5 Stars,N,N,N,9,7,6,2,4,9,7,9,6,2,4,9,8,6,8,8,10,22,21,107,95,27,23,3,1,0,10,11,6,5.6,2,3,0,3,0,11,10.3,1,.284,.336,.337,82,.310,75,0.2,3.03,5,1,-3.2,0.7,1.1,1.8,1.130
32168,SS,Q. TAN,,PHI,MLB,25,8,2.5 Stars,3.0 Stars,N,N,N,5,7,6,4,6,4,7,7,6,6,9,5,6,6,6,2,1,153,148,600,536,151,110,30,1,10,53,73,56,9.3,0,6,0,2,1,140,23.3,13,.282,.355,.397,103,.363,108,3.1,3.88,0,0,6.0,-0.8,-0.8,-0.7,.976
