ID,POS,RL,Name,Mor,ORG,Lev,Age,EXP,OVR,POT,WE,INT,Type,STU,MOV,CON,PBABIP,HRR,STU P,MOV P,CON P,PBABIP P,HRR P,VELO,G,GS,W,L,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,ERA,BABIP,WHIP,K/9,BB/9,HR/9,K/BB,K%-BB%,SH,SF,WP,BK,CI,DP,IR,IRS,PI,GB,FB,SB,CS,ERA+,FIP,FIP-,WAR
35128,SP,SP,GERARDO PIÑEIRO,,PIT,MLB,29,9,3.5 Stars,3.5 Stars,N,N,Normal,6,6,5,6,7,6,6,5,6,7,91-93,36,35,15,15,228.2,948,867,205,135,41,2,27,112,104,64,1,205,8,4.09,.277,1.18,8.1,2.5,1.1,3.2,14.9,2,7,5,0,0,17,2,0,3430,213,243,12,4,107,4.05,92,4.0
35615,SP,SP,HENRY SUMMERS,,WAS,MLB,31,9,3.5 Stars,3.5 Stars,H,N,Normal,5,6,8,6,5,5,6,8,6,5,91-93,32,32,12,9,200.2,815,770,193,115,45,2,31,103,98,33,0,194,6,4.40,.295,1.13,8.7,1.5,1.4,5.9,19.8,1,5,2,1,0,13,0,0,2944,162,223,22,8,104,4.03,88,3.9
27688,SP,SP,CLIFFORD ÁGUILA,,TBA,MLB,24,9,4.0 Stars,4.5 Stars,L,N,Normal,6,7,5,6,8,6,7,6,6,8,95-97,33,33,14,6,187.1,809,734,187,131,36,3,17,92,85,66,0,178,1,4.08,.312,1.35,8.6,3.2,0.8,2.7,13.8,2,6,9,0,0,10,0,0,3011,189,178,31,2,106,3.73,85,3.9
30498,SP,SP,GREGG MACINTYRE,,CAR,MLB,26,11,3.0 Stars,3.0 Stars,H,N,Normal,7,6,5,6,6,7,6,5,6,6,93-95,33,33,11,11,180.2,776,702,179,122,33,3,21,92,81,67,4,203,3,4.04,.329,1.36,10.1,3.3,1.0,3.0,17.5,2,2,9,0,0,16,0,0,3008,153,163,21,4,109,3.73,84,3.9
36470,SP,SP,FREDERIK LAMBERT,,DET,MLB,35,19,4.0 Stars,4.0 Stars,N,N,Normal,5,7,7,6,7,5,7,7,6,7,94-96,33,33,10,13,197.0,821,755,194,124,40,7,23,108,104,49,0,172,9,4.75,.303,1.23,7.9,2.2,1.1,3.5,15.0,3,5,2,1,0,18,0,0,3022,199,190,11,4,96,4.03,88,3.8
37311,SP,SP,DAN GALLAGHE,,WAS,MLB,37,19,3.5 Stars,3.5 Stars,H,N,Fan Fav,6,6,6,6,5,6,6,6,6,5,94-96,33,33,13,8,189.0,790,716,165,103,32,4,26,93,82,56,0,208,9,3.90,.286,1.17,9.9,2.7,1.2,3.7,19.2,5,4,8,2,0,10,0,0,3035,177,167,15,2,117,3.99,87,3.8
31238,SP,SP,MATT CONL,,TOR,MLB,31,16,4.0 Stars,4.0 Stars,N,N,Normal,5,7,7,6,7,5,7,7,6,7,93-95,32,32,13,9,191.2,820,751,196,135,39,2,20,96,91,50,0,162,9,4.27,.306,1.28,7.6,2.3,0.9,3.2,13.7,3,6,8,3,1,15,0,0,3016,225,168,20,4,105,3.96,88,3.8
33401,SP,SP,TANNER REED,,SDN,MLB,26,6,4.0 Stars,4.5 Stars,H,N,Normal,6,7,5,7,8,7,8,6,7,8,91-93,32,32,11,14,186.1,774,689,163,119,29,1,14,91,81,67,0,164,5,3.91,.285,1.23,7.9,3.2,0.7,2.4,12.5,2,11,3,1,0,19,0,0,2934,180,189,15,5,110,3.75,86,3.8
31060,SP,SP,ANDRÉS JARAMILLO,,COL,MLB,32,16,2.5 Stars,2.5 Stars,N,N,Selfish,5,5,7,6,5,5,5,7,6,5,94-96,32,28,6,10,181.0,739,689,168,104,38,3,23,81,72,37,0,172,8,3.58,.292,1.13,8.6,1.8,1.1,4.6,18.3,3,2,6,0,0,13,3,0,2763,176,168,27,3,127,3.87,85,3.8
40150,SP,SP,JÚLIO ELÍAS,,CHA,MLB,24,7,4.0 Stars,5.0 Stars,L,L,Unmotivated,5,7,7,7,8,7,8,7,7,8,91-93,32,32,13,10,190.2,787,719,169,110,38,3,18,80,76,51,0,156,9,3.59,.274,1.15,7.4,2.4,0.8,3.1,13.3,2,6,5,0,0,10,0,0,2791,152,246,11,4,123,3.91,88,3.7
38793,SP,SP,ALEJANDRO GONZÁLEZ,,ATL,MLB,28,6,2.5 Stars,2.5 Stars,H,N,Fan Fav,6,6,5,6,6,6,6,5,6,6,92-94,33,33,12,10,194.1,805,726,152,96,33,4,19,73,69,65,1,176,8,3.20,.250,1.12,8.2,3.0,0.9,2.7,13.8,4,2,8,1,0,7,0,0,3040,185,212,24,3,138,3.94,89,3.7
32492,SP,SP,BOBBY BALL,,LAN,MLB,33,17,3.0 Stars,3.0 Stars,N,N,Normal,5,6,8,6,6,5,6,8,6,6,93-95,35,35,14,6,197.2,822,758,190,126,38,4,22,85,83,42,0,172,17,3.78,.296,1.17,7.8,1.9,1.0,4.1,15.8,2,3,3,2,0,16,0,0,2989,191,202,13,6,116,3.98,90,3.6
31053,SP,SP,RON WHITE,,NYA,MLB,30,12,4.5 Stars,4.5 Stars,N,N,Normal,5,7,8,7,8,5,7,8,7,8,97-99,32,32,13,11,206.1,858,778,182,125,32,2,23,94,88,61,0,182,10,3.84,.275,1.18,7.9,2.7,1.0,3.0,14.1,3,5,4,2,1,9,0,0,3219,209,207,43,5,115,4.09,92,3.6
38142,SP,SP,KOSAKU ONO,,SDN,MLB,36,20,2.5 Stars,2.5 Stars,H,N,Humble,4,5,7,5,6,4,5,7,5,6,91-93,33,33,4,21,180.2,791,723,205,142,45,3,15,113,100,45,0,144,12,4.98,.332,1.38,7.2,2.2,0.7,3.2,12.5,2,9,11,1,0,21,0,0,2864,183,188,15,4,86,3.81,88,3.5
35598,SP,SP,JOHN WATSON,,-,-,34,13,2.5 Stars,2.5 Stars,N,N,Normal,5,6,5,6,7,5,6,5,6,7,94-96,33,33,12,12,198.2,859,775,192,129,41,4,18,104,98,70,1,169,9,4.44,.294,1.32,7.7,3.2,0.8,2.4,11.5,1,4,8,2,0,15,0,0,3134,222,185,28,4,99,4.03,91,3.5
32875,SP,SP,JORGE TRESPALÁCIOS,,WAS,MLB,34,13,3.5 Stars,3.5 Stars,N,L,Normal,6,6,6,6,6,6,6,6,6,6,95-97,32,32,14,9,182.1,776,699,182,115,42,3,22,93,84,62,0,182,6,4.15,.319,1.34,9.0,3.1,1.1,2.9,15.5,2,7,12,2,0,15,0,0,2976,175,162,19,6,110,4.06,88,3.5
31328,SP,SP,ROBBY DIX,,BOS,MLB,32,13,4.0 Stars,4.0 Stars,N,N,Captain,8,6,5,7,6,8,6,5,7,6,95-97,33,33,13,8,178.2,746,681,157,93,38,4,22,74,71,55,0,179,4,3.58,.280,1.19,9.0,2.8,1.1,3.3,16.6,3,3,7,1,0,7,0,0,2816,171,174,21,4,125,3.96,88,3.5
35701,SP,SP,CRIS PADILLA,,LAA,MLB,25,3,2.5 Stars,3.0 Stars,H,N,Normal,6,6,5,6,5,8,6,5,6,6,97-99,32,32,12,7,190.1,795,717,159,112,26,0,21,84,74,67,0,187,4,3.50,.267,1.19,8.8,3.2,1.0,2.8,15.1,0,7,10,0,0,10,0,0,3023,176,193,31,2,125,3.96,90,3.5
36610,SP,SP,JOSÉ GÓMEZ,,HOU,MLB,24,3,3.5 Stars,4.0 Stars,N,N,Normal,8,6,6,6,5,9,6,6,6,6,92-94,33,33,12,9,200.1,844,774,201,138,35,1,27,101,96,58,1,202,7,4.31,.316,1.29,9.1,2.6,1.2,3.5,17.1,0,5,6,0,0,24,0,0,3112,189,182,24,2,102,4.07,92,3.4
41579,SP,SP,ALAN MOORE,,SLN,MLB,32,10,3.5 Stars,3.5 Stars,N,L,Normal,5,7,8,6,7,5,7,8,6,7,91-93,36,36,8,15,192.1,823,768,216,152,39,4,21,106,98,45,0,152,4,4.59,.325,1.36,7.1,2.1,1.0,3.4,13.0,1,5,5,1,0,13,0,0,3029,213,188,24,4,95,3.98,91,3.4
33290,SP,SP,TODD LÓPEZ,,LAA,MLB,27,7,3.0 Stars,3.0 Stars,N,N,Normal,5,7,5,6,7,6,7,5,6,8,92-94,30,30,11,4,173.2,725,664,170,124,29,2,15,74,72,52,0,138,2,3.73,.301,1.28,7.2,2.7,0.8,2.7,11.9,3,4,4,2,0,16,0,0,2616,188,167,15,10,117,3.84,87,3.4
33658,SP,SP,MARCOS CASTILLO,,BOS,MLB,26,6,2.5 Stars,2.5 Stars,N,N,Normal,5,6,4,6,7,5,6,4,6,7,88-90,32,32,8,10,180.2,778,696,168,111,41,2,14,91,82,67,5,135,7,4.08,.278,1.30,6.7,3.3,0.7,2.0,8.7,2,6,6,2,0,17,0,0,2792,183,206,12,3,110,4.03,89,3.4
29729,SP,SP,ALAN MORAINE,,CAR,MLB,29,13,2.5 Stars,2.5 Stars,N,N,Fan Fav,6,6,6,6,5,7,6,6,6,5,92-94,32,32,13,10,179.1,742,670,157,109,26,2,20,78,70,58,0,175,7,3.51,.288,1.20,8.8,2.9,1.0,3.0,15.8,6,1,5,2,0,16,0,0,2844,145,193,30,4,125,3.96,89,3.4
28456,SP,SP,GEORGE MITCHELL,,KCA,MLB,27,12,2.5 Stars,2.5 Stars,L,H,Selfish,5,5,5,5,5,5,5,5,5,5,92-94,33,33,9,14,199.2,859,777,206,146,38,3,19,99,96,60,0,153,10,4.33,.306,1.33,6.9,2.7,0.9,2.5,10.8,6,6,5,1,0,12,0,0,3152,212,212,9,4,102,4.13,93,3.3
41661,SP,SP,ICHIZO INE,,MIL,MLB,35,19,4.0 Stars,4.0 Stars,N,N,Normal,6,6,7,6,6,6,6,7,6,6,93-95,36,36,18,8,226.0,920,838,186,117,39,3,27,93,85,55,0,184,19,3.38,.252,1.07,7.3,2.2,1.1,3.3,14.0,5,3,3,0,0,24,0,0,3508,235,228,19,5,130,4.28,97,3.3
33499,SP,SP,SANTIAGO RODRÍGUEZ,,MON,MLB,28,11,2.5 Stars,2.5 Stars,L,N,Normal,5,5,7,6,5,5,5,7,6,5,88-90,33,33,11,12,167.1,711,641,162,112,34,2,14,80,74,53,0,141,9,3.98,.301,1.28,7.6,2.9,0.8,2.7,12.4,2,6,5,0,0,16,0,0,2575,157,182,8,1,111,3.89,88,3.3
36255,SP,SP,ED BEARD,,BOS,MLB,24,4,4.0 Stars,4.0 Stars,H,H,Captain,6,7,7,7,7,6,7,7,7,7,95-97,32,32,7,12,184.0,767,707,178,116,38,1,23,97,93,52,0,164,3,4.55,.295,1.25,8.0,2.5,1.1,3.2,14.6,0,5,3,1,0,14,0,0,2788,178,185,18,4,99,4.11,91,3.3
30006,SP,SP,LANG YANG,,OAK,MLB,26,10,2.5 Stars,3.0 Stars,N,H,Normal,8,5,5,7,5,8,6,5,7,5,92-94,23,23,3,6,100.2,422,390,100,67,24,3,6,43,41,28,0,108,1,3.67,.338,1.27,9.7,2.5,0.5,3.9,19.0,1,2,0,1,0,8,0,0,1582,81,101,17,2,119,2.87,65,3.2
33121,SP,SP,ROY BAILEY,,CIN,MLB,33,11,4.0 Stars,4.0 Stars,H,N,Captain,6,7,6,7,8,6,7,6,7,8,94-96,33,29,11,10,191.0,810,742,202,122,46,9,25,98,93,55,0,182,4,4.38,.327,1.35,8.6,2.6,1.2,3.3,15.7,3,6,4,1,0,16,0,0,3030,178,185,14,4,101,4.10,92,3.2
38967,SP,SP,LESTER GRAY,,MIN,MLB,25,4,5.0 Stars,5.0 Stars,N,N,Normal,8,7,7,7,7,9,7,7,7,7,93-95,23,23,8,4,121.2,504,467,104,68,24,2,10,43,42,33,0,120,4,3.11,.279,1.13,8.9,2.4,0.7,3.6,17.3,0,0,5,1,0,6,0,0,1887,116,123,12,0,144,3.38,75,3.2
37230,SP,SP,MICHAEL MINOR,,PIT,MLB,36,13,2.5 Stars,2.5 Stars,H,N,Normal,5,5,7,5,5,5,5,7,5,5,92-94,34,34,8,11,173.2,745,676,176,123,33,1,19,94,87,58,1,157,2,4.51,.311,1.35,8.1,3.0,1.0,2.7,13.3,3,5,8,0,1,10,0,0,2784,157,186,5,5,97,4.01,91,3.1
37786,SP,SP,ARTURO GUERRERO,,TEX,MLB,36,19,3.5 Stars,3.5 Stars,N,N,Normal,5,6,6,6,6,5,6,6,6,6,92-94,33,33,15,8,193.1,798,725,160,100,31,6,23,82,73,52,0,171,18,3.40,.257,1.10,8.0,2.4,1.1,3.3,14.9,1,2,6,1,0,13,0,0,3016,167,217,21,7,131,4.24,95,3.0
35627,SP,SP,MARK CRAMER,,OAK,MLB,25,6,4.0 Stars,4.5 Stars,H,N,Normal,7,6,7,6,7,8,7,7,6,7,93-95,33,33,15,11,187.0,810,732,189,130,34,2,23,96,84,66,0,185,6,4.04,.314,1.36,8.9,3.2,1.1,2.8,14.7,2,4,5,0,0,17,0,0,3048,156,198,16,4,108,4.15,95,3.0
37263,SP,SP,FERNANDO NÚÑEZ,,PHI,MLB,28,9,2.5 Stars,3.0 Stars,H,N,Normal,5,6,7,6,7,5,6,7,6,7,93-95,33,33,9,12,189.0,813,742,191,122,44,3,22,90,87,57,0,153,8,4.14,.296,1.31,7.3,2.7,1.0,2.7,11.8,2,4,6,1,0,9,0,0,3059,196,201,14,4,108,4.30,96,2.9
33338,SP,SP,DOUG THOMAS,,NYA,MLB,28,8,3.5 Stars,3.5 Stars,N,N,Normal,5,7,5,6,7,6,7,5,6,8,91-93,31,31,9,15,177.1,747,680,164,93,44,3,24,98,91,56,0,171,2,4.62,.286,1.24,8.7,2.8,1.2,3.1,15.4,3,5,3,0,1,11,0,0,2760,164,181,23,2,96,4.19,94,2.9
34159,SP,SP,DAVE FRANK,,SFN,MLB,23,3,3.5 Stars,3.5 Stars,N,L,Normal,9,6,4,6,7,10,6,4,6,7,91-93,21,4,5,7,119.0,502,435,94,65,20,2,7,54,53,60,1,145,1,4.01,.304,1.29,11.0,4.5,0.5,2.4,16.9,3,3,2,1,0,11,16,4,1955,103,95,4,2,110,3.21,72,2.9
34158,SP,SP,AUGUSTO VILLALOBOS,,SLN,MLB,29,10,2.5 Stars,3.0 Stars,H,N,Fan Fav,5,5,9,6,5,6,5,9,6,5,95-97,30,29,14,8,163.1,680,637,168,124,21,3,20,81,76,34,0,133,3,4.19,.303,1.24,7.3,1.9,1.1,3.9,14.6,2,4,2,3,0,12,0,0,2525,148,190,14,5,104,4.02,92,2.8
33453,SP,SP,NORIYUKI INE,,SFN,MLB,34,18,2.5 Stars,2.5 Stars,N,N,Normal,6,5,7,6,5,6,5,7,6,5,94-96,30,28,9,9,149.2,651,589,160,105,36,4,15,86,77,43,0,132,10,4.63,.324,1.36,7.9,2.6,0.9,3.1,13.7,3,6,5,2,0,14,1,0,2470,146,149,30,6,96,3.97,89,2.8
36385,SP,SP,LOUIE CULL,,NYN,MLB,24,3,2.5 Stars,2.5 Stars,H,N,Normal,5,6,5,6,6,6,6,5,6,6,90-92,29,29,11,10,174.2,731,630,142,100,26,3,13,81,79,79,0,158,8,4.07,.277,1.27,8.1,4.1,0.7,2.0,10.8,7,7,5,0,0,13,0,0,2767,170,171,5,4,104,4.03,95,2.8
29100,SP,SP,PAUL MCGINNITY,,PHI,MLB,26,6,2.5 Stars,3.5 Stars,L,L,Normal,5,6,6,6,6,7,7,6,6,7,91-93,33,33,11,11,198.2,854,789,217,144,41,3,29,107,105,56,0,171,2,4.76,.316,1.37,7.7,2.5,1.3,3.1,13.5,2,5,9,1,0,19,0,0,3052,213,186,15,6,94,4.43,99,2.7
38614,SP,SP,RAY PETTY,,CHA,MLB,27,8,2.5 Stars,2.5 Stars,H,N,Normal,5,6,5,6,6,5,6,5,6,6,91-93,32,32,9,13,185.1,783,703,164,105,32,4,23,90,87,72,2,171,2,4.22,.274,1.27,8.3,3.5,1.1,2.4,12.6,1,5,6,0,0,17,0,0,2932,138,228,11,2,105,4.31,97,2.7
29970,SP,SP,MARTIN DAVIS,,CLE,MLB,28,13,2.5 Stars,2.5 Stars,N,N,Normal,6,6,5,6,7,6,7,5,6,7,87-89,37,4,18,2,224.0,942,849,198,127,49,1,21,94,88,66,1,197,15,3.54,.276,1.18,7.9,2.7,0.8,3.0,13.9,2,10,9,3,0,15,13,5,3527,233,222,23,0,125,3.90,88,2.7
29799,SP,SP,PATRICK HARPER,,MIA,MLB,28,13,2.5 Stars,2.5 Stars,N,L,Normal,5,6,6,6,6,7,6,6,6,6,92-94,34,34,9,8,177.2,767,696,183,122,35,6,20,89,86,55,0,145,12,4.36,.305,1.34,7.3,2.8,1.0,2.6,11.7,1,3,4,2,0,12,0,0,2748,160,208,19,6,103,4.34,96,2.7
32610,SP,SP,CHRIS SMITH,,ARI,MLB,33,17,2.5 Stars,2.5 Stars,N,N,Normal,5,6,5,6,6,5,6,5,6,6,94-96,29,29,9,12,169.1,727,658,169,106,36,5,22,90,85,56,2,153,5,4.52,.301,1.33,8.1,3.0,1.2,2.7,13.3,2,6,7,1,0,12,0,0,2731,143,193,15,3,100,4.30,95,2.7
31806,SP,SP,CHAD HURST,,MIN,MLB,34,13,3.0 Stars,3.0 Stars,N,N,Normal,6,5,7,6,5,6,5,7,6,5,95-97,33,33,12,12,192.1,813,752,192,118,41,3,30,102,98,46,0,175,8,4.59,.293,1.24,8.2,2.2,1.4,3.8,15.9,1,6,5,2,0,7,0,0,2955,183,204,15,2,97,4.42,99,2.7
38959,SP,SP,CRAIG BROOKS,,SLN,MLB,28,7,3.0 Stars,3.0 Stars,L,H,Disruptive,5,6,6,6,6,5,6,6,6,7,88-90,32,32,12,12,162.0,708,647,179,125,30,5,19,101,97,52,0,144,2,5.39,.327,1.43,8.0,2.9,1.1,2.8,13.0,2,5,7,2,0,12,0,0,2653,158,165,13,5,81,4.12,94,2.6
28473,SP,SP,JULIUS BARRETT,,NYN,MLB,25,9,4.0 Stars,4.5 Stars,H,N,Captain,5,7,8,6,7,7,7,8,6,7,94-96,32,32,11,12,198.2,830,769,202,135,39,5,23,98,89,54,1,149,4,4.03,.299,1.29,6.8,2.4,1.0,2.8,11.4,2,1,4,0,0,23,0,0,3077,206,206,16,6,105,4.24,100,2.6
30568,SP,SP,JAVIER PÉREZ,,CLE,MLB,30,11,2.5 Stars,2.5 Stars,N,N,Normal,6,7,4,6,7,6,7,4,6,7,92-94,32,0,15,5,181.2,751,670,132,93,28,0,11,59,52,74,6,167,4,2.58,.244,1.13,8.3,3.7,0.5,2.3,12.4,0,3,7,2,0,11,18,6,2746,185,181,7,0,171,3.51,79,2.6
40123,SP,SP,SEISHIRO ISHIKAWA,,BAL,MLB,31,14,2.5 Stars,2.5 Stars,L,N,Normal,7,5,6,7,5,7,5,6,7,5,96-98,32,32,12,7,176.1,758,686,166,93,40,4,29,92,80,49,0,203,18,4.08,.300,1.22,10.4,2.5,1.5,4.1,20.3,2,3,6,1,0,7,0,0,2840,131,184,14,1,109,4.35,97,2.6
26735,SP,SP,LA`NH VU,,CIN,MLB,23,6,4.0 Stars,5.0 Stars,N,N,Normal,7,7,7,7,7,7,7,7,7,8,90-92,29,27,10,8,163.0,684,619,141,74,34,10,23,77,74,51,0,170,8,4.09,.273,1.18,9.4,2.8,1.3,3.3,17.4,0,6,10,2,0,8,2,1,2664,137,168,13,4,109,4.21,94,2.6
32144,SP,SP,ZINEDINE AZZOUZJ,,LAN,MLB,33,17,2.5 Stars,2.5 Stars,L,N,Normal,6,6,5,6,7,6,6,5,6,7,94-96,33,33,13,10,175.2,751,646,153,104,28,5,16,78,75,82,0,149,10,3.84,.279,1.34,7.6,4.2,0.8,1.8,8.9,3,10,5,1,0,16,0,0,2819,190,163,14,7,118,4.43,97,2.6
